Gene_set	Term	Overlap	P-value	Adjusted P-value	Odds Ratio	Combined Score	Genes
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ACTIVATION_OF_IMMUNE_RESPONSE	6/547	2.427193e-05	4.342566e-04	1.376023e+01	1.462189e+02	DDX60;IRF7;OAS3;OAS1;PLSCR1;EIF2AK2
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ACTIVATION_OF_INNATE_IMMUNE_RESPONSE	5/280	1.276823e-05	2.694424e-04	2.188079e+01	2.465648e+02	DDX60;IRF7;OAS3;OAS1;EIF2AK2
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ACUTE_INFLAMMATORY_RESPONSE	1/107	1.141957e-01	2.610641e-01	1.267573e+01	2.750432e+01	PLSCR1
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ACUTE_PHASE_RESPONSE	1/48	5.286537e-02	1.740328e-01	2.850698e+01	8.381070e+01	PLSCR1
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ADAPTIVE_IMMUNE_RESPONSE	1/745	5.762001e-01	6.487178e-01	1.753463e+00	9.666849e-01	IRF7
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS	1/371	3.451384e-01	4.830440e-01	3.593918e+00	3.823245e+00	IRF7
c5.all.v2023.2.Hs.symbols.gmt	GOBP_AMIDE_BIOSYNTHETIC_PROCESS	1/1004	6.880695e-01	7.377434e-01	1.282894e+00	4.796296e-01	EIF2AK2
c5.all.v2023.2.Hs.symbols.gmt	GOBP_AMIDE_METABOLIC_PROCESS	1/1301	7.816725e-01	8.041455e-01	9.739814e-01	2.399106e-01	EIF2AK2
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ANTIVIRAL_INNATE_IMMUNE_RESPONSE	6/48	1.173241e-11	6.437182e-10	1.799469e+02	4.529023e+03	IFIT2;IFIT1;OAS1;MX1;EIF2AK2;IFIT3
c5.all.v2023.2.Hs.symbols.gmt	GOBP_APOPTOTIC_MITOCHONDRIAL_CHANGES	2/109	6.663397e-03	5.618829e-02	2.194952e+01	1.099918e+02	IFIT2;IFI6
c5.all.v2023.2.Hs.symbols.gmt	GOBP_APOPTOTIC_PROCESS	8/1965	9.242681e-04	1.027936e-02	5.240225e+00	3.661088e+01	IFIT2;IRF7;IFI6;XAF1;PLSCR1;MX1;EIF2AK2;IFIT3
c5.all.v2023.2.Hs.symbols.gmt	GOBP_APOPTOTIC_SIGNALING_PATHWAY	1/622	5.105274e-01	6.039722e-01	2.114296e+00	1.421464e+00	IFI6
c5.all.v2023.2.Hs.symbols.gmt	GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTERACTION_WITH_HOST	4/213	8.714678e-05	1.353242e-03	2.234645e+01	2.088927e+02	LY6E;IFIT1;PLSCR1;TRIM22
c5.all.v2023.2.Hs.symbols.gmt	GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTERSPECIES_INTERACTION_BETWEEN_ORGANISMS	19/1759	1.557585e-17	2.563785e-15	5.670821e+01	2.194654e+03	OAS2;LY6E;OAS3;SAMD9;IFIT1;MX1;EIF2AK2;MX2;DDX60;IRF7;TRIM22;HERC5;PLSCR1;IFI44L;IFIT2;ISG15;OAS1;IFI6;IFIT3
c5.all.v2023.2.Hs.symbols.gmt	GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_SYMBIOTIC_INTERACTION	4/323	4.288509e-04	5.429912e-03	1.456909e+01	1.129746e+02	LY6E;IFIT1;PLSCR1;TRIM22
c5.all.v2023.2.Hs.symbols.gmt	GOBP_BIOMINERAL_TISSUE_DEVELOPMENT	1/174	1.792442e-01	3.263672e-01	7.753837e+00	1.332889e+01	ISG15
c5.all.v2023.2.Hs.symbols.gmt	GOBP_BODY_FLUID_SECRETION	1/92	9.897293e-02	2.424248e-01	1.476515e+01	3.415046e+01	OAS2
c5.all.v2023.2.Hs.symbols.gmt	GOBP_BONE_MINERALIZATION	1/122	1.291729e-01	2.754126e-01	1.110221e+01	2.272183e+01	ISG15
c5.all.v2023.2.Hs.symbols.gmt	GOBP_B_CELL_MEDIATED_IMMUNITY	1/199	2.023271e-01	3.512979e-01	6.768496e+00	1.081517e+01	IRF7
c5.all.v2023.2.Hs.symbols.gmt	GOBP_CANONICAL_NF_KAPPAB_SIGNAL_TRANSDUCTION	1/300	2.894271e-01	4.323022e-01	4.462437e+00	5.532761e+00	TRIM22
c5.all.v2023.2.Hs.symbols.gmt	GOBP_CARBOHYDRATE_HOMEOSTASIS	1/254	2.509477e-01	3.882142e-01	5.284849e+00	7.306360e+00	OAS1
c5.all.v2023.2.Hs.symbols.gmt	GOBP_CARBOHYDRATE_METABOLIC_PROCESS	1/569	4.793300e-01	5.843006e-01	2.317911e+00	1.704513e+00	OAS1
c5.all.v2023.2.Hs.symbols.gmt	GOBP_CELLULAR_CATABOLIC_PROCESS	2/1613	5.542654e-01	6.379866e-01	1.350393e+00	7.968827e-01	OAS2;TRIM22
c5.all.v2023.2.Hs.symbols.gmt	GOBP_CELLULAR_LIPID_METABOLIC_PROCESS	1/1005	6.884409e-01	7.377434e-01	1.281547e+00	4.784345e-01	PLSCR1
c5.all.v2023.2.Hs.symbols.gmt	GOBP_CELLULAR_MODIFIED_AMINO_ACID_BIOSYNTHETIC_PROCESS	1/28	3.117074e-02	1.357329e-01	4.929006e+01	1.709515e+02	PLSCR1
c5.all.v2023.2.Hs.symbols.gmt	GOBP_CELLULAR_MODIFIED_AMINO_ACID_METABOLIC_PROCESS	1/127	1.341113e-01	2.773206e-01	1.066063e+01	2.141812e+01	PLSCR1
c5.all.v2023.2.Hs.symbols.gmt	GOBP_CELLULAR_RESPONSE_TO_DSRNA	1/23	2.567343e-02	1.200525e-01	6.025891e+01	2.206861e+02	IFIT1
c5.all.v2023.2.Hs.symbols.gmt	GOBP_CELLULAR_RESPONSE_TO_EXOGENOUS_DSRNA	1/17	1.903735e-02	1.030772e-01	8.219662e+01	3.256098e+02	IFIT1
c5.all.v2023.2.Hs.symbols.gmt	GOBP_CELLULAR_RESPONSE_TO_EXTERNAL_STIMULUS	1/345	3.252392e-01	4.695998e-01	3.870422e+00	4.347236e+00	EIF2AK2
c5.all.v2023.2.Hs.symbols.gmt	GOBP_CELLULAR_RESPONSE_TO_EXTRACELLULAR_STIMULUS	1/280	2.729347e-01	4.144891e-01	4.786745e+00	6.215698e+00	EIF2AK2
c5.all.v2023.2.Hs.symbols.gmt	GOBP_CELLULAR_RESPONSE_TO_INTERFERON_BETA	1/27	3.007366e-02	1.337871e-01	5.115270e+01	1.792445e+02	OAS1
c5.all.v2023.2.Hs.symbols.gmt	GOBP_CELLULAR_RESPONSE_TO_NITROGEN_COMPOUND	1/695	5.505884e-01	6.355320e-01	1.884726e+00	1.124743e+00	IFIT1
c5.all.v2023.2.Hs.symbols.gmt	GOBP_CELLULAR_RESPONSE_TO_ORGANIC_CYCLIC_COMPOUND	1/550	4.676908e-01	5.775531e-01	2.400470e+00	1.824232e+00	IFIT1
c5.all.v2023.2.Hs.symbols.gmt	GOBP_CELLULAR_RESPONSE_TO_STARVATION	1/178	1.829798e-01	3.317013e-01	7.577530e+00	1.286952e+01	EIF2AK2
c5.all.v2023.2.Hs.symbols.gmt	GOBP_CELLULAR_RESPONSE_TO_STRESS	2/1966	6.662080e-01	7.233366e-01	1.085828e+00	4.410129e-01	EIF2AK2;IRF7
c5.all.v2023.2.Hs.symbols.gmt	GOBP_CELLULAR_RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	1/109	1.162068e-01	2.627423e-01	1.244079e+01	2.677735e+01	EIF2AK2
c5.all.v2023.2.Hs.symbols.gmt	GOBP_CELLULAR_RESPONSE_TO_UNFOLDED_PROTEIN	1/89	9.589855e-02	2.377244e-01	1.526803e+01	3.579536e+01	EIF2AK2
c5.all.v2023.2.Hs.symbols.gmt	GOBP_CELLULAR_RESPONSE_TO_VIRUS	2/88	4.396069e-03	4.111324e-02	2.730791e+01	1.482012e+02	IFI6;OAS1
c5.all.v2023.2.Hs.symbols.gmt	GOBP_CELL_ACTIVATION	1/1109	7.248532e-01	7.648130e-01	1.154766e+00	3.715877e-01	PLSCR1
c5.all.v2023.2.Hs.symbols.gmt	GOBP_CELL_CYCLE	3/1841	3.457022e-01	4.830440e-01	1.719943e+00	1.826885e+00	MX2;PLSCR1;HERC5
c5.all.v2023.2.Hs.symbols.gmt	GOBP_CELL_CYCLE_PROCESS	1/1323	7.874162e-01	8.090431e-01	9.566185e-01	2.286302e-01	PLSCR1
c5.all.v2023.2.Hs.symbols.gmt	GOBP_CELL_SURFACE_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY	1/72	7.828703e-02	2.112034e-01	1.891478e+01	4.818301e+01	OAS1
c5.all.v2023.2.Hs.symbols.gmt	GOBP_CHEMICAL_HOMEOSTASIS	1/1037	7.001080e-01	7.473267e-01	1.239828e+00	4.420242e-01	OAS1
c5.all.v2023.2.Hs.symbols.gmt	GOBP_CHEMOKINE_C_C_MOTIF_LIGAND_5_PRODUCTION	1/11	1.235813e-02	8.008459e-02	1.292060e+02	5.676589e+02	OAS3
c5.all.v2023.2.Hs.symbols.gmt	GOBP_CHEMOKINE_C_X_C_MOTIF_LIGAND_2_PRODUCTION	2/20	2.285715e-04	3.083841e-03	1.281312e+02	1.074208e+03	OAS1;OAS3
c5.all.v2023.2.Hs.symbols.gmt	GOBP_CHEMOKINE_PRODUCTION	3/105	2.176046e-04	2.984810e-03	3.388981e+01	2.857870e+02	EIF2AK2;OAS1;OAS3
c5.all.v2023.2.Hs.symbols.gmt	GOBP_CHROMOSOME_SEGREGATION	1/441	3.959673e-01	5.222453e-01	3.011720e+00	2.790129e+00	PLSCR1
c5.all.v2023.2.Hs.symbols.gmt	GOBP_CHROMOSOME_SEPARATION	1/81	8.765117e-02	2.219597e-01	1.679229e+01	4.087898e+01	PLSCR1
c5.all.v2023.2.Hs.symbols.gmt	GOBP_CYTOKINE_MEDIATED_SIGNALING_PATHWAY	6/512	1.670543e-05	3.273468e-04	1.473831e+01	1.621181e+02	OAS2;IRF7;OAS3;ISG15;OAS1;MX1
c5.all.v2023.2.Hs.symbols.gmt	GOBP_CYTOKINE_PRODUCTION	7/883	3.602008e-05	6.307347e-04	1.025679e+01	1.049417e+02	OAS2;IRF7;XAF1;OAS3;ISG15;OAS1;EIF2AK2
c5.all.v2023.2.Hs.symbols.gmt	GOBP_CYTOSOLIC_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY	5/150	6.003867e-07	1.647061e-05	4.171144e+01	5.975452e+02	DDX60;IRF7;OAS3;OAS1;EIF2AK2
c5.all.v2023.2.Hs.symbols.gmt	GOBP_DEFENSE_RESPONSE	18/1855	1.939939e-15	1.773967e-13	3.941856e+01	1.335348e+03	IFIT2;DDX60;OAS2;IRF7;TRIM22;IFI6;OAS3;HERC5;SAMD9;IFIT1;ISG15;OAS1;MX1;PLSCR1;EIF2AK2;IFIT3;MX2;IFI44L
c5.all.v2023.2.Hs.symbols.gmt	GOBP_DEFENSE_RESPONSE_TO_BACTERIUM	4/334	4.866352e-04	5.977624e-03	1.407609e+01	1.073724e+02	ISG15;OAS2;OAS1;OAS3
c5.all.v2023.2.Hs.symbols.gmt	GOBP_DEFENSE_RESPONSE_TO_OTHER_ORGANISM	18/1235	1.399888e-18	3.011912e-16	6.158563e+01	2.531794e+03	IFIT2;DDX60;OAS2;IRF7;TRIM22;IFI6;OAS3;HERC5;SAMD9;IFIT1;ISG15;OAS1;MX1;PLSCR1;EIF2AK2;IFIT3;MX2;IFI44L
c5.all.v2023.2.Hs.symbols.gmt	GOBP_DEFENSE_RESPONSE_TO_SYMBIONT	17/338	1.912066e-26	1.573630e-23	1.893701e+02	1.121432e+04	IFIT2;DDX60;OAS2;IRF7;TRIM22;IFI6;OAS3;HERC5;IFIT1;ISG15;OAS1;MX1;PLSCR1;EIF2AK2;IFIT3;MX2;IFI44L
c5.all.v2023.2.Hs.symbols.gmt	GOBP_DNA_DAMAGE_RESPONSE	1/881	6.390058e-01	7.020872e-01	1.471851e+00	6.591564e-01	IRF7
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ENDOCYTOSIS	1/709	5.579049e-01	6.403845e-01	1.846105e+00	1.077325e+00	PLSCR1
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ENDOLYSOSOMAL_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	1/47	5.179175e-02	1.711832e-01	2.912153e+01	8.621500e+01	OAS1
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ENDOMEMBRANE_SYSTEM_ORGANIZATION	1/604	5.001378e-01	5.991462e-01	2.179438e+00	1.510071e+00	PLSCR1
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ENDOPLASMIC_RETICULUM_UNFOLDED_PROTEIN_RESPONSE	1/75	8.141856e-02	2.140814e-01	1.815030e+01	4.552372e+01	EIF2AK2
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ENDOSOMAL_VESICLE_FUSION	1/12	1.347434e-02	8.465177e-02	1.179646e+02	5.080698e+02	SAMD9
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ENTRY_INTO_HOST	3/164	8.024527e-04	9.046830e-03	2.144344e+01	1.528454e+02	LY6E;PLSCR1;TRIM22
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ENZYME_LINKED_RECEPTOR_PROTEIN_SIGNALING_PATHWAY	1/1022	6.946920e-01	7.434740e-01	1.259058e+00	4.586582e-01	IFI6
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ERBB_SIGNALING_PATHWAY	1/125	1.321391e-01	2.773206e-01	1.083301e+01	2.192492e+01	IFI6
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ERYTHROCYTE_HOMEOSTASIS	1/141	1.477971e-01	2.952354e-01	9.591409e+00	1.833796e+01	ISG15
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION	2/1696	5.826054e-01	6.529333e-01	1.278275e+00	6.905817e-01	IFIT1;MX2
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ESTABLISHMENT_OF_RNA_LOCALIZATION	1/160	1.660407e-01	3.113268e-01	8.440548e+00	1.515519e+01	MX2
c5.all.v2023.2.Hs.symbols.gmt	GOBP_EXECUTION_PHASE_OF_APOPTOSIS	1/76	8.246014e-02	2.161296e-01	1.790898e+01	4.469079e+01	PLSCR1
c5.all.v2023.2.Hs.symbols.gmt	GOBP_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY	1/229	2.292089e-01	3.772642e-01	5.870694e+00	8.648244e+00	IFI6
c5.all.v2023.2.Hs.symbols.gmt	GOBP_FC_RECEPTOR_MEDIATED_STIMULATORY_SIGNALING_PATHWAY	1/32	3.554727e-02	1.444186e-01	4.302215e+01	1.435603e+02	PLSCR1
c5.all.v2023.2.Hs.symbols.gmt	GOBP_GLAND_DEVELOPMENT	1/444	3.980592e-01	5.233270e-01	2.990876e+00	2.755059e+00	OAS2
c5.all.v2023.2.Hs.symbols.gmt	GOBP_GLUCOSE_METABOLIC_PROCESS	1/193	1.968444e-01	3.483934e-01	6.981637e+00	1.134755e+01	OAS1
c5.all.v2023.2.Hs.symbols.gmt	GOBP_GLYCEROLIPID_BIOSYNTHETIC_PROCESS	1/250	2.475093e-01	3.865278e-01	5.370695e+00	7.499140e+00	PLSCR1
c5.all.v2023.2.Hs.symbols.gmt	GOBP_GLYCEROLIPID_METABOLIC_PROCESS	1/390	3.593246e-01	4.970153e-01	3.415201e+00	3.495558e+00	PLSCR1
c5.all.v2023.2.Hs.symbols.gmt	GOBP_GLYCEROPHOSPHOLIPID_BIOSYNTHETIC_PROCESS	1/210	2.122860e-01	3.609740e-01	6.409447e+00	9.933493e+00	PLSCR1
c5.all.v2023.2.Hs.symbols.gmt	GOBP_GLYCEROPHOSPHOLIPID_METABOLIC_PROCESS	1/298	2.877941e-01	4.306446e-01	4.492906e+00	5.595960e+00	PLSCR1
c5.all.v2023.2.Hs.symbols.gmt	GOBP_HEMATOPOIETIC_PROGENITOR_CELL_DIFFERENTIATION	1/133	1.400021e-01	2.837974e-01	1.017473e+01	2.000451e+01	EIF2AK2
c5.all.v2023.2.Hs.symbols.gmt	GOBP_HEMATOPOIETIC_STEM_CELL_DIFFERENTIATION	1/36	3.990491e-02	1.513444e-01	3.816672e+01	1.229448e+02	EIF2AK2
c5.all.v2023.2.Hs.symbols.gmt	GOBP_HEMATOPOIETIC_STEM_CELL_PROLIFERATION	1/36	3.990491e-02	1.513444e-01	3.816672e+01	1.229448e+02	EIF2AK2
