Gene_set	Term	Overlap	P-value	Adjusted P-value	Odds Ratio	Combined Score	Genes
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ACTIVATION_OF_IMMUNE_RESPONSE	7/547	1.105404e-04	2.356946e-03	7.827537e+00	7.130987e+01	RSAD2;DDX60;MNDA;OAS3;OASL;OAS1;EIF2AK2
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ACTIVATION_OF_INNATE_IMMUNE_RESPONSE	7/280	1.462668e-06	5.411873e-05	1.568760e+01	2.107669e+02	RSAD2;DDX60;MNDA;OAS3;OASL;OAS1;EIF2AK2
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ACUTE_INFLAMMATORY_RESPONSE	1/107	1.979415e-01	4.068797e-01	6.893029e+00	1.116522e+01	CD163
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ACUTE_PHASE_RESPONSE	1/48	9.407481e-02	2.943933e-01	1.550207e+01	3.664169e+01	CD163
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ADAPTIVE_IMMUNE_RESPONSE	2/745	4.557596e-01	6.132038e-01	1.632722e+00	1.282976e+00	TNFSF13B;RSAD2
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS	2/371	1.766639e-01	3.899002e-01	3.351054e+00	5.809073e+00	TNFSF13B;RSAD2
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ALPHA_BETA_T_CELL_ACTIVATION	1/181	3.119093e-01	5.076092e-01	4.051510e+00	4.720182e+00	RSAD2
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ALPHA_BETA_T_CELL_DIFFERENTIATION	1/124	2.256493e-01	4.335686e-01	5.938964e+00	8.841771e+00	RSAD2
c5.all.v2023.2.Hs.symbols.gmt	GOBP_AMIDE_BIOSYNTHETIC_PROCESS	2/1004	6.181422e-01	7.247185e-01	1.194125e+00	5.744180e-01	EIF2AK2;PNPT1
c5.all.v2023.2.Hs.symbols.gmt	GOBP_AMIDE_METABOLIC_PROCESS	3/1301	5.053504e-01	6.487049e-01	1.303827e+00	8.898664e-01	EIF2AK2;PNPT1;NLN
