Gene_set	Term	Overlap	P-value	Adjusted P-value	Odds Ratio	Combined Score	Genes
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ACTIVATION_OF_IMMUNE_RESPONSE	5/547	4.078660e-05	5.185253e-04	1.826864e+01	1.846440e+02	RSAD2;OAS3;OASL;OAS1;EIF2AK2
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ACTIVATION_OF_INNATE_IMMUNE_RESPONSE	5/280	1.581314e-06	3.367612e-05	3.648129e+01	4.872899e+02	RSAD2;OAS3;OASL;OAS1;EIF2AK2
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ADAPTIVE_IMMUNE_RESPONSE	1/745	4.430219e-01	4.965645e-01	2.600936e+00	2.117515e+00	RSAD2
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS	1/371	2.506751e-01	3.375602e-01	5.330867e+00	7.375774e+00	RSAD2
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ALPHA_BETA_T_CELL_ACTIVATION	1/181	1.307265e-01	2.264089e-01	1.105120e+01	2.248530e+01	RSAD2
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ALPHA_BETA_T_CELL_DIFFERENTIATION	1/124	9.138798e-02	1.903916e-01	1.619950e+01	3.875959e+01	RSAD2
c5.all.v2023.2.Hs.symbols.gmt	GOBP_AMIDE_BIOSYNTHETIC_PROCESS	1/1004	5.480367e-01	5.850318e-01	1.902943e+00	1.144455e+00	EIF2AK2
c5.all.v2023.2.Hs.symbols.gmt	GOBP_AMIDE_METABOLIC_PROCESS	1/1301	6.456144e-01	6.629076e-01	1.444736e+00	6.321484e-01	EIF2AK2
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ANTIVIRAL_INNATE_IMMUNE_RESPONSE	5/48	2.162375e-10	9.564350e-09	2.338418e+02	5.204066e+03	IFIT1;OAS1;MX1;EIF2AK2;IFIT3
c5.all.v2023.2.Hs.symbols.gmt	GOBP_APOPTOTIC_MITOCHONDRIAL_CHANGES	1/109	8.076299e-02	1.814013e-01	1.845336e+01	4.643302e+01	IFI6
c5.all.v2023.2.Hs.symbols.gmt	GOBP_APOPTOTIC_PROCESS	5/1965	1.315583e-02	6.635616e-02	4.676346e+00	2.025274e+01	XAF1;EIF2AK2;MX1;IFI6;IFIT3
c5.all.v2023.2.Hs.symbols.gmt	GOBP_APOPTOTIC_SIGNALING_PATHWAY	1/622	3.855454e-01	4.466191e-01	3.136156e+00	2.989059e+00	IFI6
c5.all.v2023.2.Hs.symbols.gmt	GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTERACTION_WITH_HOST	1/213	1.521087e-01	2.446856e-01	9.371440e+00	1.764792e+01	IFIT1
c5.all.v2023.2.Hs.symbols.gmt	GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTERSPECIES_INTERACTION_BETWEEN_ORGANISMS	13/1759	2.253037e-12	1.439440e-10	5.477761e+01	1.469067e+03	RSAD2;IFI44;OAS3;EIF2AK2;HERC5;OASL;ISG15;IFIT1;OAS1;MX1;IFI6;IFIT3;IFI44L
c5.all.v2023.2.Hs.symbols.gmt	GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_SYMBIOTIC_INTERACTION	1/323	2.219244e-01	3.112355e-01	6.139695e+00	9.242810e+00	IFIT1
c5.all.v2023.2.Hs.symbols.gmt	GOBP_BIOMINERAL_TISSUE_DEVELOPMENT	1/174	1.259826e-01	2.235802e-01	1.150124e+01	2.382611e+01	ISG15
c5.all.v2023.2.Hs.symbols.gmt	GOBP_BONE_MINERALIZATION	1/122	8.997797e-02	1.895140e-01	1.646786e+01	3.965774e+01	ISG15
c5.all.v2023.2.Hs.symbols.gmt	GOBP_CARBOHYDRATE_HOMEOSTASIS	1/254	1.787875e-01	2.677156e-01	7.839012e+00	1.349531e+01	OAS1
c5.all.v2023.2.Hs.symbols.gmt	GOBP_CARBOHYDRATE_METABOLIC_PROCESS	1/569	3.591115e-01	4.266304e-01	3.438177e+00	3.521113e+00	OAS1
