Gene_set	Term	Overlap	P-value	Adjusted P-value	Odds Ratio	Combined Score	Genes
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ACTIVATION_OF_IMMUNE_RESPONSE	3/547	7.791228e-03	7.701673e-02	9.728522e+00	4.722961e+01	RSAD2;EIF2AK2;PLSCR1
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ACTIVATION_OF_INNATE_IMMUNE_RESPONSE	2/280	1.911285e-02	1.040320e-01	1.275650e+01	5.048250e+01	RSAD2;EIF2AK2
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ACUTE_INFLAMMATORY_RESPONSE	1/107	7.933760e-02	1.921981e-01	1.880185e+01	4.764469e+01	PLSCR1
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ACUTE_PHASE_RESPONSE	1/48	3.634856e-02	1.297086e-01	4.228421e+01	1.401553e+02	PLSCR1
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ADAPTIVE_IMMUNE_RESPONSE	1/745	4.430219e-01	5.029851e-01	2.600936e+00	2.117515e+00	RSAD2
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS	1/371	2.506751e-01	3.511085e-01	5.330867e+00	7.375774e+00	RSAD2
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ALPHA_BETA_T_CELL_ACTIVATION	1/181	1.307265e-01	2.428182e-01	1.105120e+01	2.248530e+01	RSAD2
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ALPHA_BETA_T_CELL_DIFFERENTIATION	1/124	9.138798e-02	2.062826e-01	1.619950e+01	3.875959e+01	RSAD2
c5.all.v2023.2.Hs.symbols.gmt	GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION	1/500	3.231060e-01	4.122717e-01	3.927410e+00	4.437090e+00	STAT1
c5.all.v2023.2.Hs.symbols.gmt	GOBP_AMIDE_BIOSYNTHETIC_PROCESS	1/1004	5.480367e-01	5.939889e-01	1.902943e+00	1.144455e+00	EIF2AK2
