Gene_set	Term	Overlap	P-value	Adjusted P-value	Odds Ratio	Combined Score	Genes
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ACTIVATION_OF_IMMUNE_RESPONSE	7/547	1.567417e-06	3.185669e-05	1.693369e+01	2.263371e+02	RSAD2;DDX60;IRF7;OAS3;OAS1;PLSCR1;EIF2AK2
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ACTIVATION_OF_INNATE_IMMUNE_RESPONSE	6/280	5.144654e-07	1.172358e-05	2.752768e+01	3.986046e+02	RSAD2;DDX60;IRF7;OAS3;OAS1;EIF2AK2
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ACUTE_INFLAMMATORY_RESPONSE	1/107	1.141957e-01	2.467678e-01	1.267573e+01	2.750432e+01	PLSCR1
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ACUTE_PHASE_RESPONSE	1/48	5.286537e-02	1.670368e-01	2.850698e+01	8.381070e+01	PLSCR1
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ADAPTIVE_IMMUNE_RESPONSE	2/745	2.049703e-01	3.309042e-01	3.069283e+00	4.864477e+00	RSAD2;IRF7
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS	2/371	6.507659e-02	1.839759e-01	6.299383e+00	1.721111e+01	RSAD2;IRF7
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ALPHA_BETA_T_CELL_ACTIVATION	1/181	1.857709e-01	3.146390e-01	7.450428e+00	1.254087e+01	RSAD2
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ALPHA_BETA_T_CELL_DIFFERENTIATION	1/124	1.311514e-01	2.602266e-01	1.092129e+01	2.218553e+01	RSAD2
c5.all.v2023.2.Hs.symbols.gmt	GOBP_AMIDE_BIOSYNTHETIC_PROCESS	1/1004	6.880695e-01	7.190383e-01	1.282894e+00	4.796296e-01	EIF2AK2
c5.all.v2023.2.Hs.symbols.gmt	GOBP_AMIDE_METABOLIC_PROCESS	1/1301	7.816725e-01	7.943482e-01	9.739814e-01	2.399106e-01	EIF2AK2
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ANTIVIRAL_INNATE_IMMUNE_RESPONSE	6/48	1.173241e-11	5.881848e-10	1.799469e+02	4.529023e+03	IFIT2;IFIT1;OAS1;MX1;EIF2AK2;IFIT3
c5.all.v2023.2.Hs.symbols.gmt	GOBP_APOPTOTIC_MITOCHONDRIAL_CHANGES	2/109	6.663397e-03	5.082753e-02	2.194952e+01	1.099918e+02	IFIT2;IFI6
c5.all.v2023.2.Hs.symbols.gmt	GOBP_APOPTOTIC_PROCESS	8/1965	9.242681e-04	9.145390e-03	5.240225e+00	3.661088e+01	IFIT2;IRF7;IFI6;XAF1;PLSCR1;MX1;EIF2AK2;IFIT3
c5.all.v2023.2.Hs.symbols.gmt	GOBP_APOPTOTIC_SIGNALING_PATHWAY	1/622	5.105274e-01	5.818786e-01	2.114296e+00	1.421464e+00	IFI6
c5.all.v2023.2.Hs.symbols.gmt	GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTERACTION_WITH_HOST	4/213	8.714678e-05	1.170257e-03	2.234645e+01	2.088927e+02	LY6E;IFIT1;PLSCR1;TRIM22
