Gene_set	Term	Overlap	P-value	Adjusted P-value	Odds Ratio	Combined Score	Genes
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ACTIN_FILAMENT_BASED_PROCESS	1/809	8.991435e-01	9.249439e-01	6.455534e-01	6.863049e-02	BST2
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ACTIVATED_T_CELL_PROLIFERATION	1/49	1.273401e-01	2.874171e-01	1.120079e+01	2.308364e+01	LGALS9
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ACTIVATION_OF_IMMUNE_RESPONSE	13/547	2.266468e-09	1.433874e-07	1.149631e+01	2.288345e+02	RSAD2;DDX60;IRF7;GBP1;LGALS9;OAS3;OASL;IFI35;OAS1;IFIH1;PLSCR1;CD38;EIF2AK2
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ACTIVATION_OF_INNATE_IMMUNE_RESPONSE	10/280	4.401230e-09	2.704870e-07	1.670745e+01	3.214744e+02	RSAD2;DDX60;IRF7;LGALS9;OAS3;OASL;IFI35;OAS1;IFIH1;EIF2AK2
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ACUTE_INFLAMMATORY_RESPONSE	1/107	2.576111e-01	4.262473e-01	5.085560e+00	6.897566e+00	PLSCR1
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ACUTE_PHASE_RESPONSE	1/48	1.249079e-01	2.843142e-01	1.143719e+01	2.379139e+01	PLSCR1
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ADAPTIVE_IMMUNE_RESPONSE	2/745	6.172553e-01	7.034023e-01	1.196433e+00	5.772459e-01	RSAD2;IRF7
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS	2/371	2.748556e-01	4.379365e-01	2.455635e+00	3.171476e+00	RSAD2;IRF7
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ALPHA_BETA_T_CELL_ACTIVATION	2/181	8.983090e-02	2.451502e-01	5.105319e+00	1.230293e+01	RSAD2;LGALS9
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ALPHA_BETA_T_CELL_DIFFERENTIATION	2/124	4.641163e-02	1.880064e-01	7.503013e+00	2.303579e+01	RSAD2;LGALS9
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ALPHA_BETA_T_CELL_PROLIFERATION	1/47	1.224691e-01	2.811430e-01	1.168375e+01	2.453467e+01	LGALS9
c5.all.v2023.2.Hs.symbols.gmt	GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION	1/500	7.549502e-01	8.123551e-01	1.062249e+00	2.986020e-01	STAT1
c5.all.v2023.2.Hs.symbols.gmt	GOBP_AMIDE_BIOSYNTHETIC_PROCESS	3/1004	5.318471e-01	6.356994e-01	1.250139e+00	7.893370e-01	EIF2AK2;PNPT1;SHFL
c5.all.v2023.2.Hs.symbols.gmt	GOBP_AMIDE_METABOLIC_PROCESS	3/1301	7.086691e-01	7.729406e-01	9.486562e-01	3.266855e-01	EIF2AK2;PNPT1;SHFL
c5.all.v2023.2.Hs.symbols.gmt	GOBP_AMIDE_TRANSPORT	1/357	6.322458e-01	7.123943e-01	1.499587e+00	6.875262e-01	CD38
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS	3/1259	6.870266e-01	7.559049e-01	9.826379e-01	3.688649e-01	TYMP;RNF213;STAT1
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ANIMAL_ORGAN_MORPHOGENESIS	1/1042	9.488635e-01	9.604731e-01	4.948605e-01	2.597540e-02	STAT1
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ANIMAL_ORGAN_REGENERATION	1/64	1.630366e-01	3.295974e-01	8.548311e+00	1.550476e+01	PNPT1
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ANTIGEN_RECEPTOR_MEDIATED_SIGNALING_PATHWAY	2/205	1.106573e-01	2.707894e-01	4.497601e+00	9.900647e+00	GBP1;CD38
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ANTIVIRAL_INNATE_IMMUNE_RESPONSE	8/48	7.037245e-13	7.208150e-11	8.748692e+01	2.448093e+03	IFIT2;USP18;IFIT1;OAS1;IFIH1;MX1;EIF2AK2;IFIT3
c5.all.v2023.2.Hs.symbols.gmt	GOBP_APOPTOTIC_MITOCHONDRIAL_CHANGES	3/109	3.437078e-03	5.098727e-02	1.232713e+01	6.993348e+01	IFIT2;IFI6;TNFSF10
c5.all.v2023.2.Hs.symbols.gmt	GOBP_APOPTOTIC_PROCESS	12/1965	6.628209e-03	8.241201e-02	2.630347e+00	1.319493e+01	IFIT2;CD38;STAT1;IRF7;IFI6;XAF1;LGALS9;TNFSF10;MX1;PLSCR1;EIF2AK2;IFIT3
c5.all.v2023.2.Hs.symbols.gmt	GOBP_APOPTOTIC_SIGNALING_PATHWAY	3/622	2.479199e-01	4.168617e-01	2.062915e+00	2.877043e+00	IFI6;TNFSF10;CD38
c5.all.v2023.2.Hs.symbols.gmt	GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTERACTION_WITH_HOST	8/213	1.211702e-07	5.319126e-06	1.709518e+01	2.722590e+02	IFITM1;TRIM22;IFITM2;LGALS9;LY6E;IFIT1;PLSCR1;IFITM3
c5.all.v2023.2.Hs.symbols.gmt	GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTERSPECIES_INTERACTION_BETWEEN_ORGANISMS	44/1759	6.688829e-37	4.795890e-34	4.374836e+01	3.644029e+03	DDX60L;IFITM1;HERC6;OAS2;GBP1;LY6E;NT5C3A;OAS3;SHFL;SAMD9;IFIT1;ISG20;RNF213;IFIT5;MX1;IFITM3;EIF2AK2;MX2;DDX60;PARP14;STAT1;IRF7;TRIM22;PARP9;IFI44;BST2;HERC5;OASL;IFIH1;PLSCR1;IFI6;DTX3L;IFI44L;IFIT2;RSAD2;USP18;IRF9;CMPK2;LGALS9;IFI35;ISG15;OAS1;IFITM2;IFIT3
c5.all.v2023.2.Hs.symbols.gmt	GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_SYMBIOTIC_INTERACTION	8/323	2.811208e-06	9.598269e-05	1.107116e+01	1.415104e+02	IFITM1;TRIM22;IFITM2;LGALS9;LY6E;IFIT1;PLSCR1;IFITM3
c5.all.v2023.2.Hs.symbols.gmt	GOBP_BIOMINERAL_TISSUE_DEVELOPMENT	1/174	3.844545e-01	5.284100e-01	3.110857e+00	2.973761e+00	ISG15
c5.all.v2023.2.Hs.symbols.gmt	GOBP_BLOOD_VESSEL_MORPHOGENESIS	3/709	3.138089e-01	4.703853e-01	1.800514e+00	2.086744e+00	TYMP;RNF213;STAT1
c5.all.v2023.2.Hs.symbols.gmt	GOBP_BODY_FLUID_SECRETION	1/92	2.258764e-01	3.950082e-01	5.923855e+00	8.813318e+00	OAS2
c5.all.v2023.2.Hs.symbols.gmt	GOBP_BONE_MINERALIZATION	1/122	2.880680e-01	4.499886e-01	4.454252e+00	5.543578e+00	ISG15
c5.all.v2023.2.Hs.symbols.gmt	GOBP_BONE_REMODELING	1/89	2.193715e-01	3.877306e-01	6.125614e+00	9.292486e+00	CD38
c5.all.v2023.2.Hs.symbols.gmt	GOBP_BONE_RESORPTION	1/65	1.653647e-01	3.315000e-01	8.415344e+00	1.514427e+01	CD38
c5.all.v2023.2.Hs.symbols.gmt	GOBP_B_CELL_ACTIVATION	2/278	1.800169e-01	3.460379e-01	3.297598e+00	5.654405e+00	BST2;CD38
c5.all.v2023.2.Hs.symbols.gmt	GOBP_B_CELL_MEDIATED_IMMUNITY	1/199	4.261145e-01	5.585450e-01	2.715530e+00	2.316475e+00	IRF7
c5.all.v2023.2.Hs.symbols.gmt	GOBP_B_CELL_PROLIFERATION	1/104	2.513680e-01	4.191416e-01	5.233780e+00	7.226998e+00	CD38
c5.all.v2023.2.Hs.symbols.gmt	GOBP_B_CELL_RECEPTOR_SIGNALING_PATHWAY	1/77	1.928113e-01	3.590798e-01	7.090892e+00	1.167192e+01	CD38
c5.all.v2023.2.Hs.symbols.gmt	GOBP_CALCIUM_MEDIATED_SIGNALING	1/210	4.435561e-01	5.696055e-01	2.571476e+00	2.090433e+00	GBP1
c5.all.v2023.2.Hs.symbols.gmt	GOBP_CANONICAL_NF_KAPPAB_SIGNAL_TRANSDUCTION	6/300	1.762540e-04	3.949192e-03	8.705424e+00	7.524607e+01	STAT1;TRIM22;BST2;LGALS9;TNFSF10;IFIT5
c5.all.v2023.2.Hs.symbols.gmt	GOBP_CARBOHYDRATE_DERIVATIVE_BIOSYNTHETIC_PROCESS	1/653	8.418231e-01	8.802925e-01	8.065958e-01	1.388840e-01	CMPK2
c5.all.v2023.2.Hs.symbols.gmt	GOBP_CARBOHYDRATE_DERIVATIVE_CATABOLIC_PROCESS	1/179	3.930173e-01	5.347123e-01	3.022933e+00	2.823122e+00	TYMP
c5.all.v2023.2.Hs.symbols.gmt	GOBP_CARBOHYDRATE_DERIVATIVE_METABOLIC_PROCESS	3/1039	5.554430e-01	6.570875e-01	1.205630e+00	7.088977e-01	TYMP;CMPK2;NT5C3A
c5.all.v2023.2.Hs.symbols.gmt	GOBP_CARBOHYDRATE_HOMEOSTASIS	1/254	5.082673e-01	6.182999e-01	2.120279e+00	1.434894e+00	OAS1
c5.all.v2023.2.Hs.symbols.gmt	GOBP_CARBOHYDRATE_METABOLIC_PROCESS	1/569	7.987627e-01	8.472083e-01	9.299189e-01	2.089448e-01	OAS1
c5.all.v2023.2.Hs.symbols.gmt	GOBP_CD4_POSITIVE_ALPHA_BETA_T_CELL_ACTIVATION	2/119	4.310321e-02	1.844083e-01	7.824316e+00	2.460088e+01	RSAD2;LGALS9
c5.all.v2023.2.Hs.symbols.gmt	GOBP_CD4_POSITIVE_ALPHA_BETA_T_CELL_CYTOKINE_PRODUCTION	1/19	5.140667e-02	1.946756e-01	2.940970e+01	8.728761e+01	RSAD2
c5.all.v2023.2.Hs.symbols.gmt	GOBP_CD4_POSITIVE_ALPHA_BETA_T_CELL_DIFFERENTIATION	2/93	2.748352e-02	1.572262e-01	1.006115e+01	3.616147e+01	RSAD2;LGALS9
c5.all.v2023.2.Hs.symbols.gmt	GOBP_CD4_POSITIVE_ALPHA_BETA_T_CELL_PROLIFERATION	1/22	5.928281e-02	2.060054e-01	2.530211e+01	7.148948e+01	LGALS9
c5.all.v2023.2.Hs.symbols.gmt	GOBP_CD4_POSITIVE_CD25_POSITIVE_ALPHA_BETA_REGULATORY_T_CELL_DIFFERENTIATION	1/10	2.738790e-02	1.572262e-01	5.729808e+01	2.061387e+02	LGALS9
c5.all.v2023.2.Hs.symbols.gmt	GOBP_CELLULAR_CATABOLIC_PROCESS	7/1613	1.565061e-01	3.221480e-01	1.751192e+00	3.247866e+00	OAS2;TRIM22;TYMP;ISG20;RNF213;PNPT1;DTX3L
c5.all.v2023.2.Hs.symbols.gmt	GOBP_CELLULAR_COMPONENT_DISASSEMBLY	1/502	7.563428e-01	8.126341e-01	1.057901e+00	2.954300e-01	SHFL
c5.all.v2023.2.Hs.symbols.gmt	GOBP_CELLULAR_COMPONENT_MORPHOGENESIS	1/789	8.931311e-01	9.200790e-01	6.626387e-01	7.489271e-02	PNPT1
c5.all.v2023.2.Hs.symbols.gmt	GOBP_CELLULAR_LIPID_METABOLIC_PROCESS	2/1005	7.750823e-01	8.269852e-01	8.741073e-01	2.227103e-01	RNF213;PLSCR1
c5.all.v2023.2.Hs.symbols.gmt	GOBP_CELLULAR_MODIFIED_AMINO_ACID_BIOSYNTHETIC_PROCESS	1/28	7.484302e-02	2.273832e-01	1.977553e+01	5.126534e+01	PLSCR1
c5.all.v2023.2.Hs.symbols.gmt	GOBP_CELLULAR_MODIFIED_AMINO_ACID_METABOLIC_PROCESS	1/127	2.979451e-01	4.579752e-01	4.277086e+00	5.178893e+00	PLSCR1
c5.all.v2023.2.Hs.symbols.gmt	GOBP_CELLULAR_RESPIRATION	1/243	4.928182e-01	6.085258e-01	2.217728e+00	1.569298e+00	PNPT1
c5.all.v2023.2.Hs.symbols.gmt	GOBP_CELLULAR_RESPONSE_TO_BIOTIC_STIMULUS	1/265	5.232543e-01	6.280803e-01	2.030935e+00	1.315412e+00	CMPK2
c5.all.v2023.2.Hs.symbols.gmt	GOBP_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS	1/318	5.894074e-01	6.838270e-01	1.687232e+00	8.919347e-01	PNPT1
c5.all.v2023.2.Hs.symbols.gmt	GOBP_CELLULAR_RESPONSE_TO_DSRNA	2/23	1.838864e-03	3.019386e-02	4.297342e+01	2.706727e+02	IFIT1;IFIH1
