Gene_set	Term	Overlap	P-value	Adjusted P-value	Odds Ratio	Combined Score	Genes
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ACTIVATED_T_CELL_PROLIFERATION	1/49	8.906869e-02	2.226044e-01	1.643200e+01	3.973829e+01	LGALS9
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ACTIVATION_OF_IMMUNE_RESPONSE	12/547	2.086405e-10	1.077107e-08	1.730607e+01	3.857594e+02	RSAD2;DDX60;IRF7;MNDA;LGALS9;OAS3;ZBP1;IFI35;OAS1;IFIH1;PLSCR1;EIF2AK2
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ACTIVATION_OF_INNATE_IMMUNE_RESPONSE	11/280	2.734762e-12	1.807131e-10	3.087090e+01	8.219370e+02	RSAD2;DDX60;IRF7;MNDA;LGALS9;OAS3;ZBP1;IFI35;OAS1;IFIH1;EIF2AK2
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ACUTE_INFLAMMATORY_RESPONSE	1/107	1.845498e-01	3.303101e-01	7.460737e+00	1.260742e+01	PLSCR1
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ACUTE_PHASE_RESPONSE	1/48	8.733063e-02	2.209345e-01	1.677880e+01	4.090763e+01	PLSCR1
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ADAPTIVE_IMMUNE_RESPONSE	2/745	4.163237e-01	5.222222e-01	1.770982e+00	1.551898e+00	RSAD2;IRF7
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS	2/371	1.563546e-01	2.979214e-01	3.634813e+00	6.744863e+00	RSAD2;IRF7
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ALPHA_BETA_T_CELL_ACTIVATION	2/181	4.625536e-02	1.653882e-01	7.556789e+00	2.322638e+01	RSAD2;LGALS9
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ALPHA_BETA_T_CELL_DIFFERENTIATION	2/124	2.315784e-02	1.270988e-01	1.110578e+01	4.181794e+01	RSAD2;LGALS9
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ALPHA_BETA_T_CELL_PROLIFERATION	1/47	8.558935e-02	2.175286e-01	1.714052e+01	4.213473e+01	LGALS9
c5.all.v2023.2.Hs.symbols.gmt	GOBP_AMIDE_BIOSYNTHETIC_PROCESS	2/1004	5.753533e-01	6.532534e-01	1.295248e+00	7.159754e-01	EIF2AK2;PNPT1
c5.all.v2023.2.Hs.symbols.gmt	GOBP_AMIDE_METABOLIC_PROCESS	2/1301	7.176535e-01	7.673550e-01	9.831246e-01	3.261697e-01	EIF2AK2;PNPT1
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ANIMAL_ORGAN_REGENERATION	1/64	1.147563e-01	2.536891e-01	1.254072e+01	2.714995e+01	PNPT1
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ANTIGEN_RECEPTOR_MEDIATED_SIGNALING_PATHWAY	1/205	3.242025e-01	4.488319e-01	3.865727e+00	4.354304e+00	MNDA
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ANTIVIRAL_INNATE_IMMUNE_RESPONSE	9/48	1.787756e-16	2.109553e-14	1.637257e+02	5.936761e+03	IFIT2;USP18;ZBP1;IFIT1;OAS1;IFIH1;MX1;EIF2AK2;IFIT3
c5.all.v2023.2.Hs.symbols.gmt	GOBP_APOPTOTIC_MITOCHONDRIAL_CHANGES	3/109	1.153419e-03	1.780793e-02	1.841757e+01	1.245953e+02	IFIT2;IFI6;TNFSF10
c5.all.v2023.2.Hs.symbols.gmt	GOBP_APOPTOTIC_PROCESS	12/1965	1.793802e-04	3.486306e-03	4.388177e+00	3.785243e+01	IFIT2;IRF7;IFI6;MNDA;XAF1;LGALS9;ZBP1;TNFSF10;MX1;PLSCR1;EIF2AK2;IFIT3
c5.all.v2023.2.Hs.symbols.gmt	GOBP_APOPTOTIC_SIGNALING_PATHWAY	2/622	3.318139e-01	4.562254e-01	2.135999e+00	2.356393e+00	IFI6;TNFSF10
c5.all.v2023.2.Hs.symbols.gmt	GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTERACTION_WITH_HOST	6/213	2.792841e-06	9.155822e-05	1.912683e+01	2.446025e+02	IFITM1;TRIM22;LGALS9;LY6E;IFIT1;PLSCR1
c5.all.v2023.2.Hs.symbols.gmt	GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTERSPECIES_INTERACTION_BETWEEN_ORGANISMS	32/1759	8.231983e-29	3.399809e-26	6.059084e+01	3.918224e+03	DDX60L;OAS2;IFITM1;ZBP1;LY6E;NT5C3A;MNDA;OAS3;SAMD9;IFIT1;MX1;EIF2AK2;MX2;DDX60;PARP9;IRF7;TRIM22;IFI44;HERC5;IFIH1;PLSCR1;DTX3L;IFI44L;IFIT2;RSAD2;USP18;LGALS9;IFI35;ISG15;OAS1;IFI6;IFIT3
c5.all.v2023.2.Hs.symbols.gmt	GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_SYMBIOTIC_INTERACTION	6/323	2.992645e-05	6.819461e-04	1.242872e+01	1.294671e+02	IFITM1;TRIM22;LGALS9;LY6E;IFIT1;PLSCR1
c5.all.v2023.2.Hs.symbols.gmt	GOBP_BIOMINERAL_TISSUE_DEVELOPMENT	1/174	2.827549e-01	4.119146e-01	4.563776e+00	5.764846e+00	ISG15
c5.all.v2023.2.Hs.symbols.gmt	GOBP_BODY_FLUID_SECRETION	1/92	1.608341e-01	3.029622e-01	8.690546e+00	1.588095e+01	OAS2
c5.all.v2023.2.Hs.symbols.gmt	GOBP_BONE_MINERALIZATION	1/122	2.076129e-01	3.506917e-01	6.534585e+00	1.027289e+01	ISG15
c5.all.v2023.2.Hs.symbols.gmt	GOBP_B_CELL_ACTIVATION	1/278	4.128125e-01	5.197913e-01	2.837986e+00	2.510942e+00	MNDA
c5.all.v2023.2.Hs.symbols.gmt	GOBP_B_CELL_MEDIATED_IMMUNITY	1/199	3.163666e-01	4.444198e-01	3.983817e+00	4.584790e+00	IRF7
c5.all.v2023.2.Hs.symbols.gmt	GOBP_B_CELL_PROLIFERATION	1/104	1.798594e-01	3.240215e-01	7.678181e+00	1.317253e+01	MNDA
c5.all.v2023.2.Hs.symbols.gmt	GOBP_B_CELL_RECEPTOR_SIGNALING_PATHWAY	1/77	1.364478e-01	2.752280e-01	1.040263e+01	2.072010e+01	MNDA
c5.all.v2023.2.Hs.symbols.gmt	GOBP_CANONICAL_NF_KAPPAB_SIGNAL_TRANSDUCTION	3/300	1.910652e-02	1.193552e-01	6.528048e+00	2.583622e+01	TNFSF10;LGALS9;TRIM22
