Gene_set	Term	Overlap	P-value	Adjusted P-value	Odds Ratio	Combined Score	Genes
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ACID_SECRETION	1/43	1.204793e-01	3.000536e-01	1.189412e+01	2.517125e+01	HRH2
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ACTION_POTENTIAL	1/146	3.540603e-01	5.102849e-01	3.455760e+00	3.588074e+00	CD36
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ACTIVATED_T_CELL_PROLIFERATION	1/49	1.361136e-01	3.167927e-01	1.041945e+01	2.077915e+01	LGALS9
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ACTIVATION_OF_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY	1/14	4.090616e-02	1.999539e-01	3.750048e+01	1.198693e+02	IFI16
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ACTIVATION_OF_IMMUNE_RESPONSE	14/547	5.246723e-10	3.667459e-08	1.153520e+01	2.464870e+02	RSAD2;DDX60;CD36;MNDA;LGALS9;OAS3;OASL;IFI35;NR1H3;OAS1;TRIM5;IFIH1;EIF2AK2;IFI16
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ACTIVATION_OF_INNATE_IMMUNE_RESPONSE	14/280	6.704492e-14	7.810733e-12	2.341849e+01	7.103628e+02	RSAD2;DDX60;CD36;MNDA;LGALS9;OAS3;OASL;IFI35;NR1H3;OAS1;TRIM5;IFIH1;EIF2AK2;IFI16
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ACUTE_INFLAMMATORY_RESPONSE	1/107	2.738367e-01	4.424004e-01	4.730802e+00	6.127445e+00	CD163
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ACUTE_PHASE_RESPONSE	1/48	1.335270e-01	3.142605e-01	1.063936e+01	2.142183e+01	CD163
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ACYLGLYCEROL_HOMEOSTASIS	1/43	1.204793e-01	3.000536e-01	1.189412e+01	2.517125e+01	NR1H3
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ACYLGLYCEROL_TRANSPORT	1/8	2.358034e-02	1.642790e-01	6.752174e+01	2.530270e+02	CD36
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ADAPTIVE_IMMUNE_RESPONSE	4/745	1.809809e-01	3.578433e-01	2.079921e+00	3.555341e+00	TNFSF13B;ADGRE1;RSAD2;CD4
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS	3/371	9.851961e-02	2.785964e-01	3.260369e+00	7.555904e+00	TNFSF13B;CD4;RSAD2
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ADAPTIVE_THERMOGENESIS	2/168	8.939805e-02	2.670480e-01	5.116665e+00	1.235499e+01	NR1H3;CD36
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ADENYLATE_CYCLASE_ACTIVATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	1/158	3.769434e-01	5.252162e-01	3.190476e+00	3.112821e+00	ADGRE1
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ADENYLATE_CYCLASE_MODULATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	1/248	5.249574e-01	6.456515e-01	2.020817e+00	1.302291e+00	ADGRE1
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ALPHA_BETA_T_CELL_ACTIVATION	2/181	1.013484e-01	2.800239e-01	4.742894e+00	1.085739e+01	RSAD2;LGALS9
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ALPHA_BETA_T_CELL_DIFFERENTIATION	2/124	5.274539e-02	2.181599e-01	6.970381e+00	2.050880e+01	RSAD2;LGALS9
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ALPHA_BETA_T_CELL_PROLIFERATION	1/47	1.309328e-01	3.112993e-01	1.086872e+01	2.209689e+01	LGALS9
c5.all.v2023.2.Hs.symbols.gmt	GOBP_AMIDE_BIOSYNTHETIC_PROCESS	2/1004	8.076069e-01	8.721306e-01	8.129014e-01	1.737006e-01	EIF2AK2;PNPT1
c5.all.v2023.2.Hs.symbols.gmt	GOBP_AMIDE_METABOLIC_PROCESS	3/1301	7.533610e-01	8.281768e-01	8.800903e-01	2.492511e-01	EIF2AK2;PNPT1;NLN
c5.all.v2023.2.Hs.symbols.gmt	GOBP_AMYLOID_BETA_CLEARANCE	1/39	1.099023e-01	2.895290e-01	1.313258e+01	2.899889e+01	CD36
c5.all.v2023.2.Hs.symbols.gmt	GOBP_AMYLOID_BETA_CLEARANCE_BY_CELLULAR_CATABOLIC_PROCESS	1/8	2.358034e-02	1.642790e-01	6.752174e+01	2.530270e+02	CD36
