Gene_set	Term	Overlap	P-value	Adjusted P-value	Odds Ratio	Combined Score	Genes
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ACTIVATION_OF_IMMUNE_RESPONSE	5/547	3.039116e-04	5.587707e-03	1.095713e+01	8.873932e+01	RSAD2;IRF7;OAS1;PLSCR1;EIF2AK2
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ACTIVATION_OF_INNATE_IMMUNE_RESPONSE	4/280	2.493093e-04	4.929739e-03	1.687264e+01	1.399892e+02	EIF2AK2;OAS1;RSAD2;IRF7
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ACUTE_INFLAMMATORY_RESPONSE	1/107	1.141957e-01	2.369844e-01	1.267573e+01	2.750432e+01	PLSCR1
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ACUTE_PHASE_RESPONSE	1/48	5.286537e-02	1.596626e-01	2.850698e+01	8.381070e+01	PLSCR1
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ADAPTIVE_IMMUNE_RESPONSE	2/745	2.049703e-01	3.183669e-01	3.069283e+00	4.864477e+00	RSAD2;IRF7
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS	2/371	6.507659e-02	1.739803e-01	6.299383e+00	1.721111e+01	RSAD2;IRF7
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ALPHA_BETA_T_CELL_ACTIVATION	1/181	1.857709e-01	3.023104e-01	7.450428e+00	1.254087e+01	RSAD2
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ALPHA_BETA_T_CELL_DIFFERENTIATION	1/124	1.311514e-01	2.512737e-01	1.092129e+01	2.218553e+01	RSAD2
c5.all.v2023.2.Hs.symbols.gmt	GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION	1/500	4.358624e-01	5.161399e-01	2.647741e+00	2.198760e+00	STAT1
c5.all.v2023.2.Hs.symbols.gmt	GOBP_AMIDE_BIOSYNTHETIC_PROCESS	1/1004	6.880695e-01	7.193281e-01	1.282894e+00	4.796296e-01	EIF2AK2
c5.all.v2023.2.Hs.symbols.gmt	GOBP_AMIDE_METABOLIC_PROCESS	1/1301	7.816725e-01	7.945613e-01	9.739814e-01	2.399106e-01	EIF2AK2
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS	1/1259	7.702933e-01	7.852795e-01	1.008814e+00	2.632844e-01	STAT1
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ANIMAL_ORGAN_MORPHOGENESIS	1/1042	7.018929e-01	7.297458e-01	1.233541e+00	4.366419e-01	STAT1
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ANTIVIRAL_INNATE_IMMUNE_RESPONSE	5/48	1.871947e-09	1.032526e-07	1.402545e+02	2.818595e+03	IFIT1;OAS1;MX1;EIF2AK2;IFIT3
c5.all.v2023.2.Hs.symbols.gmt	GOBP_APOPTOTIC_MITOCHONDRIAL_CHANGES	1/109	1.162068e-01	2.383263e-01	1.244079e+01	2.677735e+01	IFI6
c5.all.v2023.2.Hs.symbols.gmt	GOBP_APOPTOTIC_PROCESS	8/1965	9.242681e-04	1.308964e-02	5.240225e+00	3.661088e+01	STAT1;IRF7;IFI6;XAF1;MX1;PLSCR1;EIF2AK2;IFIT3
c5.all.v2023.2.Hs.symbols.gmt	GOBP_APOPTOTIC_SIGNALING_PATHWAY	1/622	5.105274e-01	5.734542e-01	2.114296e+00	1.421464e+00	IFI6
c5.all.v2023.2.Hs.symbols.gmt	GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTERACTION_WITH_HOST	4/213	8.714678e-05	1.943188e-03	2.234645e+01	2.088927e+02	LY6E;IFIT1;IFITM1;PLSCR1
c5.all.v2023.2.Hs.symbols.gmt	GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTERSPECIES_INTERACTION_BETWEEN_ORGANISMS	20/1759	2.282311e-19	5.979654e-17	8.351555e+01	3.584816e+03	OAS2;IFITM1;LY6E;IFIT1;MX1;EIF2AK2;MX2;STAT1;IRF7;PARP9;IFI44;HERC5;PLSCR1;IFI44L;RSAD2;IRF9;ISG15;OAS1;IFI6;IFIT3
c5.all.v2023.2.Hs.symbols.gmt	GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_SYMBIOTIC_INTERACTION	4/323	4.288509e-04	7.367799e-03	1.456909e+01	1.129746e+02	LY6E;IFIT1;IFITM1;PLSCR1
c5.all.v2023.2.Hs.symbols.gmt	GOBP_BIOMINERAL_TISSUE_DEVELOPMENT	1/174	1.792442e-01	2.962901e-01	7.753837e+00	1.332889e+01	ISG15
c5.all.v2023.2.Hs.symbols.gmt	GOBP_BLOOD_VESSEL_MORPHOGENESIS	1/709	5.579049e-01	6.128766e-01	1.846105e+00	1.077325e+00	STAT1
c5.all.v2023.2.Hs.symbols.gmt	GOBP_BODY_FLUID_SECRETION	1/92	9.897293e-02	2.210871e-01	1.476515e+01	3.415046e+01	OAS2
c5.all.v2023.2.Hs.symbols.gmt	GOBP_BONE_MINERALIZATION	1/122	1.291729e-01	2.502276e-01	1.110221e+01	2.272183e+01	ISG15
c5.all.v2023.2.Hs.symbols.gmt	GOBP_B_CELL_MEDIATED_IMMUNITY	1/199	2.023271e-01	3.169489e-01	6.768496e+00	1.081517e+01	IRF7
c5.all.v2023.2.Hs.symbols.gmt	GOBP_CANONICAL_NF_KAPPAB_SIGNAL_TRANSDUCTION	1/300	2.894271e-01	3.944338e-01	4.462437e+00	5.532761e+00	STAT1
c5.all.v2023.2.Hs.symbols.gmt	GOBP_CARBOHYDRATE_HOMEOSTASIS	1/254	2.509477e-01	3.573277e-01	5.284849e+00	7.306360e+00	OAS1
c5.all.v2023.2.Hs.symbols.gmt	GOBP_CARBOHYDRATE_METABOLIC_PROCESS	1/569	4.793300e-01	5.490031e-01	2.317911e+00	1.704513e+00	OAS1
c5.all.v2023.2.Hs.symbols.gmt	GOBP_CD4_POSITIVE_ALPHA_BETA_T_CELL_ACTIVATION	1/119	1.261969e-01	2.502276e-01	1.138505e+01	2.356604e+01	RSAD2
c5.all.v2023.2.Hs.symbols.gmt	GOBP_CD4_POSITIVE_ALPHA_BETA_T_CELL_CYTOKINE_PRODUCTION	1/19	2.125415e-02	1.081279e-01	7.330295e+01	2.823046e+02	RSAD2
c5.all.v2023.2.Hs.symbols.gmt	GOBP_CD4_POSITIVE_ALPHA_BETA_T_CELL_DIFFERENTIATION	1/93	9.999550e-02	2.210871e-01	1.460478e+01	3.362940e+01	RSAD2
c5.all.v2023.2.Hs.symbols.gmt	GOBP_CELLULAR_CATABOLIC_PROCESS	1/1613	8.508646e-01	8.533073e-01	7.720281e-01	1.246843e-01	OAS2
c5.all.v2023.2.Hs.symbols.gmt	GOBP_CELLULAR_LIPID_METABOLIC_PROCESS	1/1005	6.884409e-01	7.193281e-01	1.281547e+00	4.784345e-01	PLSCR1
c5.all.v2023.2.Hs.symbols.gmt	GOBP_CELLULAR_MODIFIED_AMINO_ACID_BIOSYNTHETIC_PROCESS	1/28	3.117074e-02	1.289787e-01	4.929006e+01	1.709515e+02	PLSCR1
c5.all.v2023.2.Hs.symbols.gmt	GOBP_CELLULAR_MODIFIED_AMINO_ACID_METABOLIC_PROCESS	1/127	1.341113e-01	2.527853e-01	1.066063e+01	2.141812e+01	PLSCR1
c5.all.v2023.2.Hs.symbols.gmt	GOBP_CELLULAR_RESPONSE_TO_DSRNA	1/23	2.567343e-02	1.154753e-01	6.025891e+01	2.206861e+02	IFIT1
c5.all.v2023.2.Hs.symbols.gmt	GOBP_CELLULAR_RESPONSE_TO_EXOGENOUS_DSRNA	1/17	1.903735e-02	1.039683e-01	8.219662e+01	3.256098e+02	IFIT1
c5.all.v2023.2.Hs.symbols.gmt	GOBP_CELLULAR_RESPONSE_TO_EXTERNAL_STIMULUS	1/345	3.252392e-01	4.239437e-01	3.870422e+00	4.347236e+00	EIF2AK2
c5.all.v2023.2.Hs.symbols.gmt	GOBP_CELLULAR_RESPONSE_TO_EXTRACELLULAR_STIMULUS	1/280	2.729347e-01	3.784008e-01	4.786745e+00	6.215698e+00	EIF2AK2
