Gene_set	Term	Overlap	P-value	Adjusted P-value	Odds Ratio	Combined Score	Genes
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ACTIVATION_OF_IMMUNE_RESPONSE	7/547	1.940368e-05	3.905889e-04	1.070806e+01	1.161829e+02	RSAD2;DDX60;IRF7;OAS3;OAS1;PLSCR1;EIF2AK2
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ACTIVATION_OF_INNATE_IMMUNE_RESPONSE	6/280	4.553641e-06	1.099957e-04	1.780367e+01	2.189777e+02	RSAD2;DDX60;IRF7;OAS3;OAS1;EIF2AK2
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ACUTE_INFLAMMATORY_RESPONSE	1/107	1.570983e-01	3.104834e-01	8.931194e+00	1.653060e+01	PLSCR1
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ACUTE_PHASE_RESPONSE	1/48	7.369446e-02	2.141868e-01	2.008576e+01	5.238021e+01	PLSCR1
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ADAPTIVE_IMMUNE_RESPONSE	2/745	3.335480e-01	4.614508e-01	2.131866e+00	2.340722e+00	RSAD2;IRF7
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS	2/371	1.173572e-01	2.685626e-01	4.375473e+00	9.374596e+00	RSAD2;IRF7
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ALPHA_BETA_T_CELL_ACTIVATION	1/181	2.514779e-01	3.996439e-01	5.249489e+00	7.246397e+00	RSAD2
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ALPHA_BETA_T_CELL_DIFFERENTIATION	1/124	1.797491e-01	3.300461e-01	7.695029e+00	1.320616e+01	RSAD2
c5.all.v2023.2.Hs.symbols.gmt	GOBP_AMIDE_BIOSYNTHETIC_PROCESS	2/1004	4.796767e-01	5.832310e-01	1.559195e+00	1.145452e+00	EIF2AK2;PNPT1
c5.all.v2023.2.Hs.symbols.gmt	GOBP_AMIDE_METABOLIC_PROCESS	2/1301	6.226668e-01	6.949064e-01	1.183473e+00	5.606630e-01	EIF2AK2;PNPT1
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ANIMAL_ORGAN_REGENERATION	1/64	9.707000e-02	2.425634e-01	1.501239e+01	3.501374e+01	PNPT1
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ANTIVIRAL_INNATE_IMMUNE_RESPONSE	7/48	8.789267e-13	6.824238e-11	1.431436e+02	3.973677e+03	IFIT2;USP18;IFIT1;OAS1;MX1;EIF2AK2;IFIT3
c5.all.v2023.2.Hs.symbols.gmt	GOBP_APOPTOTIC_MITOCHONDRIAL_CHANGES	3/109	6.837200e-04	9.290046e-03	2.230187e+01	1.625352e+02	IFIT2;IFI6;TNFSF10
c5.all.v2023.2.Hs.symbols.gmt	GOBP_APOPTOTIC_PROCESS	9/1965	2.734968e-03	3.033582e-02	3.774535e+00	2.227593e+01	IFIT2;IRF7;IFI6;XAF1;TNFSF10;MX1;PLSCR1;EIF2AK2;IFIT3
c5.all.v2023.2.Hs.symbols.gmt	GOBP_APOPTOTIC_SIGNALING_PATHWAY	2/622	2.604526e-01	4.082866e-01	2.571259e+00	3.459203e+00	IFI6;TNFSF10
c5.all.v2023.2.Hs.symbols.gmt	GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTERACTION_WITH_HOST	4/213	3.470580e-04	5.467422e-03	1.502604e+01	1.196977e+02	LY6E;IFIT1;PLSCR1;TRIM22
c5.all.v2023.2.Hs.symbols.gmt	GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTERSPECIES_INTERACTION_BETWEEN_ORGANISMS	25/1759	2.880463e-21	1.043688e-18	4.006198e+01	1.894785e+03	DDX60L;OAS2;HERC6;LY6E;OAS3;IFIT1;MX1;EIF2AK2;MX2;DDX60;PARP14;PARP9;IRF7;TRIM22;IFI44;HERC5;PLSCR1;IFI44L;RSAD2;IFIT2;USP18;ISG15;OAS1;IFI6;IFIT3
c5.all.v2023.2.Hs.symbols.gmt	GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_SYMBIOTIC_INTERACTION	4/323	1.640442e-03	1.938218e-02	9.796415e+00	6.282235e+01	LY6E;IFIT1;PLSCR1;TRIM22
c5.all.v2023.2.Hs.symbols.gmt	GOBP_BIOMINERAL_TISSUE_DEVELOPMENT	1/174	2.430075e-01	3.919127e-01	5.463268e+00	7.728683e+00	ISG15
c5.all.v2023.2.Hs.symbols.gmt	GOBP_BODY_FLUID_SECRETION	1/92	1.366106e-01	2.911681e-01	1.040339e+01	2.070920e+01	OAS2
c5.all.v2023.2.Hs.symbols.gmt	GOBP_BONE_MINERALIZATION	1/122	1.771152e-01	3.285397e-01	7.822506e+00	1.354040e+01	ISG15
c5.all.v2023.2.Hs.symbols.gmt	GOBP_B_CELL_MEDIATED_IMMUNITY	1/199	2.728398e-01	4.159563e-01	4.769005e+00	6.194321e+00	IRF7
c5.all.v2023.2.Hs.symbols.gmt	GOBP_CANONICAL_NF_KAPPAB_SIGNAL_TRANSDUCTION	2/300	8.211117e-02	2.259896e-01	5.436363e+00	1.358917e+01	TNFSF10;TRIM22
c5.all.v2023.2.Hs.symbols.gmt	GOBP_CARBOHYDRATE_HOMEOSTASIS	1/254	3.345200e-01	4.614508e-01	3.723640e+00	4.077604e+00	OAS1
