Gene_set	Term	Overlap	P-value	Adjusted P-value	Odds Ratio	Combined Score	Genes
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ANTIVIRAL_INNATE_IMMUNE_RESPONSE	1/48	4.922943e-03	1.579444e-02	4.090211e+02	2.173476e+03	MX1
c5.all.v2023.2.Hs.symbols.gmt	GOBP_APOPTOTIC_PROCESS	1/1965	1.916027e-01	1.941238e-01	8.913973e+00	1.472884e+01	MX1
c5.all.v2023.2.Hs.symbols.gmt	GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTERSPECIES_INTERACTION_BETWEEN_ORGANISMS	2/1759	8.151976e-03	2.061717e-02	5.040825e+01	2.424382e+02	ISG20;MX1
c5.all.v2023.2.Hs.symbols.gmt	GOBP_CELLULAR_CATABOLIC_PROCESS	1/1613	1.587767e-01	1.630108e-01	1.107814e+01	2.038662e+01	ISG20
c5.all.v2023.2.Hs.symbols.gmt	GOBP_CYTOKINE_MEDIATED_SIGNALING_PATHWAY	1/512	5.188512e-02	7.398433e-02	3.707625e+01	1.096984e+02	MX1
c5.all.v2023.2.Hs.symbols.gmt	GOBP_DEFENSE_RESPONSE	2/1855	9.066336e-03	2.065035e-02	4.753844e+01	2.235822e+02	ISG20;MX1
c5.all.v2023.2.Hs.symbols.gmt	GOBP_DEFENSE_RESPONSE_TO_OTHER_ORGANISM	2/1235	4.017541e-03	1.406139e-02	7.394609e+01	4.079669e+02	ISG20;MX1
c5.all.v2023.2.Hs.symbols.gmt	GOBP_DEFENSE_RESPONSE_TO_SYMBIONT	2/338	3.002789e-04	3.303068e-03	2.843908e+02	2.306637e+03	ISG20;MX1
c5.all.v2023.2.Hs.symbols.gmt	GOBP_DNA_CATABOLIC_PROCESS	1/32	3.283312e-03	1.264075e-02	6.172857e+02	3.530197e+03	ISG20
c5.all.v2023.2.Hs.symbols.gmt	GOBP_DNA_METABOLIC_PROCESS	1/1037	1.036524e-01	1.199049e-01	1.779016e+01	4.032517e+01	ISG20
c5.all.v2023.2.Hs.symbols.gmt	GOBP_HETEROCYCLE_CATABOLIC_PROCESS	1/545	5.518186e-02	7.725461e-02	3.476860e+01	1.007288e+02	ISG20
c5.all.v2023.2.Hs.symbols.gmt	GOBP_INNATE_IMMUNE_RESPONSE	2/977	2.513753e-03	1.097485e-02	9.482573e+01	5.676248e+02	ISG20;MX1
c5.all.v2023.2.Hs.symbols.gmt	GOBP_INTERLEUKIN_27_MEDIATED_SIGNALING_PATHWAY	1/7	7.186858e-04	4.611567e-03	2.995308e+03	2.168030e+04	MX1
c5.all.v2023.2.Hs.symbols.gmt	GOBP_MACROMOLECULE_CATABOLIC_PROCESS	1/1419	1.404059e-01	1.511742e-01	1.273000e+01	2.499175e+01	ISG20
