Gene_set	Term	Overlap	P-value	Adjusted P-value	Odds Ratio	Combined Score	Genes
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ACTIN_FILAMENT_BASED_PROCESS	1/809	9.368450e-01	9.625293e-01	5.351426e-01	3.491134e-02	BST2
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ACTIVATED_T_CELL_PROLIFERATION	1/49	1.512598e-01	3.283761e-01	9.285303e+00	1.753767e+01	LGALS9
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ACTIVATION_OF_IMMUNE_RESPONSE	15/547	2.506506e-10	1.790585e-08	1.088264e+01	2.405821e+02	RSAD2;DDX60;IRF7;GBP1;LGALS9;OAS3;ZBP1;OASL;IFI35;OAS1;NMI;IFIH1;PLSCR1;CD38;EIF2AK2
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ACTIVATION_OF_INNATE_IMMUNE_RESPONSE	12/280	1.259515e-10	9.287911e-09	1.665927e+01	3.797501e+02	RSAD2;DDX60;IRF7;LGALS9;OAS3;ZBP1;OASL;IFI35;OAS1;NMI;IFIH1;EIF2AK2
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ACUTE_INFLAMMATORY_RESPONSE	1/107	3.013906e-01	4.824711e-01	4.215853e+00	5.056275e+00	PLSCR1
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ACUTE_PHASE_RESPONSE	1/48	1.484108e-01	3.259051e-01	9.481273e+00	1.808810e+01	PLSCR1
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ADAPTIVE_IMMUNE_RESPONSE	2/745	7.163608e-01	7.992196e-01	9.885941e-01	3.297666e-01	RSAD2;IRF7
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS	2/371	3.520564e-01	5.249844e-01	2.029077e+00	2.118283e+00	RSAD2;IRF7
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ALPHA_BETA_T_CELL_ACTIVATION	2/181	1.223954e-01	2.976551e-01	4.218520e+00	8.860996e+00	RSAD2;LGALS9
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ALPHA_BETA_T_CELL_DIFFERENTIATION	2/124	6.451029e-02	2.261589e-01	6.199743e+00	1.699306e+01	RSAD2;LGALS9
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ALPHA_BETA_T_CELL_PROLIFERATION	1/47	1.455524e-01	3.224155e-01	9.685671e+00	1.866641e+01	LGALS9
c5.all.v2023.2.Hs.symbols.gmt	GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION	2/500	5.000289e-01	6.385845e-01	1.493812e+00	1.035345e+00	STAT1;SP100
c5.all.v2023.2.Hs.symbols.gmt	GOBP_AMIDE_BIOSYNTHETIC_PROCESS	3/1004	6.581114e-01	7.567619e-01	1.029500e+00	4.307231e-01	EIF2AK2;PNPT1;SHFL
