names,scores,logfoldchanges,pvals,pvals_adj,Cell type,Regulation
IFI44L,19.345789,1.8745004,2.2119458809852195e-83,3.657894903385258e-79,CD4+ T Cells,upregulated
XAF1,18.944569,1.3382483,4.895908875792359e-80,4.0481822539489126e-76,CD4+ T Cells,upregulated
ISG15,14.869338,1.1085596,5.212651931258861e-50,2.8733874995742594e-46,CD4+ T Cells,upregulated
IFI6,13.795847,1.2426851,2.699625725458607e-43,8.928742124381797e-40,CD4+ T Cells,upregulated
MX1,13.156582,1.1268215,1.5598396479514957e-39,4.2991780430289804e-36,CD4+ T Cells,upregulated
EIF2AK2,11.001109,1.0395917,3.774618385479855e-28,7.8026080300850455e-25,CD4+ T Cells,upregulated
SAMD9L,8.310588,1.0765548,9.522924076921483e-17,8.28845239263424e-14,CD4+ T Cells,upregulated
IFIT3,7.9173584,1.5072802,2.426101218616279e-15,1.6048174340902964e-12,CD4+ T Cells,upregulated
HERC5,7.9100056,1.3429445,2.5737702489124913e-15,1.6370168694717642e-12,CD4+ T Cells,upregulated
IFIT1,7.7069235,2.5555258,1.2888689365279272e-14,7.894083556800864e-12,CD4+ T Cells,upregulated
OAS1,6.901665,1.890747,5.1396475220923224e-12,2.2366934492852828e-09,CD4+ T Cells,upregulated
IFI44,6.681872,1.4908187,2.359090593052888e-11,8.669395808292357e-09,CD4+ T Cells,upregulated
RSAD2,5.529227,1.5029694,3.216457552390321e-08,8.311024772481052e-06,CD4+ T Cells,upregulated
OASL,4.2542515,1.6098925,2.097495872290529e-05,0.0030969901107204,CD4+ T Cells,upregulated
OAS3,4.1680346,1.7245309,3.072371755423458e-05,0.004198992704085762,CD4+ T Cells,upregulated
IFI6,11.348984,1.5808377,7.502951528258762e-30,1.2407630942281516e-25,CD8+ Effector T Cells,upregulated
XAF1,11.096416,1.2511659,1.305747031084265e-28,1.0796569326520246e-24,CD8+ Effector T Cells,upregulated
ISG15,10.874564,1.1299237,1.523816303078639e-27,8.399783401337151e-24,CD8+ Effector T Cells,upregulated
LY6E,9.830851,1.0161141,8.291522786584702e-23,3.42792280804378e-19,CD8+ Effector T Cells,upregulated
IFI44L,9.716995,2.4390504,2.5520031472257777e-22,8.440495209134537e-19,CD8+ Effector T Cells,upregulated
MX1,9.46394,1.6680573,2.9655543670803125e-21,8.173562094734521e-18,CD8+ Effector T Cells,upregulated
EIF2AK2,8.317207,1.1769073,9.006013014691294e-17,1.861655465299374e-13,CD8+ Effector T Cells,upregulated
MX2,7.157087,1.3850945,8.240947175208655e-13,1.135671195303546e-09,CD8+ Effector T Cells,upregulated
STAT1,6.4285088,1.0403708,1.2886170250151893e-10,1.2535211613338934e-07,CD8+ Effector T Cells,upregulated
IFIT3,4.939731,1.583222,7.823044570118319e-07,0.0003696276801601332,CD8+ Effector T Cells,upregulated
IFIT1,4.771033,2.9008653,1.8328378948395167e-06,0.0007771702632554125,CD8+ Effector T Cells,upregulated
IFI44,4.4528565,1.5176011,8.47353607284623e-06,0.002919309709097044,CD8+ Effector T Cells,upregulated
RSAD2,4.3659115,2.0964496,1.2659370621753956e-05,0.0041048629798420624,CD8+ Effector T Cells,upregulated
PLSCR1,4.3485937,1.2110656,1.370133034858818e-05,0.00435728653797313,CD8+ Effector T Cells,upregulated
HERC5,4.3054147,1.208778,1.6667334163367616e-05,0.005200522736973778,CD8+ Effector T Cells,upregulated
IFI6,16.945673,1.4235886,2.0714747337221117e-64,5.7093296119270934e-61,CD14+ Monocytes,upregulated
XAF1,14.846194,1.6991001,7.363156416804635e-50,1.0147043138724855e-46,CD14+ Monocytes,upregulated
MX2,14.488751,1.8495904,1.4271354745785409e-47,1.6857528102218094e-44,CD14+ Monocytes,upregulated
LY6E,14.050463,1.6391058,7.653217315696143e-45,7.44477969115689e-42,CD14+ Monocytes,upregulated
ISG15,13.884355,1.5194583,7.880713580873144e-44,6.859124236152588e-41,CD14+ Monocytes,upregulated
MX1,13.850691,2.1592467,1.259949596024579e-43,9.921803080694508e-41,CD14+ Monocytes,upregulated
IFITM3,13.723417,1.7341385,7.35165683660779e-43,5.2858412655210004e-40,CD14+ Monocytes,upregulated
EIF2AK2,12.217875,1.3183758,2.495222975956224e-34,1.0064268866680018e-31,CD14+ Monocytes,upregulated
EPSTI1,11.966146,1.5361573,5.345385389060027e-33,2.1046818614020397e-30,CD14+ Monocytes,upregulated
CD163,11.490776,1.6207048,1.4678808568646456e-30,5.2770316804284015e-28,CD14+ Monocytes,upregulated
OAS3,10.879251,2.3219743,1.4474813495307348e-27,4.6935292308215215e-25,CD14+ Monocytes,upregulated
IFIT3,10.524722,2.2264109,6.645737224837951e-26,1.894837180812848e-23,CD14+ Monocytes,upregulated
OAS2,9.720884,2.3049455,2.4563970574434956e-22,5.141954194802922e-20,CD14+ Monocytes,upregulated
OAS1,9.696769,2.1939657,3.111992193637946e-22,6.432876863273838e-20,CD14+ Monocytes,upregulated
