names,scores,logfoldchanges,pvals,pvals_adj,Cell type,Regulation,-log10_pvals_adj
IFI44L,21.693127,2.0260546,2.3822848139974673e-104,3.9395843969076116e-100,CD4+ T Cells,upregulated,99.40454959128354
XAF1,20.932613,1.4381422,2.7026952964046935e-97,2.234723605832221e-93,CD4+ T Cells,upregulated,92.65077618344245
ISG15,17.315535,1.2916015,3.59170709372283e-67,1.9798686736298146e-63,CD4+ T Cells,upregulated,62.70336361590485
IFI6,16.576138,1.4759719,1.0368255337343741e-61,3.429196770273069e-58,CD4+ T Cells,upregulated,57.46480759397751
MX1,14.615284,1.2659216,2.2441745652917053e-48,6.185319131038155e-45,CD4+ T Cells,upregulated,44.20863788806827
EIF2AK2,13.407893,1.2114599,5.43611885096373e-41,1.2842442491198171e-37,CD4+ T Cells,upregulated,36.891352370381604
IFIT3,11.125071,1.8928459,9.47304048880878e-29,1.1189690754530771e-25,CD4+ T Cells,upregulated,24.9511819157466
SAMD9L,10.80459,1.3206689,3.274170571518937e-27,3.384059921325541e-24,CD4+ T Cells,upregulated,23.47056195554122
HERC5,10.785455,1.647567,4.0324585187411334e-27,3.922633324966007e-24,CD4+ T Cells,upregulated,23.406422286412024
IFIT1,10.703028,2.976985,9.850603166969131e-27,8.573653924850976e-24,CD4+ T Cells,upregulated,23.066834050748515
IFI44,8.006984,1.6528107,1.1755578566268784e-15,4.984666737189407e-13,CD4+ T Cells,upregulated,12.302363872264632
RSAD2,7.998431,1.8885853,1.2601463640229836e-15,5.20976010546202e-13,CD4+ T Cells,upregulated,12.283182274257626
OAS1,7.700972,1.995791,1.3503495515621989e-14,4.962384563152018e-12,CD4+ T Cells,upregulated,11.304309582832193
EPSTI1,7.293928,1.0118191,3.010460014856423e-13,9.956795453136134e-11,CD4+ T Cells,upregulated,10.001880414684202
PLSCR1,6.228438,1.0069584,4.711085807285563e-10,1.067222273905224e-07,CD4+ T Cells,upregulated,6.9717451192097775
IFIT2,6.2250557,1.9580766,4.813855173394638e-10,1.075766527059826e-07,CD4+ T Cells,upregulated,6.968281973104343
OASL,5.9095926,1.9801569,3.4295486117070946e-09,7.001783381703731e-07,CD4+ T Cells,upregulated,6.154791329387321
OAS3,5.7852473,2.0260482,7.240569084914694e-09,1.4086740112615799e-06,CD4+ T Cells,upregulated,5.851189497657371
DDX60,5.236206,1.0877112,1.6391078029375848e-07,2.7379722966847314e-05,CD4+ T Cells,upregulated,4.5625709504525105
HERC6,4.8253307,1.2750338,1.3977105378672243e-06,0.00019755503559581444,CD4+ T Cells,upregulated,3.704311895855463
HELZ2,4.5426755,1.3234366,5.554469332297045e-06,0.0007120485220790405,CD4+ T Cells,upregulated,3.1474904106424093
USP18,4.4930625,2.070362,7.020615840325406e-06,0.0008729317605373026,CD4+ T Cells,upregulated,3.0590197049547188
SPATS2L,4.3779726,1.4338342,1.1978843001948137e-05,0.001395029061431101,CD4+ T Cells,upregulated,2.855416745015689
IFI6,15.246898,1.9567207,1.726432992749229e-52,2.8550022401094e-48,CD8+ Effector T Cells,upregulated,47.544393546659194
XAF1,13.242347,1.4077729,4.99629631741089e-40,4.131187610051194e-36,CD8+ Effector T Cells,upregulated,35.38392508191524
ISG15,12.253605,1.290899,1.606917666773871e-34,8.857865818479834e-31,CD8+ Effector T Cells,upregulated,30.052670902820186
LY6E,11.778795,1.1434519,5.020528351582095e-32,2.075611933752828e-28,CD8+ Effector T Cells,upregulated,27.682853840989203
MX1,11.726003,1.9172127,9.378361404858042e-32,3.1017992510427487e-28,CD8+ Effector T Cells,upregulated,27.508386313223127
IFI44L,10.752492,2.5514305,5.768197164830115e-27,1.5898112752465934e-23,CD8+ Effector T Cells,upregulated,22.79865442724158
EIF2AK2,10.104494,1.3093333,5.276706627793166e-24,1.2465842500545084e-20,CD8+ Effector T Cells,upregulated,19.9042783644949
MX2,8.867971,1.5785657,7.449025820740385e-19,1.1963429180376887e-15,CD8+ Effector T Cells,upregulated,14.922144316948525
IRF9,8.86061,1.1151463,7.957774746577115e-19,1.1963429180376887e-15,CD8+ Effector T Cells,upregulated,14.922144316948525
SAMD9L,7.99435,1.0262535,1.3025914766950535e-15,1.7950796041755082e-12,CD8+ Effector T Cells,upregulated,11.745916287538256
STAT1,7.6287913,1.1569831,2.36964439955876e-14,3.01436995657717e-11,CD8+ Effector T Cells,upregulated,10.520803447363123
HERC5,6.901046,1.6515825,5.16210502735423e-12,5.021513578668053e-09,CD8+ Effector T Cells,upregulated,8.29916535859475
IFIT3,6.6232796,1.9253559,3.513158967854598e-11,3.057742623758499e-08,CD8+ Effector T Cells,upregulated,7.514599072810413
IFI44,5.7874813,1.7337825,7.1449605926294075e-09,5.137226666100544e-06,CD8+ Effector T Cells,upregulated,5.2892712717946475
IFIT1,5.531562,3.049924,3.173919258664062e-08,1.9439667696491702e-05,CD8+ Effector T Cells,upregulated,4.711311163217021
RSAD2,5.4860277,2.3895283,4.110725556676767e-08,2.4278238760987032e-05,CD8+ Effector T Cells,upregulated,4.614782821885424
IRF7,5.3869314,1.1631522,7.1670802294771e-08,4.086965715684924e-05,CD8+ Effector T Cells,upregulated,4.388599005437735
OAS2,5.32546,1.2595332,1.0069777221119092e-07,5.5387869033265024e-05,CD8+ Effector T Cells,upregulated,4.256585343372849
PARP9,4.794122,1.1599556,1.6338855543114947e-06,0.0007505434836569218,CD8+ Effector T Cells,upregulated,3.1246241413085336
IFITM1,4.6951766,1.0769824,2.663763364767728e-06,0.0011905582368422682,CD8+ Effector T Cells,upregulated,2.9242493559746445
EPSTI1,4.471496,1.1266615,7.767430762517394e-06,0.0032935898081987215,CD8+ Effector T Cells,upregulated,2.4823304899047605
OAS1,4.3695836,1.5879921,1.2448371069446507e-05,0.004787411915707834,CD8+ Effector T Cells,upregulated,2.319899203597515
PLSCR1,4.239502,1.17334,2.240164434455843e-05,0.008232355389465838,CD8+ Effector T Cells,upregulated,2.084475889417587
IFI6,21.050566,1.6953832,2.259682610848251e-98,5.3383387622282184e-95,CD14+ Monocytes,upregulated,94.27259387005803
MX2,18.99178,2.1184757,1.9945569866217554e-80,2.3559992062688547e-77,CD14+ Monocytes,upregulated,76.6278248601978
XAF1,18.827543,1.9465445,4.491155681766468e-79,4.641890094335755e-76,CD14+ Monocytes,upregulated,75.33330514651443
ISG15,18.320555,1.8242141,5.673211460616393e-75,5.5186998778949e-72,CD14+ Monocytes,upregulated,71.2581632234231
LY6E,17.139025,1.8864952,7.591221643959254e-66,5.977906301245438e-63,CD14+ Monocytes,upregulated,62.22345089645147
IFI16,16.20683,1.0970578,4.512521967445756e-59,2.87013752983271e-56,CD14+ Monocytes,upregulated,55.5420972924589
MX1,15.895138,2.3471072,6.847817456015695e-57,3.904908871383846e-54,CD14+ Monocytes,upregulated,53.40838909677181
EIF2AK2,15.462332,1.5319122,6.230161330945125e-54,3.2196305603074856e-51,CD14+ Monocytes,upregulated,50.49219395899509
IFITM3,15.055288,1.9038439,3.1870815108254565e-51,1.4244531606627183e-48,CD14+ Monocytes,upregulated,47.8463518268037
EPSTI1,14.572863,1.7006255,4.180005018556709e-48,1.6075521626016813e-45,CD14+ Monocytes,upregulated,44.79383492598537
CD163,13.0571995,1.7423507,5.781598765638986e-39,1.5421015933447082e-36,CD14+ Monocytes,upregulated,35.81188701410892
IFIT3,12.862923,2.458186,7.277244103636233e-38,1.8233906930580666e-35,CD14+ Monocytes,upregulated,34.739120266254545
OAS1,12.75627,2.5217056,2.8764753653283543e-37,6.893952625570289e-35,CD14+ Monocytes,upregulated,34.1615317053383
OAS3,12.663378,2.5476935,9.435091074620528e-37,2.149931312622563e-34,CD14+ Monocytes,upregulated,33.667575414979986
PARP9,12.151726,1.4430398,5.61672651824254e-34,1.1757443852174288e-31,CD14+ Monocytes,upregulated,30.929687086555866
OAS2,11.862303,2.5613909,1.8579442074685594e-32,3.657717066536615e-30,CD14+ Monocytes,upregulated,29.436789891312902
MNDA,11.8104925,1.6478364,3.4453651785556196e-32,6.703059289149915e-30,CD14+ Monocytes,upregulated,29.173726939216333
LAP3,11.439309,1.0039616,2.6599530728847813e-30,4.833807029263256e-28,CD14+ Monocytes,upregulated,27.315710691081645
HERC5,11.234123,2.0482702,2.772331086817308e-29,4.8258988613366126e-27,CD14+ Monocytes,upregulated,26.316421784048384
SP110,10.987112,1.1368935,4.408060653586445e-28,7.00924029118837e-26,CD14+ Monocytes,upregulated,25.154329051252244
TNFSF13B,10.983802,1.8008547,4.572657152850521e-28,7.13377654119708e-26,CD14+ Monocytes,upregulated,25.14668049864849
IFI35,10.653915,1.202599,1.6718269119438133e-26,2.323277448976037e-24,CD14+ Monocytes,upregulated,23.63389892306063
IFIT1,10.309377,3.5326562,6.391477100073089e-25,8.322508409756589e-23,CD14+ Monocytes,upregulated,22.07974575732371
DDX58,10.215982,1.6989034,1.6816626480162226e-24,2.0909515195672385e-22,CD14+ Monocytes,upregulated,21.679656036540774
IFI44,10.197511,2.786718,2.0341915344762294e-24,2.473487162178927e-22,CD14+ Monocytes,upregulated,21.60669033935653
IFIH1,10.064501,1.2422742,7.928865306776129e-24,9.433068027205529e-22,CD14+ Monocytes,upregulated,21.025347033606074
APOBEC3A,9.985846,2.4320612,1.7579569456692335e-23,2.061796738335611e-21,CD14+ Monocytes,upregulated,20.685754151744252
SAMD9L,9.622557,1.4582385,6.421456482783367e-22,6.98629117472293e-20,CD14+ Monocytes,upregulated,19.155753317790815
LGALS9,9.4816885,1.1885403,2.5020161205887658e-21,2.6701081392206957e-19,CD14+ Monocytes,upregulated,18.573471149378577
SIGLEC1,9.454442,2.6660082,3.2474790027773634e-21,3.4425359146749524e-19,CD14+ Monocytes,upregulated,18.46312152021736
