Gene,LogFC,Adjusted_PValue,Regulation
PKM,2.8622775,1.8503372555892993e-308,Upregulated
TNFRSF9,7.074211,1.0432783242769943e-301,Upregulated
IL2RA,5.573952,0.0,Upregulated
LAG3,5.0549946,0.0,Upregulated
CCL3,4.65774,0.0,Upregulated
PTMS,4.341024,0.0,Upregulated
IFI6,4.2039785,0.0,Upregulated
MX1,3.8186116,0.0,Upregulated
HSP90AB1,3.1613476,0.0,Upregulated
ISG15,2.999666,0.0,Upregulated
PDIA6,2.8580184,0.0,Upregulated
CYBA,-1.8873879,0.0,Downregulated
CXCR4,-2.908718,0.0,Downregulated
CD52,-3.806924,0.0,Downregulated
SEC61G,2.5575466,3.9045462671138086e-293,Upregulated
LY6E,2.7100594,1.8420505084292334e-289,Upregulated
HOPX,3.96472,3.418080322553257e-285,Upregulated
STAT1,3.2521298,7.188385835308541e-279,Upregulated
BST2,2.6525087,4.097214743604659e-278,Upregulated
WARS,3.6746094,3.145046687413342e-261,Upregulated
GPR171,2.7055538,4.063248200382288e-259,Upregulated
ID2,3.0353718,1.2814807952190817e-240,Upregulated
TNFAIP8,2.307885,2.1152873848306373e-234,Upregulated
SDF2L1,2.7782223,2.597876113086678e-234,Upregulated
HSPE1,2.3786356,5.469451002863102e-231,Upregulated
LINC01943,4.0932336,1.1795555627894357e-226,Upregulated
MAF,2.5050788,1.7942137017786578e-218,Upregulated
TYMP,2.7449431,6.103064946875962e-211,Upregulated
IFI35,2.9067807,1.6978492039580715e-200,Upregulated
TPM4,2.9677334,1.40717700988632e-199,Upregulated
YWHAQ,2.1101456,7.04219946807007e-199,Upregulated
IFIT3,4.2751307,4.034034224719283e-198,Upregulated
LAPTM5,-1.9575261,2.9124566201213156e-196,Downregulated
YPEL3,-2.7049093,1.3669476252758345e-187,Downregulated
FKBP11,2.3835227,3.827274931478534e-184,Upregulated
HSPD1,2.314128,8.138848489326659e-179,Upregulated
BCL11B,-2.4547632,1.1182372854750832e-168,Downregulated
BATF3,5.2488394,1.1412292862049917e-167,Upregulated
IRF4,4.607092,1.5793728205842174e-163,Upregulated
CCL4L2,4.6558127,1.5999302655597727e-162,Upregulated
IFI44L,3.7376823,1.9044225142754806e-157,Upregulated
