Gene,LogFC,Adjusted_PValue,Regulation
HAVCR2,4.961784,0.0,Upregulated
IFIT3,4.745559,0.0,Upregulated
IFI6,3.8357964,0.0,Upregulated
ISG15,3.3682933,0.0,Upregulated
HOPX,3.2336044,0.0,Upregulated
ISG20,3.0566785,0.0,Upregulated
PRF1,2.96111,0.0,Upregulated
LY6E,2.43698,0.0,Upregulated
MX1,3.4624078,3.594453442775202e-300,Upregulated
HSPA5,2.9232328,1.002393131328112e-282,Upregulated
IFI44L,3.567236,1.7381302330192437e-271,Upregulated
WARS,3.9469192,7.514527971250428e-264,Upregulated
CALR,2.6133182,1.2503770633847345e-259,Upregulated
HSP90B1,2.507142,2.3204742267936147e-254,Upregulated
CXCR4,-3.186087,5.167375649768485e-248,Downregulated
BTG1,-1.565965,3.0464486206024936e-243,Downregulated
FGFBP2,-5.2001467,7.043255225335121e-243,Downregulated
CCND2,3.2324393,4.236265576542236e-241,Upregulated
TYMP,2.7699273,5.818421247713462e-232,Upregulated
CYBA,-1.6750485,5.228623293107556e-221,Downregulated
STAT1,2.8763764,5.7733113889545644e-220,Upregulated
HSP90AA1,1.5415338,3.865240254283429e-216,Upregulated
HSP90AB1,2.1138227,4.801952098963202e-215,Upregulated
PDIA6,2.6452925,2.268047107616958e-196,Upregulated
GBP1,3.661475,2.105814298249009e-195,Upregulated
GZMA,1.930876,6.589447536397557e-185,Upregulated
PLSCR1,3.0815997,3.1824936356073484e-177,Upregulated
SDF2L1,2.997459,1.2615332487110358e-168,Upregulated
GBP5,2.5699627,3.543795284689563e-165,Upregulated
SEC61G,2.2906015,4.451525915493057e-162,Upregulated
TUBA1B,2.3041482,1.3612913515853878e-159,Upregulated
APOL6,2.7950327,3.0521301922520477e-154,Upregulated
CLIC3,-1.5830644,7.874348529471879e-154,Downregulated
CD38,2.3656936,9.931809404009577e-154,Upregulated
APOBEC3G,1.5014666,5.320449651825732e-151,Upregulated
IVNS1ABP,2.7241852,6.868780607450858e-150,Upregulated
GBP2,2.1590226,1.2162549930771186e-149,Upregulated
ID2,2.2627497,2.285957155662754e-149,Upregulated
IGFBP7,3.1977618,6.558732998301764e-145,Upregulated
ACTG1,1.2313206,4.082159778694175e-144,Upregulated
TNFSF10,3.1318614,4.63919812724541e-136,Upregulated
IRF7,2.4169865,2.5578110331759715e-135,Upregulated
PARP14,2.12351,1.2192840111142143e-134,Upregulated
GBP4,2.2240798,5.449880250196641e-130,Upregulated
MXD4,-2.4781718,1.2180942589801092e-128,Downregulated
EIF2AK2,2.1681874,1.8783159197070648e-128,Upregulated
SAMD9L,2.0114992,1.2736065681451669e-124,Upregulated
KLRB1,-1.8487338,5.103081107976456e-124,Downregulated
IFITM3,2.596063,3.9353294009750476e-122,Upregulated
TNFRSF18,2.57207,5.086053289805674e-121,Upregulated
LSP1,-1.6530657,6.693245931049721e-116,Downregulated
AC004687.1,-1.2401326,1.5783201145855136e-110,Downregulated
PKM,2.22513,2.7411786759783026e-109,Upregulated
TNFRSF9,5.782195,7.471944860181972e-109,Upregulated
CDK6,4.053169,2.5135219774449587e-106,Upregulated
NME2,1.9017363,1.0294344980789122e-105,Upregulated
CD48,1.923879,5.030048684991915e-105,Upregulated
IL2RA,3.5888782,8.876865687884571e-104,Upregulated
TPM4,3.1341016,3.221500693881229e-103,Upregulated
FCER1G,1.4391205,1.6304270965274857e-101,Upregulated
KLRC1,1.9696845,9.610782103338917e-99,Upregulated
GNPTAB,1.7522445,2.1554655303629855e-98,Upregulated
VMP1,2.6174083,1.2960347044509748e-93,Upregulated
UPP1,1.8506919,7.665365520950229e-93,Upregulated
LAP3,2.336547,4.375311661748191e-91,Upregulated
MX2,2.5828526,5.748344308940277e-91,Upregulated
CD69,1.675002,4.18773589886088e-87,Upregulated
LMAN1,2.2229202,7.455572788773319e-86,Upregulated
IFIT2,2.8675604,1.2715588807668086e-84,Upregulated
SLAMF7,2.3013916,2.81303206397787e-82,Upregulated
LINC01871,2.341186,1.7024172171265733e-80,Upregulated
RSAD2,3.06183,1.4737437450512938e-79,Upregulated
FEZ1,3.9296753,5.108146187431433e-79,Upregulated
LBH,-1.7083308,8.879508219825843e-78,Downregulated
NFKBIA,1.2264879,1.4775576485863382e-77,Upregulated
HERC5,2.7128472,1.576420529699268e-77,Upregulated
CTSC,1.5890146,2.180522024759815e-77,Upregulated
SOCS1,3.0312293,1.9723284541255103e-75,Upregulated
GZMM,-1.8845729,5.718762628893388e-75,Downregulated
P2RX5,3.946012,5.4994418786837174e-71,Upregulated
HCST,-1.2692627,1.5684542367700652e-69,Downregulated
PDCD4,-1.731769,2.5113615516756927e-69,Downregulated
DDX21,2.0842016,1.0135506271300742e-66,Upregulated
PRDM1,2.983199,7.424336421888283e-66,Upregulated
ATM,-1.9515566,1.4896165448662102e-65,Downregulated
YWHAQ,1.5495917,1.8086456746593737e-61,Upregulated
CREM,1.6689317,2.1037057900633352e-60,Upregulated
EPB41,-1.8193438,1.0841841422097814e-59,Downregulated
SOCS2,6.161091,2.506363967351269e-59,Upregulated
CD226,2.5041301,6.015266860969613e-59,Upregulated
SORL1,-1.8877537,1.511744023638522e-58,Downregulated
PIK3R1,-1.3745894,3.805938104469061e-58,Downregulated
BATF,2.593722,5.17408433782469e-56,Upregulated
PTPN6,2.5517852,1.5707851539745694e-55,Upregulated
AOAH,-1.6820132,3.47478095066832e-55,Downregulated
IER3,1.6738949,2.1508528946034024e-54,Upregulated
TRIM22,1.4979168,1.965700485528269e-52,Upregulated
IFNG,4.677172,2.729921630690894e-51,Upregulated
MYO1F,-1.6628736,4.35255503653378e-51,Downregulated
OAS3,3.3473148,1.1025079585155543e-50,Upregulated
PRMT2,-1.1414952,3.6832878878901026e-50,Downregulated
FOXP1,-1.2703891,2.5857565152185655e-49,Downregulated
IFIT1,2.9299402,1.1258057035408715e-48,Upregulated
PPM1K,1.5867913,1.6393410654708871e-47,Upregulated
NFKB1,1.4933815,1.981951419236529e-46,Upregulated
BPGM,2.2900586,1.475560316372126e-45,Upregulated
PIK3IP1,-2.3068664,1.3221051451171189e-43,Downregulated
SLC27A2,5.8683734,4.638689001430661e-41,Upregulated
GZMH,1.2255973,1.1503613029321436e-40,Upregulated
TNFRSF4,2.0918784,1.4579162401655164e-39,Upregulated
SEPTIN6,-1.2923782,8.961539564058575e-39,Downregulated
KLRF1,-1.4870936,1.110463079690696e-38,Downregulated
IFIH1,2.3546367,1.721580250321924e-37,Upregulated
HIPK2,1.4483463,2.922091093139693e-37,Upregulated
PMAIP1,2.0957212,6.381324723479829e-37,Upregulated
ZBTB20,-2.0274618,1.4472761634613084e-36,Downregulated
ADGRE5,1.2849438,2.7253841099198156e-36,Upregulated
GCHFR,-2.4982374,1.0576790312010588e-35,Downregulated
SPON2,-4.2793164,1.1331304707171368e-35,Downregulated
AUTS2,-2.6787076,3.1810585741815223e-35,Downregulated
PYHIN1,-1.0816791,1.1908798313601883e-32,Downregulated
CBLB,1.4316658,1.4918465179293918e-32,Upregulated
FRMD4B,4.9910517,7.823676349304848e-32,Upregulated
IFITM1,1.2764293,8.736725466632579e-32,Upregulated
DUSP4,1.8007896,1.8527055071176084e-31,Upregulated
ARID5B,1.8582963,2.008624319647653e-31,Upregulated
TGFB1,-1.1222956,1.1507579668154366e-30,Downregulated
H1FX,-1.2690278,3.287749983994474e-30,Downregulated
PIM1,1.5026479,3.6409388054034564e-30,Upregulated
SUN2,-1.5021667,7.888687673118546e-30,Downregulated
MAP3K8,1.588509,8.032381941459815e-30,Upregulated
TNFAIP8,1.3675786,1.2598546272999322e-29,Upregulated
CCL4L2,2.1505637,2.283620423158865e-29,Upregulated
SEPTIN9,-1.7986784,9.571829006646119e-29,Downregulated
JUN,-1.3861257,1.0718075230116296e-28,Downregulated
PTGER2,2.5585678,1.1297806452193193e-28,Upregulated
RNF166,-2.1613057,3.5213057418299055e-28,Downregulated
SLA2,-1.7168387,5.405736185816007e-28,Downregulated
GPR171,2.4993246,1.5791991030156595e-27,Upregulated
SH2D1B,-1.1933569,7.16375725036633e-26,Downregulated
LINC01943,4.0435276,8.07286260878469e-26,Upregulated
SMAD7,-1.527508,2.28911093885048e-25,Downregulated
FYB1,-1.1812096,1.0367561950047269e-24,Downregulated
XCL2,2.1581361,1.0727590950321918e-24,Upregulated
SYNE1,-1.8640575,1.133597212188818e-24,Downregulated
SATB1,1.279163,1.2053245546626989e-23,Upregulated
SIPA1L1,1.6199346,1.3040220790171953e-23,Upregulated
MIR155HG,2.3004212,1.3551285723499104e-23,Upregulated
BCL11B,-2.0325203,1.4057070600991228e-23,Downregulated
RBM38,-2.2430956,5.830397058331542e-23,Downregulated
SETBP1,3.2507777,1.135574851599294e-22,Upregulated
GADD45B,1.0416012,1.3805316976102358e-22,Upregulated
LYAR,-1.5636206,1.4691886430613011e-22,Downregulated
CYP51A1,2.2243714,6.583879981361537e-22,Upregulated
CLEC2D,1.112652,6.583879981361537e-22,Upregulated
ADGRG1,-2.3108368,9.953792565995368e-22,Downregulated
PHLDA1,3.206695,4.9353306836465595e-21,Upregulated
YPEL1,-2.1121879,1.2809098528239792e-20,Downregulated
PLP2,1.0230188,3.64695999876212e-20,Upregulated
MIAT,1.8646148,4.9643598494825363e-20,Upregulated
CYTOR,1.3947668,7.90406705378564e-20,Upregulated
PITPNC1,-1.4046248,9.257076895441206e-19,Downregulated
PTMS,3.0701284,1.2534015763286848e-17,Upregulated
RGS16,2.0274358,1.4039103467181117e-17,Upregulated
S100A4,-1.4709895,1.9298287253358562e-17,Downregulated
PTPN22,-1.2470518,3.0386068475597863e-17,Downregulated
