Gene,LogFC,Adjusted_PValue,Regulation
HSP90AB1,1.9975739,1.1536949407222274e-73,Upregulated
CALR,2.6536129,5.4621150156804486e-67,Upregulated
GAPDH,1.7728248,1.5516441184232944e-61,Upregulated
HSPA5,3.0453663,4.8678775444795965e-56,Upregulated
MYL6,1.502867,4.8678775444795965e-56,Upregulated
CDK2AP2,3.21531,2.5347692006845798e-54,Upregulated
HSP90AA1,1.4118147,3.01150471851473e-47,Upregulated
ACTG1,1.4444185,5.462813621783897e-47,Upregulated
PPIB,1.9662251,1.0167881090036776e-43,Upregulated
TUBA1B,2.1820219,5.3194880410862126e-43,Upregulated
HSP90B1,2.2736585,3.0448404691175506e-42,Upregulated
CLIC1,2.2696643,1.121908090045452e-41,Upregulated
PDIA3,2.023649,2.6371707632270606e-37,Upregulated
SDF2L1,2.8882873,2.3752616942412236e-36,Upregulated
TNFRSF4,3.5003486,1.8947758064706672e-35,Upregulated
MT-ND5,1.0733093,8.57509406691075e-35,Upregulated
PFN1,1.2742425,9.480482899167712e-35,Upregulated
NDUFV2,1.9210557,2.197936072146681e-34,Upregulated
PDIA6,2.3422065,5.397903227644129e-34,Upregulated
CD96,2.5011032,1.5692529624661315e-32,Upregulated
MT2A,1.8610628,1.021944294944844e-30,Upregulated
MANF,2.7061937,1.120999160428069e-30,Upregulated
TNFRSF18,2.9103787,5.240168727438212e-28,Upregulated
LCP1,1.8290297,1.623450068958937e-26,Upregulated
TXN,1.7460015,2.7918459954641867e-26,Upregulated
PSME2,1.7044954,7.756373504482297e-26,Upregulated
CD7,1.6291411,4.392276952271545e-25,Upregulated
SLC3A2,2.0529187,1.149193601391803e-24,Upregulated
CD52,-1.9997222,5.073158065183485e-24,Downregulated
CREM,1.6338085,5.1975861503529e-22,Upregulated
SELENOS,2.233485,1.552539949951464e-21,Upregulated
TYMP,2.0092065,1.7903693050288583e-21,Upregulated
CTLA4,2.139163,3.506782429654077e-21,Upregulated
SYNE2,-1.8269436,2.8015903253073155e-19,Downregulated
SEC11C,1.8363843,5.308226838565818e-19,Upregulated
SNX9,2.5050287,6.108896415960574e-19,Upregulated
CYP51A1,3.518539,1.047149002123906e-18,Upregulated
SELENOK,1.6121703,1.4813819031999584e-18,Upregulated
FYB1,-1.5427066,1.7543723676987714e-18,Downregulated
CD63,1.7497889,2.130531558037535e-18,Upregulated
SQLE,3.4152644,3.172710038799027e-17,Upregulated
BCL2A1,3.1632524,1.2448557894722692e-16,Upregulated
BATF,1.7617425,1.5674661677605446e-16,Upregulated
DNAJA1,1.6933911,1.8760130980779184e-16,Upregulated
TUBB4B,1.8714334,2.4253413560593684e-16,Upregulated
HSPD1,1.4851167,9.141864994458266e-16,Upregulated
HUWE1,2.2268476,1.675137056373855e-15,Upregulated
PRMT2,-1.6788075,7.005609097963167e-15,Downregulated
DDX21,1.5905504,9.340619793509831e-15,Upregulated
JUNB,-1.3016237,1.0580214659592618e-14,Downregulated
TNFRSF9,3.9502573,2.211050840030432e-14,Upregulated
HSPE1,1.2713422,1.394814635460508e-13,Upregulated
YWHAQ,1.6135734,1.4421023128252074e-13,Upregulated
HIF1A,1.7731901,2.718860266114416e-13,Upregulated
GPR183,1.4807465,1.3633622681617678e-12,Upregulated
NME1,2.2867057,2.372405096150065e-12,Upregulated
ZFP36L2,-1.5824116,2.8404059709482356e-12,Downregulated
HSPH1,2.4086015,2.844246128257739e-12,Upregulated
STAT1,1.5453304,3.721563300414514e-12,Upregulated
GIMAP7,-1.3077664,3.897629878485425e-12,Downregulated
PLAAT4,-1.8731807,8.15455933318851e-12,Downregulated
PFDN2,1.4962521,1.0293979623144828e-11,Upregulated
CD69,1.3585756,1.6901686784486757e-11,Upregulated
DNAJB11,2.3214352,1.7573278547378928e-11,Upregulated
RGCC,1.603651,4.4714182446578525e-11,Upregulated
PLP2,1.3952581,7.480336547080316e-11,Upregulated
CCND2,1.5243553,8.614108916442787e-11,Upregulated
EZR,1.2035519,2.820092331351412e-10,Upregulated
BST2,1.3626832,9.299369227387121e-10,Upregulated
FDPS,1.559676,1.1979468643781322e-09,Upregulated
PDCD4,-1.2008445,1.5785998889992629e-09,Downregulated
LINC00861,-3.4076648,2.405985687314937e-09,Downregulated
GBP2,1.1467328,2.8894511912982388e-09,Upregulated
TIGIT,1.1156381,3.8876642955414985e-09,Upregulated
PBXIP1,-1.5403531,5.998859604049556e-09,Downregulated
ATP1B3,1.5782808,6.6791397714126435e-09,Upregulated
NAMPT,1.5597948,1.1361516203034278e-08,Upregulated
MBP,-1.3471427,1.1361516203034278e-08,Downregulated
PSMA4,1.2613405,1.2632179965603257e-08,Upregulated
LIME1,-3.4222507,1.274551483485971e-08,Downregulated
BTG2,-1.3424397,3.23841993448876e-08,Downregulated
LAYN,2.6922464,3.3671499056122915e-08,Upregulated
WARS,2.2239678,6.451426439693742e-08,Upregulated
INSIG1,2.4279997,6.605638570991197e-08,Upregulated
IL2RB,1.1882595,9.217890171779556e-08,Upregulated
ISG15,1.202276,9.430122890043817e-08,Upregulated
SDF4,1.3898476,1.52873475704629e-07,Upregulated
IDI1,1.5053616,2.087066314312315e-07,Upregulated
HERPUD1,1.3028563,2.2570116239644008e-07,Upregulated
EIF3J,1.2181405,2.313364336544537e-07,Upregulated
GIMAP1,-1.8444667,2.3446565161893823e-07,Downregulated
FAS,2.1803107,2.6011665273784734e-07,Upregulated
RIPOR2,-1.5442115,3.142173999422005e-07,Downregulated
ATP6V0B,1.0701542,4.1579549854285244e-07,Upregulated
RAB8B,1.8551456,5.03217662871179e-07,Upregulated
SAT1,1.0332168,5.533023294156544e-07,Upregulated
LGALS1,1.4730549,6.357536490970347e-07,Upregulated
TPM4,1.2971604,8.059018750782841e-07,Upregulated
H1FX,-1.0846968,1.6043937203443868e-06,Downregulated
ID3,1.9411904,1.819463989580554e-06,Upregulated
GBP5,1.2817546,2.1637135378544784e-06,Upregulated
GPATCH4,1.5875162,2.3769210060463406e-06,Upregulated
LUZP1,1.8231773,2.6899636416796396e-06,Upregulated
IL10RA,-1.5669588,2.9027631880484717e-06,Downregulated
LY6E,1.0514708,3.2577568880307577e-06,Upregulated
TAP1,1.3447434,4.766792800794153e-06,Upregulated
HMGCS1,2.8738759,5.171172197914566e-06,Upregulated
SGK1,2.8546362,7.155450148902494e-06,Upregulated
METRNL,2.6263618,7.712033825384281e-06,Upregulated
S100A4,-1.2279316,8.243965354885065e-06,Downregulated
CAMK4,-1.7349653,8.481942905673723e-06,Downregulated
TSC22D3,-1.3991338,9.071642502158073e-06,Downregulated
IFI6,1.2804601,9.579124249676065e-06,Upregulated
IL7R,-1.3937024,1.7224631244187062e-05,Downregulated
NHP2,1.0914603,2.111289485898992e-05,Upregulated
SNHG32,-1.3481667,3.055052658204725e-05,Downregulated
PIK3R1,-1.1569272,3.52354797859119e-05,Downregulated
EMB,-1.14876,5.783728095343659e-05,Downregulated
SLC1A5,2.8730793,5.9602984764948836e-05,Upregulated
PMAIP1,1.8695476,6.24814550762042e-05,Upregulated
KLF3,-1.7370826,6.24814550762042e-05,Downregulated
IQGAP2,-1.2503749,6.543233417687377e-05,Downregulated
PAK1IP1,1.8848664,8.450354435918167e-05,Upregulated
TSPYL2,1.3980825,8.474768893350968e-05,Upregulated
LINC01943,1.439678,9.640303391462091e-05,Upregulated
HIVEP3,3.095081,0.0001393721703309978,Upregulated
LINC01089,-2.2555237,0.00015456425985544908,Downregulated
CYTOR,1.1138756,0.0001868286819293701,Upregulated
PTPN7,1.0745865,0.00018725834966825164,Upregulated
LRRC32,2.9064164,0.00024431515953703267,Upregulated
PIM1,-1.0723352,0.00025994619310123487,Downregulated
SAMHD1,-1.0470212,0.00026618221920833725,Downregulated
SLC7A5,2.482874,0.00031984904657347433,Upregulated
FABP5,1.4355495,0.00035614079638890053,Upregulated
CORO1B,1.4964834,0.00042393013743000085,Upregulated
CSGALNACT1,-4.2526217,0.00047164801939042234,Downregulated
CCDC47,1.3639911,0.0005684924171833155,Upregulated
POU2F2,1.0748726,0.0007456219116743387,Upregulated
APOBEC3G,1.5671089,0.0008313631115159877,Upregulated
ACOT9,2.2405558,0.0009673571135495402,Upregulated
ALG5,1.3120967,0.000967933666808523,Upregulated
IFI35,1.3511822,0.0010140023035869435,Upregulated
DGKE,1.4018675,0.0011480373941391573,Upregulated
PDE3B,-1.402577,0.0011963942929059863,Downregulated
SORL1,-1.4897636,0.0013091844004147542,Downregulated
CD55,-2.9248796,0.001467335343318663,Downregulated
PRNP,1.3643773,0.0017349672612958513,Upregulated
CEBPG,1.7508663,0.0019854098728506026,Upregulated
JUN,-1.1428456,0.0021015005213365673,Downregulated
MIR155HG,1.6196607,0.0021314152874747382,Upregulated
HLA-DPB1,-1.5445882,0.0039907778863999075,Downregulated
MT1E,3.0031362,0.005471373895522485,Upregulated
BTN3A2,-1.0044111,0.0072729374294987605,Downregulated
HYOU1,2.0944173,0.008107693177984683,Upregulated
GK,1.4569716,0.008826330724711945,Upregulated
SLC12A6,1.9131997,0.009189831595135183,Upregulated
GPR171,-2.3620799,0.009670129384212148,Downregulated
