Gene,LogFC,-Log10P
PKM,2.8622775,307.73274910679027
TNFRSF9,7.074211,300.9815998156647
IL2RA,5.573952,300.0
LAG3,5.0549946,300.0
CCL3,4.65774,300.0
PTMS,4.341024,300.0
IFI6,4.2039785,300.0
MX1,3.8186116,300.0
HSP90AB1,3.1613476,300.0
ISG15,2.999666,300.0
PDIA6,2.8580184,300.0
CYBA,-1.8873879,300.0
CXCR4,-2.908718,300.0
CD52,-3.806924,300.0
SEC61G,2.5575466,292.40842942661067
LY6E,2.7100594,288.73469846576165
HOPX,3.96472,284.4662177358716
STAT1,3.2521298,278.14336862025976
BST2,2.6525087,277.3875112731671
WARS,3.6746094,260.5023729031804
GPR171,2.7055538,258.39112664831987
ID2,3.0353718,239.89228789794083
TNFAIP8,2.307885,233.6746306206448
SDF2L1,2.7782223,233.58538156330368
HSPE1,2.3786356,230.26205626386636
LINC01943,4.0932336,225.92828159691953
MAF,2.5050788,217.74612583109354
TYMP,2.7449431,210.21445200839509
IFI35,2.9067807,199.77010088464394
TPM4,2.9677334,198.8516512688896
YWHAQ,2.1101456,198.15229167783792
IFIT3,4.2751307,197.39426042155614
LAPTM5,-1.9575261,195.5357405345607
YPEL3,-2.7049093,186.86424812514647
FKBP11,2.3835227,183.41711033920342
HSPD1,2.314128,178.0894370361559
BCL11B,-2.4547632,167.95146603112033
BATF3,5.2488394,166.94262709201493
IRF4,4.607092,162.80151534002934
CCL4L2,4.6558127,161.7958989460582
IFI44L,3.7376823,156.7202366928939
PRKCQ-AS1,2.886372,154.58724803439705
ATP1B3,2.5267901,154.1141462881382
PLAAT4,-2.0726695,151.10553925743264
CYTOR,2.2305906,149.87335063288444
GBP1,2.5750093,147.99374901295803
PRDM1,2.8092523,146.92378205598106
CYP51A1,3.4183195,141.34965256864322
EIF2AK2,2.3229532,136.5142672572381
EPSTI1,3.1796513,136.32331336419077
LTA,3.959719,132.3992789427853
CFLAR,1.6295495,131.75802066700803
NAMPT,2.4576247,129.5525000519497
ARID5B,2.3570864,126.83533116832012
SAMD9L,2.2037537,125.89562835514727
GBP5,2.3875597,123.85423315824481
PDCD4,-1.9382625,119.97779593813475
ANXA1,-1.94829,119.86994169915181
PFN1,1.0181705,115.75552115609062
HSPH1,2.9144385,114.57698523919584
BATF,2.5098193,112.51291731974959
CDK6,3.2787712,111.45393578560379
FABP5,2.8541088,110.43716600020396
LSP1,-1.8518053,109.33162102616213
SLA,1.6630347,108.70021928495008
XAF1,1.9274273,107.3802231264575
JUN,-1.7817745,105.11222470397053
CREM,1.659711,102.73731864331626
PPP2R5C,-1.3430419,102.27372912544978
MXD4,-2.6034868,97.74656690835951
CD226,3.044346,92.70062761261643
ZBED2,5.657022,92.61965382088005
SRM,1.7847862,89.50137431835472
FRMD4B,3.1490488,89.0650195980051
SLAMF1,3.1179528,88.82912370098973
IFNG,4.9582253,88.46211302804613
MIR155HG,3.2655203,86.0792444285826
LYST,1.7231565,84.20258526612004
SPOCK2,-1.4989547,83.68403933337926
CD69,1.5313148,83.06772923120657
NKG7,1.2299235,77.06241740210432
NFKB1,1.9712064,76.76005480123396
KLRD1,1.5260496,74.64778945147067
IL7R,-1.7414268,74.570414065251
XCL2,5.0973954,73.05604244844689
FGFBP2,-2.5015821,70.8495769158453
CISH,2.8392088,69.93294536656252
RAB11FIP1,2.4050734,67.4491027368645
PIK3R1,-1.7229868,66.26536015596706
