Gene,LogFC,-Log10P
HAVCR2,4.961784,300.0
IFIT3,4.745559,300.0
IFI6,3.8357964,300.0
ISG15,3.3682933,300.0
HOPX,3.2336044,300.0
ISG20,3.0566785,300.0
PRF1,2.96111,300.0
LY6E,2.43698,300.0
MX1,3.4624078,299.4443671372233
HSPA5,2.9232328,281.9989619179083
IFI44L,3.567236,270.75991768625175
WARS,3.9469192,263.1240982946406
CALR,2.6133182,258.90295900150903
HSP90B1,2.507142,253.63442325087067
CXCR4,-3.186087,247.28672996564777
BTG1,-1.565965,242.51620614200266
FGFBP2,-5.2001467,242.1522265738615
CCND2,3.2324393,240.37301682127196
TYMP,2.7699273,231.23519483947692
CYBA,-1.6750485,220.2816126466802
STAT1,2.8763764,219.2385750177902
HSP90AA1,1.5415338,215.4128235061786
HSP90AB1,2.1138227,214.31858217648636
PDIA6,2.6452925,195.64434792933574
GBP1,3.661475,194.67657992982748
GZMA,1.930876,184.18115099541384
PLSCR1,3.0815997,176.49723245618125
SDF2L1,2.997459,167.89910129881946
GBP5,2.5699627,164.45053137405858
SEC61G,2.2906015,161.35149109394393
TUBA1B,2.3041482,158.8660489145878
APOL6,2.7950327,153.51539694497316
CLIC3,-1.5830644,153.1037853666506
CD38,2.3656936,153.00297162334837
APOBEC3G,1.5014666,150.27405166224358
IVNS1ABP,2.7241852,149.16312035500152
GBP2,2.1590226,148.91497536381598
ID2,2.2627497,148.640931913588
IGFBP7,3.1977618,144.18318004858028
ACTG1,1.2313206,143.3891100006863
TNFSF10,3.1318614,135.33355707957608
IRF7,2.4169865,134.59213154362607
PARP14,2.12351,133.91389512121253
GBP4,2.2240798,129.26361304033807
MXD4,-2.4781718,127.91431910368095
EIF2AK2,2.1681874,127.72623136060739
SAMD9L,2.0114992,123.89496470989076
KLRB1,-1.8487338,123.29216752897001
IFITM3,2.596063,121.40501890980086
TNFRSF18,2.57207,120.29361909375777
LSP1,-1.6530657,115.17436321734887
AC004687.1,-1.2401326,109.80180490866861
PKM,2.22513,108.5620626552805
TNFRSF9,5.782195,108.12656634167719
CDK6,4.053169,105.59971731308507
NME2,1.9017363,104.98740128190451
CD48,1.923879,104.29842781146077
IL2RA,3.5888782,103.05174035119686
TPM4,3.1341016,102.49194177077464
FCER1G,1.4391205,100.78769861561527
KLRC1,1.9696845,98.01724126900747
GNPTAB,1.7522445,97.66645891787752
VMP1,2.6174083,92.88738336902888
UPP1,1.8506919,92.11546713109703
LAP3,2.336547,90.35899100592016
MX2,2.5828526,90.24045722679486
CD69,1.675002,86.37802071507438
LMAN1,2.2229202,85.12751898541721
IFIT2,2.8675604,83.89566352459559
SLAMF7,2.3013916,81.55082531755777
LINC01871,2.341186,79.76893399719447
RSAD2,3.06183,78.83157802515078
FEZ1,3.9296753,78.29173668237841
LBH,-1.7083308,77.05161108639822
NFKBIA,1.2264879,76.8304555656247
HERC5,2.7128472,76.80232791795953
CTSC,1.5890146,76.6614395222979
SOCS1,3.0312293,74.7050207598126
GZMM,-1.8845729,74.24269792952452
P2RX5,3.946012,70.25968138347069
HCST,-1.2692627,68.8045281483135
PDCD4,-1.731769,68.60009075897392
DDX21,2.0842016,65.99415455330143
PRDM1,2.983199,65.12934235698594
