Gene,LogFC,-Log10P
HSP90AB1,1.9975739,72.93790901186948
CALR,2.6536129,66.2626391591671
GAPDH,1.7728248,60.809207880454174
HSPA5,3.0453663,55.31266035534454
MYL6,1.502867,55.31266035534454
CDK2AP2,3.21531,53.59606157851303
HSP90AA1,1.4118147,46.52121645202742
ACTG1,1.4444185,46.2625836163281
PPIB,1.9662251,42.992769541352835
TUBA1B,2.1820219,42.274130163124156
HSP90B1,2.2736585,41.516435456790354
CLIC1,2.2696643,40.950042720282234
PDIA3,2.023649,36.57886174767107
SDF2L1,2.8882873,35.62428853504802
TNFRSF4,3.5003486,34.722442169217125
MT-ND5,1.0733093,34.066761107143364
PFN1,1.2742425,34.02316954081567
NDUFV2,1.9210557,33.657984943358244
PDIA6,2.3422065,33.26777490564036
CD96,2.5011032,31.804307042806943
MT2A,1.8610628,29.990572776468827
MANF,2.7061937,29.950394712669606
TNFRSF18,2.9103787,27.280654729005658
LCP1,1.8290297,25.789561064050037
TXN,1.7460015,25.554108542053452
PSME2,1.7044954,25.11034128584527
CD7,1.6291411,24.357310283528104
SLC3A2,2.0529187,23.93960680078657
CD52,-1.9997222,23.294721606090334
CREM,1.6338085,21.284198303475513
SELENOS,2.233485,20.808957215743817
TYMP,2.0092065,20.747057376509908
CTLA4,2.139163,20.45509117809677
SYNE2,-1.8269436,18.5525953710011
SEC11C,1.8363843,18.27505052653246
SNX9,2.5050287,18.21403723881596
CYP51A1,3.518539,17.97999151679677
SELENOK,1.6121703,17.829332965063394
FYB1,-1.5427066,17.75587822164657
CD63,1.7497889,17.671512028522876
SQLE,3.4152644,16.498569617248414
BCL2A1,3.1632524,15.904880956571432
BATF,1.7617425,15.80480182422195
DNAJA1,1.6933911,15.726764133759136
TUBB4B,1.8714334,15.615227127733982
HSPD1,1.4851167,15.038965196588007
HUWE1,2.2268476,14.775949654064874
PRMT2,-1.6788075,14.154554099295494
DDX21,1.5905504,14.029624305357636
JUNB,-1.3016237,13.975505520908504
TNFRSF9,3.9502573,13.655401271310554
HSPE1,1.2713422,12.855483504322738
YWHAQ,1.6135734,12.841003926635208
HIF1A,1.7731901,12.565613112094319
GPR183,1.4807465,11.865388729521873
NME1,2.2867057,11.624811151732162
ZFP36L2,-1.5824116,11.546619583071896
HSPH1,2.4086015,11.546032824426428
STAT1,1.5453304,11.429274589654261
GIMAP7,-1.3077664,11.409199404152016
PLAAT4,-1.8731807,11.0885995029665
PFDN2,1.4962521,10.987416695767656
CD69,1.3585756,10.772069950733142
DNAJB11,2.3214352,10.755147207075748
RGCC,1.603651,10.349554705472697
PLP2,1.3952581,10.126078862395982
CCND2,1.5243553,10.064789641336938
EZR,1.2035519,9.54973667241114
BST2,1.3626832,9.031546508473545
FDPS,1.559676,8.921562444900921
PDCD4,-1.2008445,8.801727932068477
LINC00861,-3.4076648,8.618706960511815
GBP2,1.1467328,8.53918463725189
TIGIT,1.1156381,8.410311243974277
PBXIP1,-1.5403531,8.221931302073223
ATP1B3,1.5782808,8.175279468151063
NAMPT,1.5597948,7.944563707826405
MBP,-1.3471427,7.944563707826405
PSMA4,1.2613405,7.89852169573633
LIME1,-3.4222507,7.894642617203515
BTG2,-1.3424397,7.4896668358154495
LAYN,2.6922464,7.4727375483784675
WARS,2.2239678,7.1903442502645545
INSIG1,2.4279997,7.18008519251537
IL2RB,1.1882595,7.035368470660863
ISG15,1.202276,7.025482647652899
SDF4,1.3898476,6.815667860267146
IDI1,1.5053616,6.68046375147007
HERPUD1,1.3028563,6.646466204231676
EIF3J,1.2181405,6.6357559639045816
GIMAP1,-1.8444667,6.629920770880542
FAS,2.1803107,6.584831843264922
RIPOR2,-1.5442115,6.502769769360809
ATP6V0B,1.0701542,6.381120216708691
RAB8B,1.8551456,6.298244123618307
SAT1,1.0332168,6.257037501392146
LGALS1,1.4730549,6.196711138382835
TPM4,1.2971604,6.093717833761034
H1FX,-1.0846968,5.794689046531526
ID3,1.9411904,5.740056535450771
GBP5,1.2817546,5.6648002376339495
GPATCH4,1.5875162,5.623985251258038
LUZP1,1.8231773,5.570253590006743
