Gene,LogFC,-Log10P
HSP90AB1,2.2300565,97.63576906666196
CALR,2.7337346,77.41719018791089
HSPA5,3.3334496,76.7006840054607
GAPDH,1.7412379,71.42926408106355
HSP90AA1,1.6645497,70.4097373525622
CLIC1,2.5818946,64.69212131050567
MYL6,1.4777075,62.41589144998139
PSME2,2.3150399,61.01077560217131
CDK2AP2,3.0840447,57.67387880830708
HSP90B1,2.440737,56.677388733375686
PFN1,1.4590857,53.55401336954357
PDIA6,2.611859,52.41684604730018
SDF2L1,3.076843,51.82634631470414
TNFRSF4,3.9076984,49.83174521739846
TUBA1B,2.1967356,49.83174521739846
ACTG1,1.3485999,47.84333840730614
PABPC1,-1.3597448,46.85918233546281
TXN,2.0868237,44.17262741206975
PDIA3,2.0698416,44.17262741206975
SLC3A2,2.3835905,41.96927215506874
TNFRSF18,3.2441785,39.699905539693546
LCP1,1.9585153,36.5938682337186
TYMP,2.407916,36.28309211452843
PPP1R14B,2.3714836,35.719000103389575
MANF,2.7451859,33.00588708907289
CD63,2.0899456,31.366291212805173
CTLA4,2.3919537,30.85033574041037
MT2A,1.7719555,30.51057977498917
NDUFV2,1.7521145,30.446436990903862
CD7,1.6357719,27.992242776865083
SELENOK,1.7240074,25.772420187960886
BCL2A1,3.2897668,25.45249310429031
HSPD1,1.6926385,24.592953843957233
TNFRSF9,4.2965846,24.307592334909568
SYNE2,-1.9608301,23.541813365476603
HUWE1,2.4539168,22.86472490687686
HIF1A,2.0590675,22.478276218105474
ISG15,1.8426666,22.370988646107673
CD52,-1.7188901,22.263710924303076
SURF4,2.2795293,22.247258950143554
SELENOS,2.1443992,22.042356031006346
CREM,1.4761848,21.438589526885995
DDX21,1.7533884,21.377304770485217
BATF,1.9302137,21.102143218002503
HSPE1,1.4826516,21.096286627607313
CYP51A1,3.4211001,20.9979615314899
CD96,2.0291727,20.81023326057406
STAT1,1.8352876,20.633658964453662
SNX9,2.445821,19.932474919363266
NME1,2.5230045,19.13705294842358
FYB1,-1.4705089,19.002924233282926
TUBB4B,1.8674976,18.065208353246963
IFI6,1.9250482,17.29890588548549
GIMAP7,-1.5332654,17.116504232784322
LY6E,1.6185893,17.008667798772453
ABCF1,1.6449764,16.895432465138263
CCND2,1.7667701,16.463198534906617
CD74,1.249407,16.463198534906617
DNAJB11,2.474224,16.44102438465563
IL2RG,1.2704028,16.34715529546075
NFKB1,1.9976467,16.30528995863762
CANX,1.6519372,16.197210546490126
PDCD4,-1.5364681,15.92423044589227
PLP2,1.5367949,15.856224732537578
ATP1B3,1.9112352,15.823871197850655
NFKBIA,1.2607074,15.549619927135938
PIK3IP1,-1.8476713,15.470989910760798
GBP5,1.8524925,15.433430661956725
XBP1,1.8839054,15.339673397196032
PRMT2,-1.5412161,15.143035666124758
LMAN1,1.6852701,15.051246674969438
EIF5B,1.3777982,14.953554437960857
WARS,2.6036866,14.91588547975698
CD69,1.426605,14.60985689531721
JUNB,-1.1295426,14.55279959190224
PBXIP1,-2.081034,14.437239873423188
BST2,1.5155805,14.279799403775053
GPR183,1.5097094,14.134644348975103
HSPH1,2.454918,13.43724664797595
NAMPT,1.7549117,13.017335423122033
IL2RB,1.4994011,12.82146436115115
IL2RA,1.261827,12.568333491188463
GBP2,1.2958755,11.948182788276503
SAT1,1.2922578,11.852646650151884
HERPUD1,1.5284692,11.757438817725456
PMAIP1,2.376209,11.656035333598687
LGALS1,1.7090259,11.505250854615275
MBP,-1.5552238,11.457974804466323
TARS,2.2225938,11.377408548158003
DNAJC3,1.9863672,11.27637800376752
PRDX4,2.5995932,11.24262296887032
CXCR4,-1.2243476,11.225242440526614
INSIG1,2.6113083,10.722711245705122
LINC00861,-3.651621,10.672306062260038
EZR,1.1766503,10.50433389499
RGCC,1.4607112,10.210495022049855
FAS,2.3345044,10.146234661374809
ZFP36L2,-1.29842,9.890628783150232
SDF4,1.4577801,9.662580068359551
LINC01943,1.9913062,9.578401071730463
POU2F2,1.5486432,9.252832065014745
BTG2,-1.3795164,9.234937738411356
LIME1,-3.3494036,9.171584712189823
TNFRSF1B,1.0447853,9.148523946852045
SGK1,3.2287693,9.057343898328917
CYTOR,1.477087,9.048856585343989
TPM4,1.3509245,8.883399332675575
PLAAT4,-1.4113078,8.81373915062985
METRNL,2.8798187,8.666814563138216
IL7R,-1.841636,8.640110193266667
GIMAP1,-1.9848074,8.631051296844554
RBM17,1.2591387,8.536532806190497
EIF3J,1.231632,8.513079205444443
MX1,1.4524378,8.383050831099009
ACOT9,2.8080168,8.321320785500914
HIVEP3,3.5717852,8.147774388557687
CORO1B,1.9242505,8.147774388557687
HYOU1,2.8126643,8.001438220295904
SELL,-1.0470958,7.822545644448008
SH2D2A,1.6289889,7.723139349863544
GPATCH4,1.6010902,7.695578668666375
LRRC32,3.1897783,7.662974053834958
DGKE,1.71337,7.59374722400592
PIK3R1,-1.4358169,7.59374722400592
PUM3,1.647393,7.462319832213239
ANXA2,1.1311513,7.281731258060424
TMCO1,1.037561,6.923145759849561
GBP1,1.4456749,6.8872188299795525
H1FX,-1.076206,6.71048538246195
ATP6V0B,1.0108391,6.702550030620501
SNHG32,-1.5600647,6.646961752379878
CAMK4,-1.8711144,6.424078764836163
HMGCS1,2.8039804,6.40580384126416
LAYN,2.537887,6.402932607401916
IL10RA,-1.5301865,6.279002673676075
PDE3B,-2.0712569,6.197296928616111
GBP4,1.5040662,6.119567339973577
LINC01089,-2.8650188,5.8360129099562394
XAF1,1.0634084,5.798986431514399
PTPN7,1.1268209,5.775982114852734
RIPOR2,-1.2140706,5.624778781293431
FABP5,1.481301,5.603374900573697
CRIP1,-1.022597,5.278013321854394
TCF7,-1.3197042,5.087007317896957
FOSL2,2.3031938,4.995190461383155
EMB,-1.1352272,4.837618564223844
HDAC7,1.7009971,4.821005511954213
PIM1,-1.108948,4.674648036423913
TSC22D3,-1.2018042,4.553988880128245
ICOS,1.4419123,4.437947159738408
SATB1,1.1448746,4.368818773166074
ZNF101,-1.8297198,4.324058954964792
EPSTI1,1.4014239,4.26700337875828
SPATS2L,1.8137963,4.096832969378253
RASA3,-2.4872205,4.096832969378253
ADTRP,-1.5038527,4.031742892906957
SORL1,-1.6398141,4.00756656557035
SLC7A5,2.4934125,3.9950358427870016
CTSC,1.0893489,3.9950358427870016
SLC1A5,2.638936,3.9392860388561197
SRPRB,1.8112153,3.9059638073579
CD28,1.0854781,3.861236261954617
MAGT1,1.9022871,3.8392226117878088
MIR155HG,1.6773119,3.791821408206109
ATP2A2,2.054905,3.7018403113353777
ZBTB20,-2.0976286,3.7001824622782755
LPAR6,-4.0459747,3.69872975799598
IQGAP2,-1.0386294,3.6690619368770108
GK,1.7135241,3.528196001673844
CSGALNACT1,-3.3073752,3.494425418060739
IFI35,1.311122,3.4424018251370616
JUN,-1.1671017,3.4348655766461325
HLA-DPB1,-1.6219338,3.409442260009274
TSPYL2,1.1255867,3.3481717160727626
IFIT3,1.7443413,3.280722846787815
ORMDL2,1.0690501,3.2212145764382383
CDKN2D,-1.7628776,2.9498391093888148
COA6,1.131749,2.940967487507193
SLC43A3,2.5589895,2.9038543749407495
ARHGAP18,2.7294383,2.898805206950896
SAMD9L,1.1841495,2.7274852283350945
CDC14A,1.3685346,2.6971940749060757
ALG5,1.0471011,2.679052232320212
IL21R,1.5073323,2.6023853476848537
CST7,1.015327,2.599193520667531
PCMTD1,-1.719589,2.5610134774031086
ZC3H12D,1.55884,2.558960139937853
GPR171,-2.1620927,2.5407984089750206
ZFP36,-1.4907814,2.5321958332086787
LTA,1.5407736,2.5282601616695213
ACTN4,1.0174059,2.517429599635734
CDKN1A,1.8270481,2.5082475696439883
NOC3L,1.2413672,2.487985506591296
ID3,1.4639475,2.4526174437864743
REL,1.0000268,2.449432996371341
CD55,-2.1048844,2.4322840003305006
SLC25A45,-2.7304122,2.421332507348507
OTULIN,1.3194317,2.4196077730362764
STAT4,1.2238696,2.4196077730362764
MXI1,-2.0395694,2.4196077730362764
TMX1,1.5486965,2.317184021940533
THEM4,-1.3528539,2.3129527012838436
CCDC66,-1.2294428,2.2990268832431298
RRBP1,1.1460662,2.2508455723636582
TRIM25,2.0981088,2.2370563861072483
GABPB1-AS1,-1.2070228,2.211626061172229
TRIB3,2.6450365,2.1752964461930206
CISD1,1.0171622,2.102143811891857
IL4I1,2.956732,2.081159541558444
IL4R,1.0222719,2.0611048652645656
