Gene,LogFC,Adjusted_PValue,Regulation
PKM,2.8622775,6.342980778209352e-308,Upregulated
HSPA8,2.2378128,1.8073328632148717e-307,Upregulated
SEC61B,2.1350644,5.63525964285374e-307,Upregulated
TNFRSF9,7.074211,3.411308679894939e-301,Upregulated
IL2RA,5.573952,0.0,Upregulated
LAG3,5.0549946,0.0,Upregulated
CCL4,5.007804,0.0,Upregulated
CCL3,4.65774,0.0,Upregulated
PTMS,4.341024,0.0,Upregulated
GZMB,4.333217,0.0,Upregulated
IFI6,4.2039785,0.0,Upregulated
MX1,3.8186116,0.0,Upregulated
HSP90AB1,3.1613476,0.0,Upregulated
ISG15,2.999666,0.0,Upregulated
PRF1,2.9675393,0.0,Upregulated
PDIA6,2.8580184,0.0,Upregulated
TUBA1B,2.846347,0.0,Upregulated
NME2,2.7680886,0.0,Upregulated
CALR,2.6166317,0.0,Upregulated
PSME2,2.4999874,0.0,Upregulated
ENO1,2.3912284,0.0,Upregulated
HSP90AA1,1.8608097,0.0,Upregulated
SRGN,1.6468103,0.0,Upregulated
RPS27,-1.0072174,0.0,Downregulated
FTH1,-1.6248035,0.0,Downregulated
CYBA,-1.8873879,0.0,Downregulated
CXCR4,-2.908718,0.0,Downregulated
CD52,-3.806924,0.0,Downregulated
HSPA5,2.5798292,4.750524819936977e-294,Upregulated
SEC61G,2.5575466,1.2939603001815819e-292,Upregulated
LY6E,2.7100594,6.340138774179927e-289,Upregulated
GBP2,2.65302,1.6098124176944607e-285,Upregulated
HOPX,3.96472,1.1874956784467061e-284,Upregulated
STAT1,3.2521298,2.5797693091074017e-278,Upregulated
BST2,2.6525087,1.5151438976588457e-277,Upregulated
MIF,1.7683414,2.9557705937578134e-276,Upregulated
BTG1,-1.517215,2.8209748602259484e-268,Downregulated
WARS,3.6746094,1.0940069429171851e-260,Upregulated
GPR171,2.7055538,1.4531560443278956e-258,Upregulated
SUB1,1.845524,9.975808381116765e-256,Upregulated
HSP90B1,2.1139534,3.300582127939918e-251,Upregulated
ACTG1,1.5399512,3.097950239037748e-248,Upregulated
SEC11C,2.4944634,2.0929908539662095e-245,Upregulated
ID2,3.0353718,4.190182483546803e-240,Upregulated
DDX21,2.7418802,8.168416373904362e-239,Upregulated
GAPDH,1.2887849,2.8801372751784514e-236,Upregulated
TNFAIP8,2.307885,6.856935518329876e-234,Upregulated
SDF2L1,2.7782223,8.6385034373413e-234,Upregulated
PARK7,2.0398328,4.191302928111376e-233,Upregulated
HSPE1,2.3786356,1.802822206606826e-230,Upregulated
MYDGF,2.904269,3.833704083210139e-229,Upregulated
ACTB,1.0805681,3.9176636215682785e-228,Upregulated
LINC01943,4.0932336,3.856907630617677e-226,Upregulated
TAP1,2.6628473,3.2340082743935876e-221,Upregulated
MAF,2.5050788,5.73917788641112e-218,Upregulated
DNAJA1,2.3444073,3.404266500087927e-217,Upregulated
