Gene,LogFC,Adjusted_PValue,Regulation
HSP90AB1,2.2300565,1.43491942445418e-97,Upregulated
CALR,2.7337346,2.373593769996648e-77,Upregulated
HSPA5,3.3334496,1.2356986603911718e-76,Upregulated
GAPDH,1.7412379,2.3085139339908973e-71,Upregulated
HSP90AA1,1.6645497,2.4146780192629296e-70,Upregulated
RPL34,-1.0176064,1.325985783322185e-67,Downregulated
CLIC1,2.5818946,9.452279046207642e-65,Upregulated
MYL6,1.4777075,1.6664917628047208e-62,Upregulated
ACTB,1.2611359,1.4395519799912186e-61,Upregulated
PSME2,2.3150399,4.033942654449952e-61,Upregulated
CDK2AP2,3.0840447,8.449524056718293e-58,Upregulated
HSP90B1,2.440737,8.691937381060787e-57,Upregulated
KLF2,-3.1555445,5.676739019240226e-55,Downregulated
PFN1,1.4590857,1.1207970406240922e-53,Upregulated
ENO1,1.7881396,5.577088507574813e-53,Upregulated
PSMA7,1.6298276,5.883240833927198e-53,Upregulated
PDIA6,2.611859,1.4252852292362755e-52,Upregulated
SDF2L1,3.076843,5.7276216786500645e-52,Upregulated
PPIB,1.985138,2.0299659674351868e-51,Upregulated
SARAF,-1.4172127,7.701428425968848e-51,Downregulated
TNFRSF4,3.9076984,5.482802653750996e-50,Upregulated
TUBA1B,2.1967356,5.482802653750996e-50,Upregulated
ACTG1,1.3485999,5.2724733410302775e-48,Upregulated
PABPC1,-1.3597448,5.028809329004331e-47,Downregulated
PDIA3,2.0698416,2.463258977595651e-44,Upregulated
TXN,2.0868237,2.474986257807684e-44,Upregulated
SLC3A2,2.3835905,3.91629596233397e-42,Upregulated
CORO1A,1.5235903,2.854096501935731e-41,Upregulated
TNFRSF18,3.2441785,6.49905698608499e-40,Upregulated
HNRNPA2B1,1.1637126,7.845651929355343e-37,Upregulated
LCP1,1.9585153,8.085047445976302e-37,Upregulated
TYMP,2.407916,1.6895833702534928e-36,Upregulated
PPP1R14B,2.3714836,6.318226720300032e-36,Upregulated
SNRPB,1.7667329,6.415085153991982e-36,Upregulated
NDUFA4,1.3957244,2.4302198127801267e-35,Upregulated
CIAO2B,1.9622692,1.1191855889678437e-33,Upregulated
TPM3,1.4550189,1.350585701332542e-33,Upregulated
MANF,2.7451859,2.9420236345892682e-33,Upregulated
