Gene,LogFC,Adjusted_PValue,Regulation
HAVCR2,4.961784,0.0,Upregulated
IFIT3,4.745559,0.0,Upregulated
CCL3,4.1597023,0.0,Upregulated
IFI6,3.8357964,0.0,Upregulated
GZMB,3.7138972,0.0,Upregulated
ISG15,3.3682933,0.0,Upregulated
HOPX,3.2336044,0.0,Upregulated
ISG20,3.0566785,0.0,Upregulated
PRF1,2.96111,0.0,Upregulated
LY6E,2.43698,0.0,Upregulated
MX1,3.4624078,2.3016533547672916e-299,Upregulated
HSPA5,2.9232328,6.5375355784717565e-282,Upregulated
IFI44L,3.567236,1.1510359179359699e-270,Upregulated
WARS,3.9469192,5.0409471595119326e-263,Upregulated
PSME2,2.3378272,4.2127958302792535e-260,Upregulated
CCL4,3.2894592,4.710970641777488e-259,Upregulated
CALR,2.6133182,7.483291430180496e-259,Upregulated
BST2,2.319256,3.459696184933131e-256,Upregulated
HSP90B1,2.507142,1.2712530810194131e-253,Upregulated
CXCR4,-3.186087,2.8886786261990884e-247,Downregulated
BTG1,-1.565965,1.7339971893095878e-242,Downregulated
FGFBP2,-5.2001467,4.074288150462432e-242,Downregulated
CCND2,3.2324393,2.4865756213657936e-240,Upregulated
PPIB,2.2305872,7.867774946556262e-238,Upregulated
RPS3,-1.0462533,7.347876979562823e-235,Downregulated
TYMP,2.7699273,3.2044406080442286e-231,Upregulated
GNLY,1.3373294,3.4445602974395657e-223,Upregulated
CYBA,-1.6750485,2.8221271732663036e-220,Downregulated
STAT1,2.8763764,3.1628620590345075e-219,Upregulated
PDIA3,2.0867338,2.3170934785735825e-218,Upregulated
HSP90AA1,1.5415338,2.0797274578086124e-215,Upregulated
HSP90AB1,2.1138227,2.6193223519522053e-214,Upregulated
SEC61B,2.1972356,9.049148827592277e-213,Upregulated
XBP1,3.333702,1.513810579220428e-211,Upregulated
YPEL3,-2.478192,2.8689568891469625e-208,Downregulated
SSR4,2.108785,2.748153197699369e-206,Upregulated
PDIA6,2.6452925,1.121080878331979e-195,Upregulated
GBP1,3.661475,1.0564591312068109e-194,Upregulated
GZMA,1.930876,3.047382052278714e-184,Upregulated
ACTB,1.2195412,1.0164767742335017e-183,Upregulated
IFI35,2.702943,5.195699232223915e-181,Upregulated
PLSCR1,3.0815997,1.372437124704256e-176,Upregulated
EPSTI1,2.933068,1.153396232548439e-170,Upregulated
SDF2L1,2.997459,5.31631392979507e-168,Upregulated
PSMB9,1.4983786,3.1294935163778076e-167,Upregulated
GBP5,2.5699627,1.489464282891122e-164,Upregulated
XAF1,1.9677541,5.010113021125745e-163,Upregulated
SEC61G,2.2906015,1.8336334985057085e-161,Upregulated
TUBA1B,2.3041482,5.69432191128967e-159,Upregulated
APOL6,2.7950327,1.2530847009974997e-153,Upregulated
CLIC3,-1.5830644,3.28015308753181e-153,Downregulated
CD38,2.3656936,4.1949228073224837e-153,Upregulated
APOBEC3G,1.5014666,2.2771604769791721e-150,Upregulated
IVNS1ABP,2.7241852,2.932212491642598e-149,Upregulated
GBP2,2.1590226,5.256646674524468e-149,Upregulated
ID2,2.2627497,9.852803503236753e-149,Upregulated
TYROBP,-1.2402526,4.061050400501449e-147,Downregulated
MYDGF,2.6345944,5.0308534423799434e-145,Upregulated
IGFBP7,3.1977618,2.780412878032638e-144,Upregulated
ACTG1,1.2313206,1.7505896637324212e-143,Upregulated
ARPC5L,2.0279608,6.07078910796287e-143,Upregulated
HSPA8,1.9102025,7.465752526355443e-141,Upregulated
SEC11C,2.4325938,1.6420251309441266e-139,Upregulated
FKBP11,2.4064429,8.190663396007119e-136,Upregulated
TNFSF10,3.1318614,1.8378031332436773e-135,Upregulated
IRF7,2.4169865,1.0253240014408505e-134,Upregulated
FLOT1,2.6065388,1.1379983645083762e-134,Upregulated
PARP14,2.12351,4.827381680617008e-134,Upregulated
TAP1,2.2815714,3.0593028049696004e-130,Upregulated
GBP4,2.2240798,2.1326235139020785e-129,Upregulated
MXD4,-2.4781718,4.820150881030394e-128,Downregulated
EIF2AK2,2.1681874,7.51348097361836e-128,Upregulated
SPCS2,1.7558615,1.3133612991093562e-126,Upregulated
SAMD9L,2.0114992,5.092165967502322e-124,Upregulated
KLRB1,-1.8487338,2.061332208481606e-123,Downregulated
IFITM3,2.596063,1.5885862320433874e-121,Upregulated
TNFRSF18,2.57207,2.0731795051840893e-120,Upregulated
PSMB8,1.7439364,3.9637295476712475e-118,Upregulated
LSP1,-1.6530657,2.6985408299991065e-115,Downregulated
BHLHE40,2.333583,1.9557421601787475e-110,Upregulated
MANF,2.4346309,4.386637441720616e-110,Upregulated
AC004687.1,-1.2401326,6.117392766839444e-110,Downregulated
PKM,2.22513,1.0726661562861616e-108,Upregulated
TNFRSF9,5.782195,2.951215137379542e-108,Upregulated
ITM2B,-1.026268,9.680332795536849e-108,Downregulated
HIF1A,1.8437096,4.0738049891350654e-106,Upregulated
CDK6,4.053169,9.83580523923504e-106,Upregulated
NME2,1.9017363,4.064629788588593e-105,Upregulated
CYTIP,1.9028693,8.901946069110145e-105,Upregulated
CD48,1.923879,1.9857557559446764e-104,Upregulated
HAPLN3,4.9839916,3.1820067359390825e-104,Upregulated
IL2RA,3.5888782,3.5038623087190004e-103,Upregulated
TPM4,3.1341016,1.2823585772427332e-102,Upregulated
MYL12A,1.3520397,9.962515443306774e-102,Upregulated
GNG5,1.6709605,3.27416317422137e-101,Upregulated
FCER1G,1.4391205,6.433731059493657e-101,Upregulated
KLRC1,1.9696845,3.791930990842935e-98,Upregulated
GNPTAB,1.7522445,8.434674272506553e-98,Upregulated
ENO1,1.5874314,1.131877511712422e-97,Upregulated
TMED9,1.8750422,1.4251854080182639e-97,Upregulated
P4HB,1.9829415,8.075778860149029e-96,Upregulated
S100A11,1.5361506,1.111092439741483e-94,Upregulated
VMP1,2.6174083,4.804661199281438e-93,Upregulated
SARAF,-1.1833613,1.0207047664307162e-92,Downregulated
CISH,3.9827678,2.1299475345209034e-92,Upregulated
UPP1,1.8506919,2.8231318642566505e-92,Upregulated
LAP3,2.336547,1.6128741955497846e-90,Upregulated
MX2,2.5828526,2.136137173863202e-90,Upregulated
POMP,1.4551747,1.9049020628843618e-89,Upregulated
CD69,1.675002,1.5040367955331893e-86,Upregulated
STAT3,1.7953094,1.8448365803945813e-85,Upregulated
LMAN1,2.2229202,2.6809297943682673e-85,Upregulated
CDK2AP2,1.9033947,1.1489021875378896e-84,Upregulated
HM13,2.361076,1.6217327508492876e-84,Upregulated
SP100,1.4602264,3.283347882465166e-84,Upregulated
IFIT2,2.8675604,4.517510883676269e-84,Upregulated
SELENOS,1.918734,7.756598480317755e-83,Upregulated
RNF213,1.2723984,1.7307520821264617e-82,Upregulated
OAS2,2.470286,2.037330967415291e-82,Upregulated
OASL,2.0336676,3.5025459797009624e-82,Upregulated
SLAMF7,2.3013916,9.631855735151864e-82,Upregulated
ARHGDIB,-1.002994,2.7555530007221755e-81,Downregulated
DNAJA1,1.6924511,3.9631831957467666e-81,Upregulated
PLAAT4,-1.0302236,1.5111637536389498e-80,Downregulated
PARK7,1.3990358,4.520641922418926e-80,Upregulated
LINC01871,2.341186,5.6986697948248424e-80,Upregulated
NFIL3,3.370933,3.0641999527144353e-79,Upregulated
RSAD2,3.06183,4.943134401713186e-79,Upregulated
FAM3C,3.26094,5.221746716552476e-79,Upregulated
FEZ1,3.9296753,1.7199816746593533e-78,Upregulated
CANX,1.7788634,5.725250261842718e-78,Upregulated
LBH,-1.7083308,2.978306282832668e-77,Downregulated
NFKBIA,1.2264879,4.993471645858681e-77,Upregulated
HERC5,2.7128472,5.3671875344505324e-77,Upregulated
CTSC,1.5890146,7.478117890930246e-77,Upregulated
SOCS1,3.0312293,6.77471540207186e-75,Upregulated
MIF,1.1825064,1.4480691175297824e-74,Upregulated
GZMM,-1.8845729,1.967333099525386e-74,Downregulated
BZW1,1.3997223,1.163723452054936e-73,Upregulated
IGFLR1,1.9183086,3.110636794700415e-73,Upregulated
PNRC1,-1.0453582,5.696037916947148e-73,Downregulated
KDELR2,1.9255418,6.937798039529264e-73,Upregulated
EIF4A1,1.2584693,1.0105398038470036e-72,Upregulated
PSMA6,1.4759898,1.851712846618768e-72,Upregulated
KLRD1,1.1066656,3.119058619827791e-72,Upregulated
PARP9,2.2143557,3.215109550250918e-72,Upregulated
PSMA7,1.2104675,1.2454368665387143e-71,Upregulated
SERBP1,1.3299596,3.000366393115126e-71,Upregulated
IFI16,1.2540085,4.427539759964437e-71,Upregulated
P2RX5,3.946012,1.7878301353455903e-70,Upregulated
OAS1,2.9202013,3.056248557621639e-70,Upregulated
LCP2,1.8701476,4.7167114875964764e-70,Upregulated
OSTC,1.8621017,7.667970060364984e-70,Upregulated
CFLAR,1.2847519,1.2725259482388888e-69,Upregulated
CYCS,1.575442,1.91439907921341e-69,Upregulated
HCST,-1.2692627,4.983007765469439e-69,Downregulated
PDCD4,-1.731769,8.036159072374061e-69,Downregulated
CD164,1.5483717,1.0583081944332519e-67,Upregulated
UBE2L6,1.5527444,1.2445106524151318e-67,Upregulated
ARL4C,-1.079301,5.695240007859697e-67,Downregulated
SLC3A2,1.6227151,1.327535432064872e-66,Upregulated
DDX21,2.0842016,3.188127460110012e-66,Upregulated
PRDM1,2.983199,2.329688935910035e-65,Upregulated
ATM,-1.9515566,4.707068998333403e-65,Downregulated
DTX3L,2.5507395,2.0968165949959388e-64,Upregulated
EIF5A,1.4220346,1.380634049099806e-62,Upregulated
STK17A,-1.0134655,3.459059861134293e-62,Downregulated
SPCS3,1.6639645,1.4388646761338662e-61,Upregulated
