Gene,LogFC,Adjusted_PValue,Regulation
HSP90AB1,1.9975739,7.268058375132752e-73,Upregulated
CALR,2.6536129,3.44102841959267e-66,Upregulated
GAPDH,1.7728248,9.775062394806103e-61,Upregulated
ACTB,1.3047613,1.9840631412166777e-57,Upregulated
HSPA5,3.0453663,2.555558442954257e-55,Upregulated
MYL6,1.502867,2.555558442954257e-55,Upregulated
CDK2AP2,3.21531,1.3687339843827231e-53,Upregulated
HSP90AA1,1.4118147,1.4755926971874988e-46,Upregulated
ACTG1,1.4444185,2.7531748225048476e-46,Upregulated
KLF2,-2.9667926,2.94474129879616e-43,Downregulated
PPIB,1.9662251,4.434626362706061e-43,Upregulated
TUBA1B,2.1820219,2.3936972445018423e-42,Upregulated
HSP90B1,2.2736585,1.406673765627343e-41,Upregulated
CLIC1,2.2696643,5.30085545288047e-41,Upregulated
SARAF,-1.3193268,8.987415757952948e-38,Downregulated
PDIA3,2.023649,1.028465501767468e-36,Upregulated
SDF2L1,2.8882873,9.522352154585967e-36,Upregulated
TNFRSF4,3.5003486,7.784821742013769e-35,Upregulated
PSMA7,1.4479764,2.6002346126715977e-34,Upregulated
MT-ND5,1.0733093,3.4573733932983606e-34,Upregulated
PFN1,1.2742425,3.905111614593582e-34,Upregulated
NDUFV2,1.9210557,9.231052400022772e-34,Upregulated
PDIA6,2.3422065,2.307533861000637e-33,Upregulated
HNRNPA3,1.4649539,4.003488233108988e-32,Upregulated
CD96,2.5011032,6.590663172140297e-32,Upregulated
CORO1A,1.5092646,1.4461131774732263e-31,Upregulated
MT2A,1.8610628,3.976445366000679e-30,Upregulated
MANF,2.7061937,4.439022460429687e-30,Upregulated
ENO1,1.4382074,1.6302731892083985e-28,Upregulated
TNFRSF18,2.9103787,1.8518963211613024e-27,Upregulated
LCP1,1.8290297,5.708330905594459e-26,Upregulated
TXN,1.7460015,9.993237495019751e-26,Upregulated
CHCHD2,1.2078358,1.6462549388569198e-25,Upregulated
PSME2,1.7044954,2.7030969521655256e-25,Upregulated
CD7,1.6291411,1.4942074414569848e-24,Upregulated
PPP1R14B,2.1357257,1.6635012536049035e-24,Upregulated
SLC3A2,2.0529187,3.898300427941794e-24,Upregulated
HNRNPA2B1,1.0465345,5.651944929660854e-24,Upregulated
SSR4,1.4242381,6.519160869342257e-24,Upregulated
SNRPB,1.5923867,8.227483969931827e-24,Upregulated
SRSF5,-1.2177627,1.27249344443382e-23,Downregulated
CD52,-1.9997222,1.5979964747417008e-23,Downregulated
PRDX1,1.598972,2.047346811021828e-23,Upregulated
SEC61B,1.5642829,6.542124929743138e-23,Upregulated
TPM3,1.281968,2.3301520939639843e-22,Upregulated
NOP53,-1.260166,3.423576056849688e-22,Downregulated
CIAO2B,1.7451147,1.0532426728089372e-21,Upregulated
CREM,1.6338085,1.4883546695824399e-21,Upregulated
NDUFA4,1.210267,1.982379375616835e-21,Upregulated
SELENOS,2.233485,4.394230215170562e-21,Upregulated
SEC61G,1.8513067,4.70183996296112e-21,Upregulated
TYMP,2.0092065,5.083486467135567e-21,Upregulated
NDUFA13,1.2086986,7.80944117503771e-21,Upregulated
GUK1,1.4107146,8.782488856111664e-21,Upregulated
CTLA4,2.139163,9.851865195846862e-21,Upregulated
RAC2,1.4810064,2.179280486530327e-20,Upregulated
UBB,1.1146499,2.7214194869599503e-20,Upregulated
SUB1,1.2053969,4.637252027420593e-20,Upregulated
PKM,1.5250467,6.45571503251249e-20,Upregulated
COX6A1,1.3494916,6.295517695867406e-19,Upregulated
SYNE2,-1.8269436,6.977703535444699e-19,Downregulated
SEC11C,1.8363843,1.3453202640515392e-18,Upregulated
