names,scores,logfoldchanges,pvals,pvals_adj,Cell type,Regulation
IFI44L,21.794113,2.018838,2.6385520945124154e-105,4.3633735986951816e-101,CD4+ T Cells,upregulated
XAF1,20.72279,1.4845859,2.158150365739114e-95,1.7844666299113864e-91,CD4+ T Cells,upregulated
ISG15,17.869019,1.3457336,2.055763252076823e-71,1.1332052299864807e-67,CD4+ T Cells,upregulated
LY6E,16.590427,1.0255805,8.173747455441777e-62,3.379231541766017e-58,CD4+ T Cells,upregulated
IFI6,16.11535,1.4347353,1.990319550759908e-58,6.58278288218332e-55,CD4+ T Cells,upregulated
MX1,15.843817,1.3551546,1.5511299595179923e-56,4.275172690091507e-53,CD4+ T Cells,upregulated
EIF2AK2,12.205345,1.1648769,2.910727829184985e-34,6.0168382639040115e-31,CD4+ T Cells,upregulated
IFIT3,10.611661,1.8125702,2.6303106242542326e-26,3.954313344844749e-23,CD4+ T Cells,upregulated
SAMD9L,10.454417,1.3189118,1.3985564027122632e-25,1.7790713255117458e-22,CD4+ T Cells,upregulated
HERC5,10.265854,1.6411821,1.0042885180689848e-24,1.1071946148871202e-21,CD4+ T Cells,upregulated
IFIT1,10.196842,2.923739,2.048246928042395e-24,2.1169912155648178e-21,CD4+ T Cells,upregulated
IFI44,8.161976,1.6670547,3.295878459509562e-16,1.879446278789987e-13,CD4+ T Cells,upregulated
OAS1,7.7931967,2.0623136,6.533474181209738e-15,3.0869732152761554e-12,CD4+ T Cells,upregulated
RSAD2,6.9950314,1.7320397,2.6520001828362395e-12,1.0441935005610214e-09,CD4+ T Cells,upregulated
OAS2,6.7774897,1.0227511,1.2228169960893185e-11,4.3960271009411004e-09,CD4+ T Cells,upregulated
DDX60,5.3676357,1.214676,7.977538322281088e-08,1.5894524245248477e-05,CD4+ T Cells,upregulated
OAS3,4.835298,1.8544272,1.3294639535938164e-06,0.00021031338412976004,CD4+ T Cells,upregulated
OASL,4.6872225,1.7726209,2.7693753662725107e-06,0.0004163378221095319,CD4+ T Cells,upregulated
IFIT2,4.410003,1.6222378,1.0336911867792535e-05,0.001401159930800698,CD4+ T Cells,upregulated
XAF1,17.739866,1.7809997,2.0642895432307485e-70,3.4137156176406887e-66,CD8+ Naive T Cells,upregulated
IFI44L,16.46732,2.0947223,6.299981720119675e-61,5.209139885280953e-57,CD8+ Naive T Cells,upregulated
ISG15,15.769044,1.4672909,5.081290482387719e-56,2.8009766902415234e-52,CD8+ Naive T Cells,upregulated
LY6E,14.874268,1.2494341,4.842553498673784e-50,2.0020326801892093e-46,CD8+ Naive T Cells,upregulated
MX1,13.319269,1.5341067,1.7885046245929372e-40,5.91530019537868e-37,CD8+ Naive T Cells,upregulated
IFI6,12.4692135,1.4473114,1.0990492846497776e-35,3.029163003375562e-32,CD8+ Naive T Cells,upregulated
EIF2AK2,9.2954445,1.2020183,1.4659273987324463e-20,3.030255174104808e-17,CD8+ Naive T Cells,upregulated
TRIM22,8.412995,1.061038,3.996694614411667e-17,5.084102987578903e-14,CD8+ Naive T Cells,upregulated
IFIT1,7.1695337,2.7075267,7.525354097012324e-13,7.7779237938933e-10,CD8+ Naive T Cells,upregulated
IFIT3,6.483711,1.5194948,8.949371012914012e-11,7.399787422027951e-08,CD8+ Naive T Cells,upregulated
HERC5,6.360554,1.6593589,2.010267753634138e-10,1.511081720083988e-07,CD8+ Naive T Cells,upregulated
SAMD9L,6.2972975,1.006628,3.0287931053934396e-10,2.177702242777883e-07,CD8+ Naive T Cells,upregulated
IRF7,5.957786,1.015381,2.55677544952003e-09,1.6262075234120282e-06,CD8+ Naive T Cells,upregulated
IFI44,5.772716,1.9646008,7.800380647297144e-09,4.448099819460444e-06,CD8+ Naive T Cells,upregulated
OAS2,5.6391993,1.2111481,1.7084284315307e-08,8.828837803819746e-06,CD8+ Naive T Cells,upregulated
RSAD2,5.266818,1.5805514,1.3880869629381682e-07,6.376331696141246e-05,CD8+ Naive T Cells,upregulated
OAS1,4.8134727,1.9619118,1.4832999691678758e-06,0.0005450962575584258,CD8+ Naive T Cells,upregulated
