names,scores,logfoldchanges,pvals,pvals_adj,Cell type,Regulation
IFI44L,25.06764,2.2117503,1.1213229077032668e-138,1.8543316924688925e-134,CD4+ T Cells,upregulated
XAF1,22.80809,1.5745808,3.811273532023261e-115,3.151351519953433e-111,CD4+ T Cells,upregulated
ISG15,21.404613,1.567859,1.2102141225693568e-101,6.671103648309818e-98,CD4+ T Cells,upregulated
LY6E,20.53621,1.1978256,1.022367640673462e-93,4.22672341845426e-90,CD4+ T Cells,upregulated
IFI6,20.45996,1.7434157,4.897815928415237e-93,1.6199036401640555e-89,CD4+ T Cells,upregulated
MX1,18.739521,1.5532007,2.3573602123999857e-78,6.497277638743094e-75,CD4+ T Cells,upregulated
EIF2AK2,15.294862,1.3572875,8.273678667493519e-53,1.954597487490576e-49,CD4+ T Cells,upregulated
IFIT3,14.521358,2.2050745,8.873529225973612e-48,1.6304616978880624e-44,CD4+ T Cells,upregulated
IFIT1,13.716731,3.3321836,8.061876397527554e-43,1.3331924998591315e-39,CD4+ T Cells,upregulated
HERC5,13.4229965,1.9269981,4.4341581855865605e-41,6.666152174094995e-38,CD4+ T Cells,upregulated
SAMD9L,12.539802,1.5113935,4.521270975899122e-36,5.340589866317413e-33,CD4+ T Cells,upregulated
RSAD2,9.799884,2.0873942,1.1271567101628413e-22,6.213263505320969e-20,CD4+ T Cells,upregulated
OAS1,9.477215,2.248793,2.611613551693933e-21,1.3087349486170477e-18,CD4+ T Cells,upregulated
IFI44,9.257041,1.7739196,2.1017680196436216e-20,9.39376695698556e-18,CD4+ T Cells,upregulated
EPSTI1,8.826285,1.176627,1.0820992251310556e-18,4.161552299067969e-16,CD4+ T Cells,upregulated
OAS2,8.3365755,1.1563319,7.647279232654243e-17,2.5292611334080645e-14,CD4+ T Cells,upregulated
IFIT2,7.723617,2.197471,1.1307426820609995e-14,3.339123523793348e-12,CD4+ T Cells,upregulated
PLSCR1,7.4873505,1.1699677,7.027785435661111e-14,1.936974795825463e-11,CD4+ T Cells,upregulated
DDX60,6.549018,1.3660611,5.791662231072836e-11,1.3120098399349518e-08,CD4+ T Cells,upregulated
OAS3,6.510903,2.120041,7.470050310130389e-11,1.64709629304835e-08,CD4+ T Cells,upregulated
DDX60L,6.4254885,1.0954363,1.3144686115519502e-10,2.6836256085474814e-08,CD4+ T Cells,upregulated
OASL,6.182222,2.1,6.32056005600702e-10,1.1990294094665308e-07,CD4+ T Cells,upregulated
HERC6,5.5797033,1.4290067,2.409290835193372e-08,3.7945183372945517e-06,CD4+ T Cells,upregulated
USP18,5.451516,2.2331939,4.994212746859879e-08,7.647157055076096e-06,CD4+ T Cells,upregulated
HELZ2,5.262645,1.5074949,1.4199783891247902e-07,2.0598405807856714e-05,CD4+ T Cells,upregulated
SPATS2L,4.8066807,1.7985785,1.534567847974986e-06,0.000178712313394101,CD4+ T Cells,upregulated
IFIH1,4.60387,1.0166267,4.147115606575024e-06,0.0004511898078021788,CD4+ T Cells,upregulated
IFIT5,4.355617,1.2562884,1.3269268488518782e-05,0.001354530203670587,CD4+ T Cells,upregulated
LGALS9,4.206033,1.5846932,2.598922487513843e-05,0.0025281400691774367,CD4+ T Cells,upregulated
CMPK2,4.194322,1.8008591,2.736888036389828e-05,0.002646778798700502,CD4+ T Cells,upregulated
XAF1,20.597954,2.0064316,2.8629140588564095e-94,4.734400979130845e-90,CD8+ Naive T Cells,upregulated
IFI44L,17.578438,2.2128787,3.603713165779767e-69,2.979730231125e-65,CD8+ Naive T Cells,upregulated
ISG15,16.46432,1.548478,6.620260442388255e-61,3.649308231192486e-57,CD8+ Naive T Cells,upregulated
LY6E,16.047497,1.3265918,5.951594223701269e-58,2.4605378419336972e-54,CD8+ Naive T Cells,upregulated
MX1,14.649587,1.6486007,1.3553679498904857e-48,4.482743957467792e-45,CD8+ Naive T Cells,upregulated
IFI6,14.366269,1.6961124,8.424949962151105e-47,2.322056625401547e-43,CD8+ Naive T Cells,upregulated
EIF2AK2,11.207899,1.3852121,3.729408704761734e-29,6.852581305627199e-26,CD8+ Naive T Cells,upregulated
MX2,10.950539,1.0727302,6.605341653203851e-28,1.0923253491903207e-24,CD8+ Naive T Cells,upregulated
SAMD9L,9.364392,1.3162539,7.648935282007691e-21,9.730034058350861e-18,CD8+ Naive T Cells,upregulated
IRF7,8.364482,1.2704144,6.03795638951563e-17,4.9924842406709984e-14,CD8+ Naive T Cells,upregulated
HERC5,8.32351,1.9500115,8.539572032891483e-17,6.724709652758402e-14,CD8+ Naive T Cells,upregulated
IFIT1,8.310283,2.9206607,9.547403857727781e-17,7.176609890692923e-14,CD8+ Naive T Cells,upregulated
TRIM22,7.980502,1.0319736,1.457391950065768e-15,1.0478648120972871e-12,CD8+ Naive T Cells,upregulated
IFIT3,7.398193,1.7388804,1.3805045744855042e-13,8.455334869728438e-11,CD8+ Naive T Cells,upregulated
IFI44,6.8322453,2.1241505,8.359581602232985e-12,4.608080031870896e-09,CD8+ Naive T Cells,upregulated
RSAD2,6.160167,1.7609619,7.266815791857038e-10,3.2478738581064825e-07,CD8+ Naive T Cells,upregulated
OAS1,5.949485,2.22238,2.689878813210707e-09,1.1120631483516365e-06,CD8+ Naive T Cells,upregulated
OAS2,5.287507,1.124617,1.239945625948613e-07,4.184689962512696e-05,CD8+ Naive T Cells,upregulated
EPSTI1,5.0570316,1.172658,4.25832552551103e-07,0.00013286779097240736,CD8+ Naive T Cells,upregulated
DDX60,5.0360975,1.2473485,4.751185108329422e-07,0.0001455006446971179,CD8+ Naive T Cells,upregulated
PLSCR1,5.0270348,1.1176713,4.981221502794409e-07,0.00014977174543947478,CD8+ Naive T Cells,upregulated
OAS3,4.7698674,2.2473586,1.843472371542438e-06,0.0005167034340372423,CD8+ Naive T Cells,upregulated
FGFBP2,-4.4756336,-1.3095696,7.618501252798275e-06,0.001799816503107501,CD8+ Naive T Cells,downregulated
IFI6,15.337596,1.972445,4.287800284522392e-53,7.090735330514679e-49,CD8+ Effector T Cells,upregulated
XAF1,13.733266,1.4557132,6.417417524550634e-43,5.306241680174692e-39,CD8+ Effector T Cells,upregulated
ISG15,12.282657,1.3089107,1.122506613365284e-34,6.187630621740567e-31,CD8+ Effector T Cells,upregulated
MX1,11.874622,1.924355,1.6035599983878048e-32,6.629517923334782e-29,CD8+ Effector T Cells,upregulated
LY6E,11.735171,1.1489872,8.41555408197842e-32,2.7833603570735423e-28,CD8+ Effector T Cells,upregulated
IFI44L,10.716251,2.5321708,8.539418905232073e-27,2.3536061739303798e-23,CD8+ Effector T Cells,upregulated
EIF2AK2,10.237259,1.3339273,1.3500687007789538e-24,3.1894408721116513e-21,CD8+ Effector T Cells,upregulated
IRF9,8.948584,1.1229609,3.600737946457463e-19,5.954540342056706e-16,CD8+ Effector T Cells,upregulated
MX2,8.781399,1.5746925,1.6145463403664356e-18,2.4272502573308857e-15,CD8+ Effector T Cells,upregulated
SAMD9L,8.318304,1.0761192,8.923107773998814e-17,1.2296786104884865e-13,CD8+ Effector T Cells,upregulated
STAT1,7.9226723,1.203711,2.324598896357542e-15,2.957068611466513e-12,CD8+ Effector T Cells,upregulated
HERC5,7.258777,1.700316,3.9060604851494906e-13,3.7996777789951253e-10,CD8+ Effector T Cells,upregulated
IFIT3,6.8651247,1.9459572,6.64332481432041e-12,5.782140129179822e-09,CD8+ Effector T Cells,upregulated
IFI44,5.857865,1.7425144,4.688556160587087e-09,3.230610551151194e-06,CD8+ Effector T Cells,upregulated
IFIT1,5.783004,3.0602863,7.33784629076518e-09,4.853838564415352e-06,CD8+ Effector T Cells,upregulated
RSAD2,5.6335125,2.368482,1.765757022188061e-08,1.0428687098544272e-05,CD8+ Effector T Cells,upregulated
OAS2,5.4495115,1.2789615,5.050829222488554e-08,2.784185428409774e-05,CD8+ Effector T Cells,upregulated
IRF7,5.310236,1.154725,1.0948325734135185e-07,5.6578894582935486e-05,CD8+ Effector T Cells,upregulated
PARP9,4.995539,1.2145084,5.867154767227232e-07,0.0002853680540754022,CD8+ Effector T Cells,upregulated
IFITM1,4.7758956,1.1167452,1.7890912200218038e-06,0.0008218389307083491,CD8+ Effector T Cells,upregulated
PLSCR1,4.66279,1.2668912,3.119515285097513e-06,0.0013575637965699363,CD8+ Effector T Cells,upregulated
EPSTI1,4.654689,1.1763544,3.2447006573966327e-06,0.001375836276188926,CD8+ Effector T Cells,upregulated
OAS1,4.252976,1.5431678,2.1094826453143668e-05,0.0072676071886591,CD8+ Effector T Cells,upregulated
