names,scores,logfoldchanges,pvals,pvals_adj,Cell type,Regulation
GAPDH,85.32014,2.5567367,0.0,1e-300,CD4+ T Cells,upregulated
HSP90AB1,82.57244,2.129353,0.0,1e-300,CD4+ T Cells,upregulated
ACTB,82.082115,1.7260939,0.0,1e-300,CD4+ T Cells,upregulated
HSPA5,79.97537,3.8612525,0.0,1e-300,CD4+ T Cells,upregulated
CALR,78.02374,3.1694124,0.0,1e-300,CD4+ T Cells,upregulated
MYL6,77.06008,1.903192,0.0,1e-300,CD4+ T Cells,upregulated
CDK2AP2,75.691124,3.8389442,0.0,1e-300,CD4+ T Cells,upregulated
CLIC1,74.62218,3.6610227,0.0,1e-300,CD4+ T Cells,upregulated
ACTG1,74.58565,1.9494597,0.0,1e-300,CD4+ T Cells,upregulated
PDIA3,71.999504,2.7648745,0.0,1e-300,CD4+ T Cells,upregulated
PPIB,71.857,2.5000975,0.0,1e-300,CD4+ T Cells,upregulated
PFN1,71.48161,1.8274878,0.0,1e-300,CD4+ T Cells,upregulated
TUBA1B,70.20369,2.8563135,0.0,1e-300,CD4+ T Cells,upregulated
HSP90AA1,69.38955,1.655994,0.0,1e-300,CD4+ T Cells,upregulated
SDF2L1,69.10622,3.6793864,0.0,1e-300,CD4+ T Cells,upregulated
MT2A,67.40844,2.6943858,0.0,1e-300,CD4+ T Cells,upregulated
PDIA6,65.10924,3.1302705,0.0,1e-300,CD4+ T Cells,upregulated
CD96,64.72121,2.9736927,0.0,1e-300,CD4+ T Cells,upregulated
HSP90B1,64.20039,2.5378535,0.0,1e-300,CD4+ T Cells,upregulated
SEC61B,64.17399,2.3576224,0.0,1e-300,CD4+ T Cells,upregulated
PKM,63.879414,2.6676915,0.0,1e-300,CD4+ T Cells,upregulated
PPP1R14B,62.58064,2.9822946,0.0,1e-300,CD4+ T Cells,upregulated
PSMA7,61.474148,1.7232133,0.0,1e-300,CD4+ T Cells,upregulated
ENO1,61.376934,1.9946809,0.0,1e-300,CD4+ T Cells,upregulated
