names,scores,logfoldchanges,pvals,pvals_adj,Cell type,Regulation
TPT1,81.92674,1.6022781,0.0,1e-300,CD4+ T Cells,upregulated
MALAT1,76.253555,1.5953357,0.0,1e-300,CD4+ T Cells,upregulated
BTG1,75.59667,2.436689,0.0,1e-300,CD4+ T Cells,upregulated
CD96,72.4918,4.728443,0.0,1e-300,CD4+ T Cells,upregulated
FTH1,67.53658,1.1374524,0.0,1e-300,CD4+ T Cells,upregulated
TMSB4X,66.087,1.4573411,0.0,1e-300,CD4+ T Cells,upregulated
ARHGDIB,63.348186,1.9855721,0.0,1e-300,CD4+ T Cells,upregulated
MYL6,58.783432,1.135409,0.0,1e-300,CD4+ T Cells,upregulated
MT2A,58.23363,2.178216,0.0,1e-300,CD4+ T Cells,upregulated
SH3BGRL3,55.201077,1.1204387,0.0,1e-300,CD4+ T Cells,upregulated
VIM,53.66689,2.1996038,0.0,1e-300,CD4+ T Cells,upregulated
CDK2AP2,51.745472,1.5336429,0.0,1e-300,CD4+ T Cells,upregulated
PABPC1,51.653767,1.0663972,0.0,1e-300,CD4+ T Cells,upregulated
JAK1,51.474667,1.6896533,0.0,1e-300,CD4+ T Cells,upregulated
ITM2B,48.550106,1.6315205,0.0,1e-300,CD4+ T Cells,upregulated
CORO1A,48.50417,1.2492926,0.0,1e-300,CD4+ T Cells,upregulated
JUND,48.125595,1.2271067,0.0,1e-300,CD4+ T Cells,upregulated
GAS5,44.31851,1.180853,0.0,1e-300,CD4+ T Cells,upregulated
HCST,44.262947,2.356411,0.0,1e-300,CD4+ T Cells,upregulated
NR3C1,43.684933,2.342988,0.0,1e-300,CD4+ T Cells,upregulated
ARL4C,37.838,1.5465297,0.0,1e-300,CD4+ T Cells,upregulated
STK17B,35.760906,1.5962689,4.477947593869708e-280,2.1844194501422822e-278,CD4+ T Cells,upregulated
LIMD2,35.642967,1.0373187,3.0284099814085285e-278,1.4432511775951825e-276,CD4+ T Cells,upregulated
TRBC2,34.38689,1.0593083,3.959374748966841e-259,1.6206975302887289e-257,CD4+ T Cells,upregulated
GPSM3,33.549843,1.628734,9.050257183216954e-247,3.538158464275621e-245,CD4+ T Cells,upregulated
CD52,31.744143,1.7144637,3.824976322824562e-221,1.2882613737382846e-219,CD4+ T Cells,upregulated
LAPTM5,31.045597,1.312924,1.3081398933766092e-211,4.128379659688738e-210,CD4+ T Cells,upregulated
LGALS1,30.598358,2.0777082,1.2870610518413723e-205,3.8698415662365046e-204,CD4+ T Cells,upregulated
NUCB2,29.899027,2.0883532,2.0259863113579668e-196,5.659414802521402e-195,CD4+ T Cells,upregulated
PITPNC1,29.673508,2.3022294,1.687465986771324e-193,4.650937503872897e-192,CD4+ T Cells,upregulated
RESF1,29.546787,1.7470075,7.221834277857547e-192,1.9578274336545942e-190,CD4+ T Cells,upregulated
STK17A,29.019276,1.0088775,3.758836990044388e-185,9.652156413721125e-184,CD4+ T Cells,upregulated
CD53,28.949747,1.0389171,2.8269066631246165e-184,7.159043719462754e-183,CD4+ T Cells,upregulated
CD5,28.940132,1.7640449,3.7352917434009795e-184,9.430613673377405e-183,CD4+ T Cells,upregulated
EVI2B,28.08693,2.766025,1.4149154227094254e-173,3.304866715444318e-172,CD4+ T Cells,upregulated
SPOCK2,28.052893,1.0684469,3.6828570976311485e-173,8.553849413416615e-172,CD4+ T Cells,upregulated
ARHGAP30,28.02134,1.1081405,8.930545242038249e-173,2.0684093370810438e-171,CD4+ T Cells,upregulated
ID3,27.801853,2.5999107,4.119540376948454e-170,9.332169755287204e-169,CD4+ T Cells,upregulated
AKAP13,27.477484,1.3970156,3.262784474266948e-166,7.108915263630109e-165,CD4+ T Cells,upregulated
PLEKHO1,26.411991,1.7313657,9.978317400129329e-154,1.950489773592656e-152,CD4+ T Cells,upregulated
CLEC2B,25.963821,1.711431,1.2694647973870029e-148,2.3855840175441894e-147,CD4+ T Cells,upregulated
RGS16,25.433151,2.5153613,1.0844858414161138e-142,1.924264201662905e-141,CD4+ T Cells,upregulated
EVI2A,25.23443,2.095292,1.6788232621164164e-140,2.9162500300020147e-139,CD4+ T Cells,upregulated
ETHE1,23.106632,1.0819331,3.971007961159085e-118,5.7352452972653094e-117,CD4+ T Cells,upregulated
TXNIP,22.732822,1.0914077,2.1224247744745706e-114,2.961901982741432e-113,CD4+ T Cells,upregulated
SIRPG,22.524878,2.9362786,2.3680891436563553e-112,3.263424180720429e-111,CD4+ T Cells,upregulated
ARHGAP18,22.177422,3.4297786,5.673922029343047e-109,7.579131550827622e-108,CD4+ T Cells,upregulated
IL16,21.723793,1.4733177,1.2225528546188315e-104,1.580715915311307e-103,CD4+ T Cells,upregulated
SH3KBP1,21.26696,1.4811144,2.296891364042423e-100,2.8494893088649324e-99,CD4+ T Cells,upregulated
CXCR4,20.99832,1.5301429,6.794575634655334e-98,8.249772193120064e-97,CD4+ T Cells,upregulated
DDIT3,20.884995,2.2691126,7.331447876605447e-97,8.791889306412203e-96,CD4+ T Cells,upregulated
PDE4D,20.510561,2.0298316,1.7328184184586269e-93,2.0066959514040835e-92,CD4+ T Cells,upregulated
ATM,20.353462,1.8960038,4.32617099021454e-92,4.940738236545432e-91,CD4+ T Cells,upregulated
EML4,19.628304,1.1106526,8.862404870163384e-86,9.560181952895751e-85,CD4+ T Cells,upregulated
PKIA,19.504704,1.9972279,1.0013487755655922e-84,1.0704140078557336e-83,CD4+ T Cells,upregulated
