names,scores,logfoldchanges,pvals,pvals_adj,Cell type,Regulation
GAPDH,87.22201,2.6021914,0.0,1e-300,CD4+ T Cells,upregulated
HSP90AB1,84.419945,2.175203,0.0,1e-300,CD4+ T Cells,upregulated
ACTB,83.3078,1.7276695,0.0,1e-300,CD4+ T Cells,upregulated
HSPA5,80.97477,3.841276,0.0,1e-300,CD4+ T Cells,upregulated
MYL6,80.610756,1.9544169,0.0,1e-300,CD4+ T Cells,upregulated
CALR,79.18426,3.1643693,0.0,1e-300,CD4+ T Cells,upregulated
CDK2AP2,77.18259,3.8649175,0.0,1e-300,CD4+ T Cells,upregulated
CLIC1,76.62704,3.7007942,0.0,1e-300,CD4+ T Cells,upregulated
PPIB,74.7762,2.562852,0.0,1e-300,CD4+ T Cells,upregulated
PDIA3,74.35622,2.7909641,0.0,1e-300,CD4+ T Cells,upregulated
ACTG1,74.24736,1.8798459,0.0,1e-300,CD4+ T Cells,upregulated
PFN1,74.22522,1.8722962,0.0,1e-300,CD4+ T Cells,upregulated
HSP90AA1,72.90051,1.7244787,0.0,1e-300,CD4+ T Cells,upregulated
TUBA1B,72.1894,2.9047,0.0,1e-300,CD4+ T Cells,upregulated
SDF2L1,70.58326,3.6916478,0.0,1e-300,CD4+ T Cells,upregulated
MT2A,68.15892,2.655213,0.0,1e-300,CD4+ T Cells,upregulated
PKM,67.32757,2.78421,0.0,1e-300,CD4+ T Cells,upregulated
PDIA6,67.03598,3.161598,0.0,1e-300,CD4+ T Cells,upregulated
ENO1,66.71057,2.1481807,0.0,1e-300,CD4+ T Cells,upregulated
PSME2,66.4151,2.4631293,0.0,1e-300,CD4+ T Cells,upregulated
SEC61B,66.06883,2.3997154,0.0,1e-300,CD4+ T Cells,upregulated
HSP90B1,65.74519,2.5463812,0.0,1e-300,CD4+ T Cells,upregulated
PSMA7,64.74835,1.7907016,0.0,1e-300,CD4+ T Cells,upregulated
PPP1R14B,63.933723,2.97488,0.0,1e-300,CD4+ T Cells,upregulated
CD96,63.89399,2.8849344,0.0,1e-300,CD4+ T Cells,upregulated
CHCHD2,63.612667,1.6706177,0.0,1e-300,CD4+ T Cells,upregulated
HNRNPA3,62.5251,1.971688,0.0,1e-300,CD4+ T Cells,upregulated
