names,scores,logfoldchanges,pvals,pvals_adj,Cell type,Regulation
TPT1,83.472984,1.6124477,0.0,1e-300,CD4+ T Cells,upregulated
BTG1,77.71396,2.4794085,0.0,1e-300,CD4+ T Cells,upregulated
MALAT1,77.19358,1.5840142,0.0,1e-300,CD4+ T Cells,upregulated
CD96,72.77513,4.6396847,0.0,1e-300,CD4+ T Cells,upregulated
FTH1,66.77994,1.0908644,0.0,1e-300,CD4+ T Cells,upregulated
TMSB4X,66.15865,1.4361671,0.0,1e-300,CD4+ T Cells,upregulated
ARHGDIB,64.22222,1.9640323,0.0,1e-300,CD4+ T Cells,upregulated
MYL6,62.446575,1.1866338,0.0,1e-300,CD4+ T Cells,upregulated
MT2A,58.49542,2.1390433,0.0,1e-300,CD4+ T Cells,upregulated
SH3BGRL3,55.29431,1.1067857,0.0,1e-300,CD4+ T Cells,upregulated
VIM,54.46039,2.156205,0.0,1e-300,CD4+ T Cells,upregulated
CDK2AP2,53.467384,1.559616,0.0,1e-300,CD4+ T Cells,upregulated
ITM2B,52.53965,1.7234476,0.0,1e-300,CD4+ T Cells,upregulated
CORO1A,50.29026,1.2854578,0.0,1e-300,CD4+ T Cells,upregulated
JAK1,49.77493,1.59812,0.0,1e-300,CD4+ T Cells,upregulated
JUND,45.585915,1.1440517,0.0,1e-300,CD4+ T Cells,upregulated
HCST,44.559887,2.3370874,0.0,1e-300,CD4+ T Cells,upregulated
NR3C1,42.35254,2.2792573,0.0,1e-300,CD4+ T Cells,upregulated
GAS5,41.57586,1.0828309,0.0,1e-300,CD4+ T Cells,upregulated
LIMD2,38.454346,1.105118,0.0,1e-300,CD4+ T Cells,upregulated
GPSM3,35.570786,1.6766226,3.965190469699485e-277,1.9006479651426197e-275,CD4+ T Cells,upregulated
TRBC2,34.44572,1.0484712,5.2184743973870776e-260,2.2299201837103384e-258,CD4+ T Cells,upregulated
ARL4C,33.43581,1.3664725,4.13846808227979e-245,1.5952878013207668e-243,CD4+ T Cells,upregulated
CYTIP,32.909298,1.068593,1.6180028105800576e-237,6.012789321025261e-236,CD4+ T Cells,upregulated
STK17B,32.56899,1.4589877,1.127673854609122e-232,4.071690509535164e-231,CD4+ T Cells,upregulated
LAPTM5,31.923592,1.3170356,1.2566968113536188e-223,4.2412235039499584e-222,CD4+ T Cells,upregulated
RESF1,31.83343,1.7795844,2.232135692745313e-222,7.487389036699644e-221,CD4+ T Cells,upregulated
CD53,31.575775,1.0933778,7.941947813064879e-219,2.595572944360749e-217,CD4+ T Cells,upregulated
NUCB2,31.45434,2.1547403,3.661410337859246e-217,1.189562726074231e-215,CD4+ T Cells,upregulated
EVI2B,30.89526,2.8740911,1.383069195719026e-209,4.243379460038133e-208,CD4+ T Cells,upregulated
PITPNC1,30.526325,2.295027,1.1661049357404873e-204,3.4435495218465065e-203,CD4+ T Cells,upregulated
LGALS1,30.249437,2.0663931,5.306797374988851e-201,1.518313290487727e-199,CD4+ T Cells,upregulated
CD74,30.171507,1.0262585,5.603121409272975e-200,1.5893450899682193e-198,CD4+ T Cells,upregulated
CD52,30.064734,1.6088904,1.4014726489653928e-198,3.948237341727547e-197,CD4+ T Cells,upregulated
STK17A,29.74971,1.0247136,1.74914247635913e-194,4.820928188591822e-193,CD4+ T Cells,upregulated
CLEC2B,29.139326,1.8348646,1.1406388522563387e-186,2.938122227377426e-185,CD4+ T Cells,upregulated
ARHGAP30,28.393803,1.0975614,2.411795185053428e-177,5.763563146709327e-176,CD4+ T Cells,upregulated
CD5,27.754208,1.6717739,1.5501958253853183e-169,3.4502810719242273e-168,CD4+ T Cells,upregulated
AKAP13,26.781265,1.3323648,5.34140238805121e-158,1.0824849422941526e-156,CD4+ T Cells,upregulated
ID3,25.914988,2.488135,4.514065406335889e-148,8.531325671380183e-147,CD4+ T Cells,upregulated
EVI2A,25.251389,2.0646625,1.093506526536683e-140,1.91967276319927e-139,CD4+ T Cells,upregulated
RGS16,25.106379,2.4679186,4.2363907603111325e-139,7.290030593471925e-138,CD4+ T Cells,upregulated
PLEKHO1,24.596655,1.6329887,1.371706272052994e-133,2.2548614931352246e-132,CD4+ T Cells,upregulated
CXCR4,24.136871,1.66005,1.0256872338007438e-128,1.6169485019411724e-127,CD4+ T Cells,upregulated
TXNIP,23.612648,1.11135,2.85775510388587e-123,4.292342974837478e-122,CD4+ T Cells,upregulated
IL16,23.257343,1.5127854,1.1988553650601046e-119,1.7482778811286552e-118,CD4+ T Cells,upregulated
SH3KBP1,22.649721,1.5268615,1.403953365268278e-113,1.9625677769603982e-112,CD4+ T Cells,upregulated
ATM,22.541588,1.9860736,1.6238774187572252e-112,2.25474902384452e-111,CD4+ T Cells,upregulated
ARHGAP18,22.349098,3.3857837,1.2320873838219212e-110,1.686674591578072e-109,CD4+ T Cells,upregulated
SIRPG,22.28886,2.8993714,4.7390435264486286e-110,6.43956966284971e-109,CD4+ T Cells,upregulated
DDIT3,21.304459,2.2612588,1.0321186271097254e-100,1.2959867681483318e-99,CD4+ T Cells,upregulated
UTRN,21.074205,2.7591767,1.3718702022585716e-98,1.6792463016099185e-97,CD4+ T Cells,upregulated
GPRIN3,20.922266,2.3226037,3.357707056140418e-97,4.0530220136784e-96,CD4+ T Cells,upregulated
PDE4D,19.939999,1.9857209,1.830715616801594e-88,2.056694575750541e-87,CD4+ T Cells,upregulated
LINC02273,19.884562,3.4968507,5.536359488052419e-88,6.181956573526189e-87,CD4+ T Cells,upregulated
