names,scores,logfoldchanges,pvals,pvals_adj,Cell type,Regulation
HSP90AB1,93.08496,3.4827611,0.0,1e-300,CD4+ T Cells,upregulated
HSP90AA1,92.15481,3.0368373,0.0,1e-300,CD4+ T Cells,upregulated
ENO1,90.898766,3.6428828,0.0,1e-300,CD4+ T Cells,upregulated
TUBA1B,88.112015,3.7818916,0.0,1e-300,CD4+ T Cells,upregulated
HSPE1,87.36069,3.8454707,0.0,1e-300,CD4+ T Cells,upregulated
HSPD1,87.271614,4.1517467,0.0,1e-300,CD4+ T Cells,upregulated
GAPDH,86.57578,2.5270886,0.0,1e-300,CD4+ T Cells,upregulated
MIF,86.47659,2.1927722,0.0,1e-300,CD4+ T Cells,upregulated
YBX1,85.603004,2.3521464,0.0,1e-300,CD4+ T Cells,upregulated
PSMA7,85.15177,2.503479,0.0,1e-300,CD4+ T Cells,upregulated
EIF5A,85.03352,3.4038138,0.0,1e-300,CD4+ T Cells,upregulated
HSPA8,84.620636,2.8989894,0.0,1e-300,CD4+ T Cells,upregulated
PRDX1,84.143,3.2962897,0.0,1e-300,CD4+ T Cells,upregulated
NME2,83.95705,2.487542,0.0,1e-300,CD4+ T Cells,upregulated
RAN,83.92135,2.8018668,0.0,1e-300,CD4+ T Cells,upregulated
DNAJA1,83.83018,3.5561075,0.0,1e-300,CD4+ T Cells,upregulated
POMP,83.64997,3.194095,0.0,1e-300,CD4+ T Cells,upregulated
PPA1,83.52684,3.362425,0.0,1e-300,CD4+ T Cells,upregulated
NCL,82.83849,2.6877906,0.0,1e-300,CD4+ T Cells,upregulated
NME1,82.82118,4.5645347,0.0,1e-300,CD4+ T Cells,upregulated
TPI1,82.712814,3.0241082,0.0,1e-300,CD4+ T Cells,upregulated
EIF4A1,82.35564,2.6308057,0.0,1e-300,CD4+ T Cells,upregulated
IL2RA,81.8405,5.383761,0.0,1e-300,CD4+ T Cells,upregulated
RBM8A,81.412125,3.1651235,0.0,1e-300,CD4+ T Cells,upregulated
FABP5,81.23181,5.213492,0.0,1e-300,CD4+ T Cells,upregulated
SERBP1,81.16039,2.756494,0.0,1e-300,CD4+ T Cells,upregulated
NPM1,80.44268,1.7875339,0.0,1e-300,CD4+ T Cells,upregulated
CCT6A,79.77845,3.5284913,0.0,1e-300,CD4+ T Cells,upregulated
SNRPG,79.54599,2.9958816,0.0,1e-300,CD4+ T Cells,upregulated
PPP1R14B,79.32443,3.5966203,0.0,1e-300,CD4+ T Cells,upregulated
PHB,79.22325,3.4159358,0.0,1e-300,CD4+ T Cells,upregulated
CHCHD2,78.776024,2.085156,0.0,1e-300,CD4+ T Cells,upregulated
PSME2,78.54863,2.8688781,0.0,1e-300,CD4+ T Cells,upregulated
TUBA1C,78.04837,4.4046245,0.0,1e-300,CD4+ T Cells,upregulated
DDX21,77.8657,3.2972205,0.0,1e-300,CD4+ T Cells,upregulated
SNRPE,77.81388,3.0708566,0.0,1e-300,CD4+ T Cells,upregulated
CALR,77.798546,3.0178432,0.0,1e-300,CD4+ T Cells,upregulated
CCT3,77.66661,3.031076,0.0,1e-300,CD4+ T Cells,upregulated
SRM,77.65421,3.483667,0.0,1e-300,CD4+ T Cells,upregulated
CCT5,77.604034,3.3141363,0.0,1e-300,CD4+ T Cells,upregulated
PRMT1,77.58099,3.3119335,0.0,1e-300,CD4+ T Cells,upregulated
SNRPD1,77.550026,3.1489818,0.0,1e-300,CD4+ T Cells,upregulated
CYCS,77.51927,3.3538353,0.0,1e-300,CD4+ T Cells,upregulated
PKM,77.434944,3.104863,0.0,1e-300,CD4+ T Cells,upregulated
RANBP1,76.90123,3.2115104,0.0,1e-300,CD4+ T Cells,upregulated
TUBB4B,76.76638,3.7297645,0.0,1e-300,CD4+ T Cells,upregulated
PFN1,76.519356,1.8566167,0.0,1e-300,CD4+ T Cells,upregulated
SNRPB,76.23291,2.815119,0.0,1e-300,CD4+ T Cells,upregulated
PSMA2,76.19844,2.8863294,0.0,1e-300,CD4+ T Cells,upregulated
VDAC1,76.00185,3.2478533,0.0,1e-300,CD4+ T Cells,upregulated
PPIA,75.84859,1.7671924,0.0,1e-300,CD4+ T Cells,upregulated
CLIC1,75.74845,3.4922187,0.0,1e-300,CD4+ T Cells,upregulated
PSMA6,75.53715,2.903092,0.0,1e-300,CD4+ T Cells,upregulated
ATP5MC3,75.34198,2.7106695,0.0,1e-300,CD4+ T Cells,upregulated
CCT2,75.319084,3.2165735,0.0,1e-300,CD4+ T Cells,upregulated
MIR155HG,75.121086,5.514667,0.0,1e-300,CD4+ T Cells,upregulated
SUB1,75.102554,2.108965,0.0,1e-300,CD4+ T Cells,upregulated
CCND2,74.95668,3.7361681,0.0,1e-300,CD4+ T Cells,upregulated
LDHA,74.71614,2.0721016,0.0,1e-300,CD4+ T Cells,upregulated
TXN,74.7072,2.8283072,0.0,1e-300,CD4+ T Cells,upregulated
NDUFS6,74.57404,2.8648124,0.0,1e-300,CD4+ T Cells,upregulated
HNRNPAB,74.419495,3.6320035,0.0,1e-300,CD4+ T Cells,upregulated
C1QBP,74.397606,2.8174422,0.0,1e-300,CD4+ T Cells,upregulated
PGAM1,74.00232,3.6416457,0.0,1e-300,CD4+ T Cells,upregulated
PA2G4,73.627174,2.400906,0.0,1e-300,CD4+ T Cells,upregulated
SNRPF,73.193756,2.787872,0.0,1e-300,CD4+ T Cells,upregulated
TUBB,73.17288,3.088004,0.0,1e-300,CD4+ T Cells,upregulated
STIP1,72.6739,3.795103,0.0,1e-300,CD4+ T Cells,upregulated
PDIA6,72.38533,3.2368069,0.0,1e-300,CD4+ T Cells,upregulated
PSMB3,72.38457,2.6757317,0.0,1e-300,CD4+ T Cells,upregulated
SRSF3,72.2168,2.3381753,0.0,1e-300,CD4+ T Cells,upregulated
CACYBP,72.11014,2.8042655,0.0,1e-300,CD4+ T Cells,upregulated
NHP2,71.97333,2.886243,0.0,1e-300,CD4+ T Cells,upregulated
SET,71.76952,2.0264878,0.0,1e-300,CD4+ T Cells,upregulated
ODC1,71.74686,3.610372,0.0,1e-300,CD4+ T Cells,upregulated
SLIRP,71.338936,3.188952,0.0,1e-300,CD4+ T Cells,upregulated
NDUFAB1,71.0322,2.8958647,0.0,1e-300,CD4+ T Cells,upregulated
PSMA4,70.76618,2.8768337,0.0,1e-300,CD4+ T Cells,upregulated
SEC61B,70.63032,2.472356,0.0,1e-300,CD4+ T Cells,upregulated
